Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,50,Miguel Castro,do DO,Pitcher,*,,28,R,R,"6' 7""",201,Dec 24 1994,2012,castrmi01
2,37,Kevin Ginkel,us US,Pitcher,*,,29,L,R,"6' 4""",235,Mar 24 1994,2015,ginkeke01
3,63,Justin Martinez,do DO,Pitcher,*,,21,R,R,"6' 3""",180,Jul 30 2001,2018,martiju01
4,24,Kyle Nelson,us US,Pitcher,*,,26,L,L,"6' 1""",175,Jul 8 1996,2015,nelsoky01
5,65,Luis Frías,do DO,Pitcher,*,,25,R,R,"6' 3""",245,May 23 1998,2016,friaslu01
6,35,Joe Mantiply,us US,Pitcher,*,,32,R,L,"6' 4""",219,Mar 1 1991,2011,mantijo01
7,19,Ryne Nelson,us US,Pitcher,*,,25,R,R,"6' 3""",184,Feb 1 1998,2017,nelsory01
8,30,Scott McGough,us US,Pitcher,*,,33,R,R,"5' 11""",190,Oct 31 1989,2011,mcgousc01
9,47,Tommy Henry,us US,Pitcher,*,,25,L,L,"6' 3""",205,Jul 29 1997,2017,henryto01
10,66,José Ruiz,ve VE,Pitcher,*,,28,R,R,"6' 1""",245,Oct 21 1994,2012,ruizjo01
11,55,Austin Adams,us US,Pitcher,*,,32,R,R,"6' 3""",220,May 5 1991,2011,adamsau02
12,23,Zac Gallen,us US,Pitcher,*,,27,R,R,"6' 2""",189,Aug 3 1995,2014,galleza01
13,49,Tyler Gilbert,us US,Pitcher,*,,29,L,L,"6' 3""",223,Dec 22 1993,2015,gilbety01
14,14,Gabriel Moreno,ve VE,Position,*,,23,R,R,"5' 11""",195,Feb 14 2000,2017,morenga01
15,5,Alek Thomas,us US,Position,*,,23,L,L,"5' 11""",175,Apr 28 2000,2018,thomaal01
16,4,Ketel Marte,do DO,Position,*,,29,S,R,"6' 1""",210,Oct 12 1993,2011,marteke01
17,12,Lourdes Gurriel Jr.,cu CU,Position,*,,29,R,R,"6' 4""",215,Oct 10 1993,2010,gurrilo01
18,31,Jake McCarthy,us US,Position,*,,25,L,L,"6' 2""",215,Jul 30 1997,2016,mccarja02
19,2,Geraldo Perdomo,do DO,Position,*,,23,S,R,"6' 2""",203,Oct 22 1999,2017,perdoge01
20,53,Christian Walker,us US,Position,*,,32,R,R,"6' 0""",208,Mar 28 1991,2011,walkech02
21,3,Evan Longoria,us US,Position,*,,37,R,R,"6' 1""",213,Oct 7 1985,2006,longoev01
22,15,Emmanuel Rivera,pr PR,Position,*,,27,R,R,"6' 2""",225,Jun 29 1996,2015,riverem01
23,6,Dominic Canzone,us US,Position,*,,25,L,R,"5' 11""",190,Aug 16 1997,2017,canzodo01
24,13,Nick Ahmed,us US,Position,*,,33,R,R,"6' 2""",201,Mar 15 1990,2010,ahmedni01
25,7,Corbin Carroll,us US,Position,*,,22,L,L,"5' 10""",165,Aug 21 2000,2019,carroco02
26,18,Carson Kelly,us US,Position,*,,28,R,R,"6' 2""",212,Jul 14 1994,2012,kellyca02
27,29,Merrill Kelly,us US,Pitcher,,15-day,34,R,R,"6' 2""",202,Oct 14 1988,2010,kellyme01
28,27,Zach Davies,us US,Pitcher,,15-day,30,R,R,"6' 0""",180,Feb 7 1993,2012,davieza02
29,34,Mark Melancon,us US,Pitcher,,60-day,38,R,R,"6' 1""",215,Mar 28 1985,2006,melanma01
30,99,Drey Jameson,us US,Pitcher,,60-day,25,R,R,"6' 0""",165,Aug 17 1997,2018,jamesdr01
31,25,Corbin Martin,us US,Pitcher,,60-day,27,R,R,"6' 2""",225,Dec 28 1995,2015,martico02
32,54,Cole Sulser,us US,Pitcher,,60-day,33,R,R,"6' 1""",190,Mar 12 1990,2011,sulseco01
33,57,Andrew Chafin,us US,Pitcher,,,33,R,L,"6' 2""",235,Jun 17 1990,2011,chafian01
34,45,Carlos Vargas,do DO,Pitcher,,,23,R,R,"6' 4""",210,Oct 13 1999,2018,vargaca01
35,32,Brandon Pfaadt,us US,Pitcher,,,24,R,R,"6' 4""",220,Oct 15 1998,2018,pfaadbr01
36,,Kristian Robinson,bs BS,Position,,,22,R,R,"6' 3""",190,Dec 11 2000,2018,redirect.fcgi?player=1&mlb_ID=677565
37,1,Kyle Lewis,us US,Position,,,27,R,R,"6' 4""",222,Jul 13 1995,2014,lewisky01
38,10,Josh Rojas,us US,Position,,,29,L,R,"6' 1""",207,Jun 30 1994,2015,rojasjo01
39,11,Jose Herrera,ve VE,Position,,,26,S,R,"5' 10""",217,Feb 24 1997,2014,herrejo04
40,81,Jorge Barrosa,ve VE,Position,,,22,S,L,"5' 5""",165,Feb 17 2001,2018,redirect.fcgi?player=1&mlb_ID=678489
41,8,Dominic Fletcher,us US,Position,,,25,L,L,"5' 6""",185,Sep 2 1997,2017,fletcdo01
42,64,Diego Castillo,ve VE,Position,,,25,R,R,"5' 10""",185,Oct 28 1997,2015,castidi02
43,26,Pavin Smith,us US,Position,,,27,L,L,"6' 2""",208,Feb 6 1996,2015,smithpa04
44,62,Blaze Alexander,us US,Position,,,24,R,R,"5' 11""",160,Jun 11 1999,2018,redirect.fcgi?player=1&mlb_ID=677942
