Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,19,Cole Irvin,us US,Pitcher,*,,29,L,L,"6' 4""",225,Jan 31 1994,2013,irvinco01
2,30,Grayson Rodriguez,us US,Pitcher,*,,23,L,R,"6' 5""",230,Nov 16 1999,2018,rodrigr01
3,74,Félix Bautista,do DO,Pitcher,*,,28,R,R,"6' 8""",285,Jun 20 1995,2013,bautife01
4,64,Dean Kremer,us US,Pitcher,*,,27,R,R,"6' 2""",210,Jan 7 1996,2016,kremede01
5,54,Danny Coulombe,us US,Pitcher,*,,33,L,L,"5' 10""",190,Oct 26 1989,2011,couloda01
6,39,Kyle Bradish,us US,Pitcher,*,,26,R,R,"6' 3""",215,Sep 12 1996,2016,bradiky01
7,48,Kyle Gibson,us US,Pitcher,*,,35,R,R,"6' 6""",200,Oct 23 1987,2010,gibsoky01
8,58,Cionel Pérez,cu CU,Pitcher,*,,27,R,L,"6' 0""",175,Apr 21 1996,2013,perezci01
9,71,Logan Gillaspie,us US,Pitcher,*,,26,R,R,"6' 2""",215,Apr 17 1997,2017,gillalo01
10,43,Bryan Baker,us US,Pitcher,*,,28,R,R,"6' 6""",235,Dec 2 1994,2014,bakerbr01
11,53,Mike Baumann,us US,Pitcher,*,,27,R,R,"6' 4""",240,Sep 10 1995,2015,baumami01
12,68,Tyler Wells,us US,Pitcher,*,,28,R,R,"6' 8""",260,Aug 26 1994,2014,wellsty01
13,78,Yennier Cano,cu CU,Pitcher,*,,29,R,R,"6' 4""",245,Mar 9 1994,2013,canoye01
14,27,James McCann,us US,Position,*,,33,R,R,"6' 3""",235,Jun 13 1990,2010,mccanja02
15,29,Ramón Urías,mx MX,Position,*,,29,R,R,"5' 10""",185,Jun 3 1994,2011,uriasra01
16,6,Ryan Mountcastle,us US,Position,*,,26,R,R,"6' 4""",220,Feb 18 1997,2015,mountry01
17,32,Ryan O'Hearn,us US,Position,*,,29,L,L,"6' 3""",220,Jul 26 1993,2012,ohearry01
18,3,Jorge Mateo,do DO,Position,*,,28,R,R,"6' 1""",200,Jun 23 1995,2012,mateojo01
19,11,Jordan Westburg,us US,Position,*,,24,R,R,"6' 2""",210,Feb 18 1999,2017,westbjo01
20,34,Aaron Hicks,us US,Position,*,,33,S,R,"6' 1""",205,Oct 2 1989,2008,hicksaa01
21,12,Adam Frazier,us US,Position,*,,31,L,R,"5' 10""",180,Dec 14 1991,2011,fraziad01
22,35,Adley Rutschman,us US,Position,*,,25,S,R,"6' 2""",230,Feb 6 1998,2016,rutscad01
23,17,Colton Cowser,us US,Position,*,,23,L,R,"6' 2""",220,Mar 20 2000,2019,cowseco01
24,25,Anthony Santander,ve VE,Position,*,,28,S,R,"6' 2""",230,Oct 19 1994,2012,santaan02
25,2,Gunnar Henderson,us US,Position,*,,22,L,R,"6' 3""",220,Jun 29 2001,2019,hendegu01
26,21,Austin Hays,us US,Position,*,,27,R,R,"5' 11""",200,Jul 5 1995,2015,haysau01
27,31,Cedric Mullins,us US,Position,,10-day,28,L,L,"5' 9""",175,Oct 1 1994,2015,mullice01
28,45,Keegan Akin,us US,Pitcher,,15-day,28,L,L,"6' 0""",240,Apr 1 1995,2014,akinke01
29,51,Austin Voth,us US,Pitcher,,15-day,31,R,R,"6' 2""",215,Jun 26 1992,2011,vothau01
30,47,John Means,us US,Pitcher,,60-day,30,L,L,"6' 4""",230,Apr 24 1993,2013,meansjo01
31,55,Dillon Tate,us US,Pitcher,,60-day,29,R,R,"6' 2""",190,May 1 1994,2013,tatedi01
32,60,Mychal Givens,us US,Pitcher,,60-day,33,R,R,"6' 0""",250,May 13 1990,2010,givenmy01
33,50,Bruce Zimmermann,us US,Pitcher,,,28,L,L,"6' 1""",220,Feb 9 1995,2016,zimmebr02
34,,Shintaro Fujinami,jp JP,Pitcher,,,29,R,R,"6' 6""",180,Apr 12 1994,2013,fujinsh01
35,56,Seth Johnson,us US,Pitcher,,,24,R,R,"6' 1""",205,Sep 19 1998,2019,redirect.fcgi?player=1&mlb_ID=686751
36,79,Nick Vespi,us US,Pitcher,,,27,L,L,"6' 3""",235,Oct 10 1995,2015,vespini01
37,24,DL Hall,us US,Pitcher,,,24,L,L,"6' 2""",210,Sep 19 1998,2017,halldl01
38,67,Drew Rom,us US,Pitcher,,,23,L,L,"6' 2""",215,Dec 15 1999,2018,redirect.fcgi?player=1&mlb_ID=680723
39,67,Eduard Bazardo,ve VE,Pitcher,,,27,R,R,"6' 0""",190,Sep 1 1995,2015,bazared01
40,26,Ryan McKenna,us US,Position,,,26,R,R,"5' 11""",195,Feb 14 1997,2015,mckenry01
41,28,Kyle Stowers,us US,Position,,,25,L,L,"6' 3""",215,Jan 2 1998,2017,stoweky01
42,23,Terrin Vavra,us US,Position,,,26,L,R,"6' 0""",185,May 12 1997,2015,vavrate01
43,65,Joey Ortiz,us US,Position,,,24,R,R,"5' 9""",190,Jul 14 1998,2017,ortizjo06
,,,,,,,,,,,,,,
