Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,48,Alex Young,us US,Pitcher,*,,29,L,L,"6' 3""",220,Sep 9 1993,2013,youngal01
2,43,Alexis Díaz,pr PR,Pitcher,*,,26,R,R,"6' 2""",224,Sep 28 1996,2015,diazal03
3,41,Andrew Abbott,us US,Pitcher,*,,24,L,L,"6' 0""",192,Jun 1 1999,2018,abbotan01
4,59,Ben Lively,us US,Pitcher,*,,31,R,R,"6' 4""",235,Mar 5 1992,2011,livelbe01
5,55,Brandon Williamson,us US,Pitcher,*,,25,R,L,"6' 6""",210,Apr 2 1998,2017,willibr02
6,46,Buck Farmer,us US,Pitcher,*,,32,L,R,"6' 4""",243,Feb 20 1991,2011,farmebu01
7,79,Ian Gibaut,us US,Pitcher,*,,29,R,R,"6' 3""",250,Nov 19 1993,2013,gibauia01
8,58,Levi Stoudt,us US,Pitcher,*,,25,R,R,"6' 1""",195,Dec 4 1997,2017,stoudle01
9,51,Graham Ashcraft,us US,Pitcher,*,,25,L,R,"6' 2""",248,Feb 11 1998,2017,ashcrgr01
10,63,Fernando Cruz,pr PR,Pitcher,*,,33,S,R,"6' 2""",237,Mar 28 1990,2007,cruzfe01
11,34,Luke Weaver,us US,Pitcher,*,,29,R,R,"6' 2""",183,Aug 21 1993,2012,weavelu01
12,47,Derek Law,us US,Pitcher,*,,32,R,R,"6' 3""",225,Sep 14 1990,2011,lawde01
13,39,Lucas Sims,us US,Pitcher,*,,29,R,R,"6' 2""",213,May 10 1994,2012,simslu01
14,6,Jonathan India,us US,Position,*,,26,R,R,"6' 0""",200,Dec 15 1996,2016,indiajo01
15,30,Will Benson,us US,Position,*,,25,L,L,"6' 5""",230,Jun 16 1998,2016,bensowi01
16,22,Luke Maile,us US,Position,*,,32,R,R,"6' 3""",225,Feb 6 1991,2011,mailelu01
17,9,Matt McLain,us US,Position,*,,23,R,R,"5' 8""",180,Aug 6 1999,2018,mclaima01
18,15,Nick Senzel,us US,Position,*,,28,R,R,"6' 1""",218,Jun 29 1995,2014,senzeni01
19,7,Spencer Steer,us US,Position,*,,25,R,R,"5' 11""",185,Dec 7 1997,2017,steersp01
20,29,TJ Friedl,us US,Position,*,,27,L,L,"5' 10""",180,Aug 14 1995,2014,friedtj01
21,37,Tyler Stephenson,us US,Position,*,,26,R,R,"6' 4""",225,Aug 16 1996,2015,stephty01
22,27,Jake Fraley,us US,Position,*,,28,L,L,"6' 0""",206,May 25 1995,2014,fraleja01
23,44,Elly De La Cruz,do DO,Position,*,,21,S,R,"6' 5""",200,Jan 11 2002,2019,delacel01
24,33,Christian Encarnacion-Strand,us US,Position,*,,23,R,R,"6' 0""",224,Dec 1 1999,2021,encarch01
25,12,Curt Casali,us US,Position,*,,34,R,R,"6' 2""",220,Nov 9 1988,2010,casalcu01
26,19,Joey Votto,ca CA,Position,*,,39,L,R,"6' 2""",220,Sep 10 1983,2002,vottojo01
27,28,Kevin Newman,us US,Position,,10-day,29,R,R,"6' 1""",195,Aug 4 1993,2013,newmake01
28,21,Hunter Greene,us US,Pitcher,,15-day,23,R,R,"6' 5""",242,Aug 6 1999,2017,greenhu01
29,65,Casey Legumina,us US,Pitcher,,15-day,26,R,R,"6' 2""",195,Jun 19 1997,2016,legumca01
30,40,Nick Lodolo,us US,Pitcher,,60-day,25,L,L,"6' 6""",216,Feb 5 1998,2017,lodolni01
31,53,Vladimir Gutierrez,cu CU,Pitcher,,60-day,27,R,R,"6' 1""",205,Sep 18 1995,2013,gutievl01
32,70,Tejay Antone,us US,Pitcher,,60-day,29,R,R,"6' 4""",230,Dec 5 1993,2013,antonte01
33,52,Reiver Sanmartin,co CO,Pitcher,,60-day,27,L,L,"6' 2""",160,Apr 15 1996,2015,sanmare01
34,71,Connor Overton,us US,Pitcher,,60-day,29,L,R,"6' 0""",205,Jul 24 1993,2012,overtco01
35,49,Justin Dunn,us US,Pitcher,,60-day,27,R,R,"6' 2""",209,Sep 22 1995,2014,dunnju01
36,72,Lyon Richardson,us US,Pitcher,,,23,S,R,"6' 2""",207,Jan 18 2000,2018,redirect.fcgi?player=1&mlb_ID=680689
37,77,Daniel Duarte,mx MX,Pitcher,,,26,R,R,"6' 0""",235,Dec 4 1996,2015,duartda01
38,81,Eduardo Salazar,ve VE,Pitcher,,,25,R,R,"6' 2""",177,May 5 1998,2017,salazed01
39,64,Tony Santillan,us US,Pitcher,,,26,R,R,"6' 3""",285,Apr 15 1997,2015,santito01
40,66,Brett Kennedy,us US,Pitcher,,,28,R,R,"6' 0""",200,Aug 4 1994,2013,kennebr02
41,78,Alan Busenitz,us US,Pitcher,,,32,R,R,"6' 1""",180,Aug 22 1990,2013,busenal01
42,38,Michael Siani,us US,Position,,,23,L,L,"6' 1""",188,Jul 16 1999,2018,sianimi01
43,68,Noelvi Marte,do DO,Position,,,21,R,R,"6' 0""",216,Oct 16 2001,2019,redirect.fcgi?player=1&mlb_ID=682622
44,17,Stuart Fairchild,us US,Position,,,27,R,R,"6' 0""",205,Mar 17 1996,2015,faircst01
45,26,TJ Hopkins,us US,Position,,,26,R,R,"6' 1""",195,Jan 16 1997,2016,hopkitj01
46,2,Jose Barrero,cu CU,Position,,,25,R,R,"6' 2""",211,Apr 5 1998,2016,garcijo02
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
