Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,44,Jesús Luzardo,pe PE,Pitcher,*,,25,L,L,"6' 0""",218,Sep 30 1997,2017,luzarje01
2,66,Tanner Scott,us US,Pitcher,*,,28,R,L,"6' 0""",235,Jul 22 1994,2013,scottta01
3,48,Steven Okert,us US,Pitcher,*,,31,L,L,"6' 2""",202,Jul 9 1991,2012,okertst01
4,29,Braxton Garrett,us US,Pitcher,*,,25,R,L,"6' 2""",202,Aug 5 1997,2017,garrebr01
5,22,Sandy Alcantara,do DO,Pitcher,*,,27,R,R,"6' 5""",200,Sep 7 1995,2014,alcansa01
6,78,Bryan Hoeing,us US,Pitcher,*,,26,R,R,"6' 6""",210,Oct 19 1996,2017,hoeinbr01
7,35,A.J. Puk,us US,Pitcher,*,,28,L,L,"6' 7""",248,Apr 25 1995,2014,pukaj01
8,36,Dylan Floro,us US,Pitcher,*,,32,L,R,"6' 2""",203,Dec 27 1990,2011,florody01
9,27,Edward Cabrera,do DO,Pitcher,*,,25,R,R,"6' 5""",217,Apr 13 1998,2016,cabreed02
10,47,Johnny Cueto,do DO,Pitcher,*,,37,R,R,"5' 11""",229,Feb 15 1986,2005,cuetojo01
11,84,JT Chargois,us US,Pitcher,*,,32,S,R,"6' 3""",200,Dec 3 1990,2011,chargjt01
12,62,George Soriano,do DO,Pitcher,*,,24,R,R,"6' 2""",210,Mar 24 1999,2016,soriage01
13,31,Huascar Brazoban,do DO,Pitcher,*,,33,R,R,"6' 3""",155,Oct 15 1989,2012,brazohu01
14,3,Luis Arraez,ve VE,Position,*,,26,L,R,"5' 10""",175,Apr 9 1997,2014,arraelu01
15,18,Joey Wendle,us US,Position,*,,33,L,R,"6' 1""",195,Apr 26 1990,2012,wendljo01
16,5,Jon Berti,us US,Position,*,,33,R,R,"5' 10""",190,Jan 22 1990,2010,bertijo01
17,12,Jorge Soler,cu CU,Position,*,,31,R,R,"6' 4""",235,Feb 25 1992,2009,solerjo01
18,7,Jesús Sánchez,do DO,Position,*,,25,L,R,"6' 3""",222,Oct 7 1997,2015,sanchje02
19,4,Nick Fortes,us US,Position,*,,26,R,R,"5' 11""",198,Nov 11 1996,2016,forteni01
20,10,Yuli Gurriel,cu CU,Position,*,,39,R,R,"6' 0""",215,Jun 9 1984,2001,gourryu01
21,9,Jean Segura,do DO,Position,*,,33,R,R,"5' 10""",220,Mar 17 1990,2007,segurje01
22,58,Jacob Stallings,us US,Position,*,,33,R,R,"6' 5""",225,Dec 22 1989,2010,stallja01
23,1,Garrett Hampson,us US,Position,*,,28,R,R,"5' 11""",196,Oct 10 1994,2014,hampsga01
24,14,Bryan De La Cruz,do DO,Position,*,,26,R,R,"6' 2""",175,Dec 16 1996,2014,delacbr01
25,54,Dane Myers,us US,Position,*,,27,R,R,"6' 0""",205,Mar 8 1996,2015,myersda01
26,26,Garrett Cooper,us US,Position,*,,32,R,R,"6' 5""",235,Dec 25 1990,2012,coopega03
27,2,Jazz Chisholm Jr.,bs BS,Position,,10-day,25,L,R,"5' 11""",184,Feb 1 1998,2016,chishja01
28,24,Avisaíl García,ve VE,Position,,10-day,32,R,R,"6' 4""",250,Jun 12 1991,2008,garciav01
29,43,Andrew Nardi,us US,Pitcher,,15-day,24,L,L,"6' 3""",215,Aug 18 1998,2017,nardian01
30,32,Matt Barnes,us US,Pitcher,,15-day,33,R,R,"6' 4""",208,Jun 17 1990,2010,barnema01
31,23,Max Meyer,us US,Pitcher,,60-day,24,L,R,"6' 0""",196,Mar 12 1999,2018,meyerma01
32,37,Anthony Bender,us US,Pitcher,,60-day,28,R,R,"6' 4""",205,Feb 3 1995,2016,bendean01
33,51,Tommy Nance,us US,Pitcher,,60-day,32,R,R,"6' 6""",235,Mar 19 1991,2012,nanceto01
34,28,Trevor Rogers,us US,Pitcher,,60-day,25,L,L,"6' 5""",217,Nov 13 1997,2018,rogertr01
35,49,Jonathan Davis,us US,Position,,60-day,31,R,R,"5' 8""",190,May 12 1992,2011,davisjo05
36,39,Eury Pérez,do DO,Pitcher,,,20,R,R,"6' 8""",220,Apr 15 2003,2021,perezeu02
37,65,Josh Simpson,us US,Pitcher,,,25,L,L,"6' 2""",190,Aug 19 1997,2016,redirect.fcgi?player=1&mlb_ID=681006
38,92,Robert Garcia,us US,Pitcher,,,27,R,L,"6' 4""",225,Jun 14 1996,2016,garciro04
39,60,Sean Reynolds,us US,Pitcher,,,25,L,R,"6' 8""",250,Apr 19 1998,2016,redirect.fcgi?player=1&mlb_ID=669308
40,45,Sixto Sánchez,do DO,Pitcher,,,24,R,R,"6' 0""",234,Jul 29 1998,2015,sanchsi01
41,15,Jordan Groshans,us US,Position,,,23,R,R,"6' 3""",200,Nov 10 1999,2018,groshjo01
42,6,Peyton Burdick,us US,Position,,,26,R,R,"6' 0""",205,Feb 26 1997,2016,burdipe01
43,67,Jacob Amaya,us US,Position,,,24,R,R,"6' 0""",180,Sep 3 1998,2017,amayaja01
44,63,Xavier Edwards,us US,Position,,,23,S,R,"5' 10""",175,Aug 9 1999,2018,edwarxa01
45,64,Jerar Encarnación,do DO,Position,,,25,R,R,"6' 4""",250,Oct 22 1997,2016,encarje01
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
