Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,68,Jeff Hoffman,us US,Pitcher,*,,30,R,R,"6' 5""",235,Jan 8 1993,2012,hoffmje02
2,45,Zack Wheeler,us US,Pitcher,*,,33,L,R,"6' 4""",195,May 30 1990,2010,wheelza01
3,43,Yunior Marte,do DO,Pitcher,*,,28,R,R,"6' 2""",180,Feb 2 1995,2013,marteyu01
4,99,Taijuan Walker,us US,Pitcher,*,,30,S,R,"6' 4""",253,Aug 13 1992,2010,walketa01
5,55,Ranger Suárez,ve VE,Pitcher,*,,27,L,L,"6' 1""",217,Aug 26 1995,2012,suarera01
6,25,Matt Strahm,us US,Pitcher,*,,31,R,L,"6' 2""",190,Nov 12 1991,2012,strahma01
7,27,Aaron Nola,us US,Pitcher,*,,30,R,R,"6' 2""",200,Jun 4 1993,2012,nolaaa01
8,30,Gregory Soto,do DO,Pitcher,*,,28,L,L,"6' 1""",234,Feb 11 1995,2013,sotogr01
9,54,Dylan Covey,us US,Pitcher,*,,31,R,R,"6' 1""",215,Aug 14 1991,2011,coveydy01
10,61,Cristopher Sánchez,do DO,Pitcher,*,,26,L,L,"6' 1""",165,Dec 12 1996,2014,sanchcr01
11,31,Craig Kimbrel,us US,Pitcher,*,,35,R,R,"6' 0""",215,May 28 1988,2008,kimbrcr01
12,64,Andrew Bellatti,us US,Pitcher,*,,31,R,R,"6' 1""",190,Aug 5 1991,2009,bellaan01
13,37,Andrew Vasquez,us US,Pitcher,*,,29,L,L,"6' 6""",235,Sep 14 1993,2012,vasquan02
14,28,Alec Bohm,us US,Position,*,,26,R,R,"6' 5""",218,Aug 3 1996,2016,bohmal01
15,7,Trea Turner,us US,Position,*,,30,R,R,"6' 2""",185,Jun 30 1993,2012,turnetr01
16,8,Nick Castellanos,us US,Position,*,,31,R,R,"6' 4""",203,Mar 4 1992,2010,casteni01
17,16,Brandon Marsh,us US,Position,*,,25,L,R,"6' 4""",215,Dec 18 1997,2017,marshbr02
18,12,Kyle Schwarber,us US,Position,*,,30,L,R,"6' 0""",229,Mar 5 1993,2012,schwaky01
19,2,Josh Harrison,us US,Position,*,,35,R,R,"5' 8""",190,Jul 8 1987,2008,harrijo05
20,18,Johan Rojas,do DO,Position,*,,22,R,R,"5' 11""",165,Aug 14 2000,2018,rojasjo03
21,44,Jake Cave,us US,Position,*,,30,L,L,"6' 0""",200,Dec 4 1992,2011,caveja01
22,3,Bryce Harper,us US,Position,*,,30,L,R,"6' 3""",210,Oct 16 1992,2010,harpebr03
23,10,J.T. Realmuto,us US,Position,*,,32,R,R,"6' 1""",212,Mar 18 1991,2010,realmjt01
24,33,Edmundo Sosa,pa PA,Position,*,,27,R,R,"6' 0""",210,Mar 6 1996,2013,sosaed01
25,5,Bryson Stott,us US,Position,*,,25,L,R,"6' 3""",200,Oct 6 1997,2017,stottbr01
26,21,Garrett Stubbs,us US,Position,*,,30,L,R,"5' 10""",170,May 26 1993,2012,stubbga01
27,19,Cristian Pache,do DO,Position,,10-day,24,R,R,"6' 2""",215,Nov 19 1998,2016,pachecr01
28,58,Seranthony Domínguez,do DO,Pitcher,,15-day,28,R,R,"6' 1""",225,Nov 25 1994,2012,dominse01
29,46,José Alvarado,ve VE,Pitcher,,15-day,28,L,L,"6' 2""",245,May 21 1995,2012,alvarjo03
30,52,Noah Song,us US,Pitcher,,60-day,26,R,R,"6' 4""",200,May 28 1997,2016,redirect.fcgi?player=1&mlb_ID=679977
31,17,Rhys Hoskins,us US,Position,,60-day,30,R,R,"6' 4""",245,Mar 17 1993,2012,hoskirh01
32,56,Luis Ortiz,us US,Pitcher,,,27,R,R,"6' 3""",230,Sep 22 1995,2014,ortizlu02
33,79,McKinley Moore,us US,Pitcher,,,24,R,R,"6' 6""",225,Aug 24 1998,2017,mooremc01
34,47,Erich Uelmen,us US,Pitcher,,,27,R,R,"6' 3""",210,May 19 1996,2015,uelmeer01
35,57,Nick Nelson,us US,Pitcher,,,27,R,R,"6' 1""",205,Dec 5 1995,2016,nelsoni01
36,70,Bailey Falter,us US,Pitcher,,,26,R,L,"6' 4""",175,Apr 24 1997,2015,falteba01
37,75,Connor Brogdon,us US,Pitcher,,,28,R,R,"6' 6""",205,Jan 29 1995,2017,brogdco01
38,13,Rafael Marchán,ve VE,Position,,,24,S,R,"5' 9""",170,Feb 25 1999,2016,marchra01
39,40,Símon Muzziotti,ve VE,Position,,,24,L,L,"6' 0""",175,Dec 27 1998,2016,muzzisi01
40,23,Kody Clemens,us US,Position,,,27,L,R,"6' 1""",200,May 15 1996,2016,clemeko01
41,35,Drew Ellis,us US,Position,,,27,R,R,"6' 3""",205,Dec 1 1995,2016,ellisdr01
