Position,Team,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
C,ATL,Sean Murphy,28,71,289,249,44,72,18,0,17,57,0,0,31,68,0.289,0.384,0.566,0.95,150,141,11,8,0,1,0
1B,ATL,Matt Olson,29,95,427,365,74,94,18,2,32,80,1,0,58,113,0.258,0.363,0.581,0.944,147,212,8,3,0,1,2
2B,ATL,Ozzie Albies,26,95,406,364,55,95,17,3,22,66,7,0,29,60,0.261,0.319,0.505,0.825,116,184,6,5,0,6,2
SS,ATL,Orlando Arcia,28,74,286,265,39,77,12,0,9,32,1,0,20,53,0.291,0.343,0.438,0.78,107,116,10,1,0,0,0
3B,ATL,Austin Riley,26,95,421,377,68,101,17,1,20,56,2,0,34,99,0.268,0.33,0.477,0.808,113,180,14,4,0,6,2
LF,ATL,Eddie Rosario,31,83,305,283,39,71,15,2,15,44,1,3,21,74,0.251,0.302,0.477,0.779,104,135,7,0,0,1,1
CF,ATL,Michael Harris II,22,73,271,250,36,67,13,2,9,28,12,2,16,53,0.268,0.317,0.444,0.761,101,111,6,3,0,2,0
RF,ATL,Ronald Acuna Jr.,25,95,436,382,85,127,26,1,23,58,44,7,48,51,0.332,0.411,0.586,0.997,163,224,7,4,0,2,2
DH,ATL,Marcell Ozuna,32,79,316,283,38,67,8,0,18,41,0,0,31,73,0.237,0.313,0.456,0.769,103,129,6,1,0,1,1
C,ATL,Travis d'Arnaud,34,39,155,140,19,36,5,0,8,23,0,0,14,36,0.257,0.329,0.464,0.793,110,65,2,1,0,0,0
LF,ATL,Kevin Pillar,34,48,116,110,17,27,7,0,6,18,3,0,5,27,0.245,0.276,0.473,0.749,95,52,0,0,0,1,0
CF,ATL,Sam Hilliard,29,40,78,72,15,17,5,0,3,6,4,0,6,33,0.236,0.295,0.431,0.725,91,31,1,0,0,0,0
SS,ATL,Vaughn Grissom,22,19,70,65,5,18,2,0,0,7,0,1,2,13,0.277,0.314,0.308,0.622,68,20,1,2,0,1,0
CF,ATL,Eli White,29,6,17,14,1,1,0,0,0,0,0,0,2,7,0.071,0.235,0.071,0.307,-12,1,0,1,0,0,0
C,ATL,Chadwick Tromp,28,6,16,16,1,2,1,0,0,1,0,0,0,7,0.125,0.125,0.188,0.313,-18,3,0,0,0,0,0
SS,ATL,Ehire Adrianza,33,5,11,10,0,0,0,0,0,0,0,0,1,4,0.0,0.091,0.0,0.091,-72,0,0,0,0,0,0
SS,ATL,Braden Shewmake,25,2,4,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
DH,ATL,Charlie Culberson,34,1,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,439,1,0,0,0,0,0
,ATL,Nick Solak,28,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
