Position,Team,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
C,CHW,Yasmani Grandal,34,79,278,252,23,63,12,0,7,26,0,0,22,63,0.25,0.317,0.381,0.697,92,96,6,3,0,1,0
1B,CHW,Andrew Vaughn,25,94,393,353,43,86,23,2,12,54,0,0,28,78,0.244,0.316,0.422,0.738,102,149,11,10,0,2,0
2B,CHW,Elvis Andrus,34,67,244,216,19,45,7,1,2,20,6,4,21,42,0.208,0.288,0.278,0.566,58,60,1,4,1,2,1
SS,CHW,Tim Anderson,30,73,317,298,32,70,10,1,0,15,9,1,16,66,0.235,0.274,0.275,0.55,53,82,11,1,0,2,0
3B,CHW,Jake Burger,27,79,287,263,39,58,15,1,21,47,1,1,17,92,0.221,0.279,0.525,0.803,115,138,3,5,0,2,0
LF,CHW,Andrew Benintendi,28,91,379,341,48,98,24,1,1,28,11,1,32,54,0.287,0.352,0.372,0.724,101,127,4,3,1,2,5
CF,CHW,Luis Robert Jr.,25,95,400,364,65,100,24,0,28,57,10,2,21,115,0.275,0.329,0.571,0.901,142,208,8,9,0,1,4
RF,CHW,Gavin Sheets,27,71,213,190,17,42,4,0,8,26,0,0,20,39,0.221,0.296,0.368,0.664,83,70,3,1,0,2,2
DH,CHW,Eloy Jiménez,26,63,263,246,30,67,11,0,12,41,0,0,16,61,0.272,0.316,0.463,0.779,112,114,10,0,0,1,1
C,CHW,Seby Zavala,29,58,153,140,14,23,3,0,6,15,1,0,8,58,0.164,0.212,0.314,0.526,43,44,3,1,2,2,0
3B,CHW,Yoán Moncada,28,38,147,138,17,32,8,1,3,13,1,0,7,39,0.232,0.279,0.37,0.648,78,51,2,2,0,0,0
RF,CHW,Oscar Colás,24,36,119,110,12,22,4,0,1,9,2,2,5,33,0.2,0.237,0.264,0.501,39,29,1,1,1,2,0
2B,CHW,Romy Gonzalez,26,44,97,93,11,18,4,2,3,14,7,0,2,36,0.194,0.208,0.376,0.585,57,35,0,0,1,1,0
IF,CHW,Hanser Alberto,30,30,90,82,11,18,5,0,3,16,0,0,4,13,0.22,0.261,0.39,0.652,77,32,1,1,2,1,0
2B,CHW,Zach Remillard,29,24,83,73,8,23,5,0,0,11,3,1,7,22,0.315,0.383,0.384,0.766,114,28,2,1,2,0,1
OF,CHW,Clint Frazier,28,33,76,66,10,13,1,1,0,3,4,2,10,23,0.197,0.303,0.242,0.545,54,16,0,0,0,0,0
2B,CHW,Lenyn Sosa,23,22,70,68,4,9,3,0,1,3,0,0,1,16,0.132,0.145,0.221,0.366,-1,15,0,0,1,0,0
OF,CHW,Adam Haseley,27,28,39,36,6,8,2,0,0,2,1,0,3,8,0.222,0.282,0.278,0.56,56,10,1,0,0,0,0
DH,CHW,Carlos Pérez,26,9,12,11,0,2,1,0,0,1,0,0,1,2,0.182,0.25,0.273,0.523,45,3,1,0,0,0,0
OF,CHW,Jake Marisnick,32,9,2,2,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
RF,CHW,Billy Hamilton,32,3,2,2,2,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
2B,CHW,José Rodriguez,22,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
