Position,Team,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
C,COL,Elias Díaz,32,85,323,294,27,78,15,1,9,45,0,0,24,69,0.265,0.319,0.415,0.734,89,122,8,1,0,4,0
1B,COL,C.J. Cron,33,52,206,191,30,48,11,0,10,29,0,0,12,44,0.251,0.296,0.466,0.762,94,89,10,1,0,2,0
2B,COL,Harold Castro,29,71,206,197,19,53,10,0,1,23,0,0,6,47,0.269,0.288,0.335,0.623,61,66,4,0,1,2,0
SS,COL,Ezequiel Tovar,21,89,340,323,44,84,21,3,9,46,4,3,13,90,0.26,0.294,0.427,0.721,84,138,4,3,0,1,0
3B,COL,Ryan McMahon,28,93,385,342,49,87,20,3,15,46,5,3,41,120,0.254,0.335,0.462,0.797,104,158,12,1,0,1,1
LF,COL,Jurickson Profar,30,84,371,325,39,78,20,2,6,32,1,0,37,69,0.24,0.322,0.369,0.691,79,120,8,4,0,4,0
CF,COL,Brenton Doyle,25,63,207,186,27,38,6,1,6,24,14,3,15,73,0.204,0.267,0.344,0.611,57,64,3,2,1,3,0
RF,COL,Kris Bryant,31,63,268,240,27,61,7,0,8,23,0,0,24,47,0.254,0.332,0.383,0.715,86,92,4,4,0,0,0
DH,COL,Charlie Blackmon,36,56,242,211,34,56,14,2,5,26,0,1,21,33,0.265,0.347,0.422,0.769,99,89,4,7,0,3,0
OF,COL,Randal Grichuk,31,55,225,203,33,61,18,1,5,22,1,2,17,47,0.3,0.364,0.473,0.837,116,96,5,4,0,1,2
RF,COL,Nolan Jones,25,42,154,137,19,38,8,0,7,17,5,1,16,52,0.277,0.357,0.489,0.846,117,67,1,1,0,0,1
1B,COL,Mike Moustakas,34,47,136,115,21,31,7,0,4,17,0,0,17,34,0.27,0.36,0.435,0.795,106,50,1,1,0,3,1
2B,COL,Alan Trejo,27,45,128,121,12,29,8,0,1,14,4,0,5,28,0.24,0.268,0.331,0.598,55,40,2,0,1,1,0
CI,COL,Elehuris Montero,24,35,112,106,11,21,5,1,2,13,0,0,3,44,0.198,0.223,0.321,0.544,39,34,2,1,0,2,0
CF,COL,Yonathan Daza,29,24,80,74,8,20,6,0,0,7,1,0,3,13,0.27,0.304,0.351,0.655,70,26,5,1,1,1,0
C,COL,Austin Wynns,32,20,52,46,5,10,1,0,1,5,1,0,4,17,0.217,0.275,0.304,0.579,51,14,3,0,1,1,0
IF,COL,Coco Montes,26,18,41,38,3,7,2,0,1,3,0,0,2,12,0.184,0.244,0.316,0.56,44,12,0,1,0,0,0
1B,COL,Michael Toglia,24,13,35,31,6,6,1,0,1,1,0,1,4,10,0.194,0.286,0.323,0.608,58,10,1,0,0,0,0
DH,COL,Jorge Alfaro,30,10,32,31,2,5,4,0,1,4,0,0,0,12,0.161,0.188,0.387,0.575,44,12,2,1,0,0,0
C,COL,Brian Serven,28,11,23,23,0,3,1,0,0,1,0,0,0,10,0.13,0.13,0.174,0.304,-22,4,0,0,0,0,0
SS,COL,Connor Kaiser,26,3,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
