Position,Team,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
C,HOU,Martín Maldonado,36,71,250,220,18,37,7,0,7,17,0,0,19,77,0.168,0.244,0.295,0.539,50,65,8,3,8,0,0
1B,HOU,José Abreu,36,93,392,360,33,87,16,0,8,50,0,1,24,91,0.242,0.291,0.353,0.644,79,127,11,3,0,5,1
2B,HOU,Mauricio Dubón,28,78,330,316,52,87,18,2,4,26,6,1,10,44,0.275,0.3,0.383,0.683,89,121,9,2,0,2,0
SS,HOU,Jeremy Peña,25,86,363,335,44,79,16,1,10,33,8,6,19,80,0.236,0.29,0.379,0.669,85,127,3,7,0,1,1
3B,HOU,Alex Bregman,29,96,428,373,56,92,13,2,14,60,3,0,52,53,0.247,0.341,0.405,0.746,107,151,12,2,0,1,1
LF,HOU,Corey Julks,27,75,278,259,35,70,13,0,6,30,15,3,18,65,0.27,0.317,0.39,0.707,96,101,4,0,0,1,0
CF,HOU,Jake Meyers,27,75,252,225,31,51,12,1,7,23,5,1,22,65,0.227,0.306,0.382,0.688,91,86,2,4,0,1,0
RF,HOU,Kyle Tucker,26,95,403,346,49,103,24,0,14,64,17,3,45,54,0.298,0.376,0.488,0.864,139,169,9,2,0,6,5
DH,HOU,Yordan Alvarez,26,57,242,202,41,56,12,0,17,55,0,0,32,55,0.277,0.388,0.589,0.978,168,119,5,6,0,2,2
OF,HOU,Chas McCormick,28,57,224,196,30,56,10,1,12,35,10,1,21,59,0.286,0.372,0.531,0.903,148,104,1,6,1,0,0
DH,HOU,Yainer Diaz,24,56,205,194,23,51,12,0,10,23,0,0,6,40,0.263,0.283,0.479,0.762,107,93,9,1,0,4,0
2B,HOU,Jose Altuve,33,32,143,121,25,32,8,0,6,18,5,1,20,25,0.264,0.371,0.479,0.85,135,58,4,1,0,1,0
UT,HOU,David Hensley,27,28,89,80,12,10,1,0,1,3,1,0,9,33,0.125,0.213,0.175,0.388,11,14,0,0,0,0,0
UT,HOU,Bligh Madris,27,10,26,23,3,3,1,0,0,0,0,0,3,6,0.13,0.231,0.174,0.405,16,4,0,0,0,0,0
IF,HOU,Grae Kessinger,25,10,24,19,2,5,1,0,1,1,0,1,5,3,0.263,0.417,0.474,0.89,148,9,0,0,0,0,0
C,HOU,César Salazar,27,13,19,18,1,2,0,0,0,0,0,0,1,6,0.111,0.158,0.111,0.269,-23,2,1,0,0,0,0
2B,HOU,Rylan Bannon,27,2,6,6,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
