Position,Team,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
C,SD,Austin Nola,33,52,154,130,9,19,3,0,1,8,0,0,18,31,0.146,0.26,0.192,0.452,31,25,5,2,4,0,0
1B,SD,Jake Cronenworth,29,95,395,338,38,70,15,4,8,35,4,1,42,79,0.207,0.305,0.346,0.651,84,117,8,8,1,5,2
2B,SD,Ha-Seong Kim,27,92,353,304,49,80,13,0,11,33,18,4,40,79,0.263,0.351,0.414,0.766,115,126,4,3,3,3,0
SS,SD,Xander Bogaerts,30,91,391,345,45,90,15,0,11,36,10,1,41,72,0.261,0.343,0.4,0.743,109,138,13,3,0,2,0
3B,SD,Manny Machado,30,81,352,322,46,82,13,0,18,54,3,1,26,62,0.255,0.31,0.463,0.772,114,149,13,1,0,3,0
LF,SD,Juan Soto,24,97,429,332,55,87,23,0,17,54,6,3,92,86,0.262,0.42,0.485,0.905,155,161,6,1,0,4,8
CF,SD,Trent Grisham,26,93,352,300,43,66,24,1,10,31,10,3,47,99,0.22,0.331,0.407,0.738,107,122,4,3,1,0,0
RF,SD,Fernando Tatis Jr.,24,77,354,322,55,92,22,1,17,49,15,3,26,69,0.286,0.343,0.519,0.861,139,167,9,3,1,2,0
DH,SD,Matt Carpenter,37,64,203,166,15,28,11,0,4,27,1,0,31,59,0.169,0.297,0.307,0.604,71,51,2,1,0,4,0
2B,SD,Rougned Odor,29,59,157,138,21,29,10,0,4,18,2,1,17,37,0.21,0.306,0.37,0.675,90,51,2,2,0,0,0
DH,SD,Nelson Cruz,42,49,152,143,9,35,5,1,5,23,1,0,6,46,0.245,0.283,0.399,0.681,90,57,2,2,0,1,1
C,SD,Gary Sánchez,30,41,150,134,20,26,4,0,9,23,0,0,14,35,0.194,0.273,0.425,0.699,93,57,2,1,0,1,0
UT,SD,Brandon Dixon,31,33,86,79,10,16,4,0,2,9,1,0,1,31,0.203,0.244,0.329,0.573,60,26,1,4,0,2,0
OF,SD,José Azocar,27,26,55,51,8,12,2,0,0,3,6,1,1,11,0.235,0.25,0.275,0.525,48,14,0,0,3,0,0
C,SD,Brett Sullivan,29,21,49,47,4,8,3,0,1,5,0,0,1,13,0.17,0.184,0.298,0.482,33,14,0,0,0,1,0
C,SD,Luis Campusano,24,9,28,27,3,5,1,0,1,2,0,0,0,6,0.185,0.179,0.333,0.512,40,9,2,0,0,1,0
1B,SD,Alfonso Rivas,26,5,10,9,1,2,1,0,0,1,0,0,1,3,0.222,0.3,0.333,0.633,79,3,0,0,0,0,0
RF,SD,David Dahl,29,4,9,9,1,1,0,0,1,1,0,0,0,2,0.111,0.111,0.444,0.556,46,4,0,0,0,0,0
IF,SD,Matthew Batten,28,4,6,4,2,2,0,0,1,2,0,1,2,1,0.5,0.667,1.25,1.917,424,5,0,0,0,0,0
CF,SD,Adam Engel,31,5,6,6,0,0,0,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
RF,SD,Taylor Kohlwey,28,1,4,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,42,1,0,0,0,0,0
