Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,ARI,Zac Gallen,27,11,4,0,3,21,21,0,0,0,0,130.1,112,51,46,12,26,0,135,1,1,6,519,134,3.03,1.059,7.7,0.8,1.8,9.3,5
SP,ARI,Ryne Nelson,25,6,5,0,4,20,20,0,0,0,0,106.1,117,59,57,16,30,0,73,1,1,5,454,88,4.74,1.382,9.9,1.4,2.5,6.2,2
SP,ARI,Merrill Kelly,34,9,4,0,3,16,16,0,0,0,0,95.0,71,40,34,10,37,0,98,3,2,3,381,132,3.85,1.137,6.7,0.9,3.5,9.3,2
SP,ARI,Tommy Henry,25,5,2,0,3,15,14,0,0,0,0,78.2,76,34,34,12,30,1,56,2,0,1,332,109,5.07,1.347,8.7,1.4,3.4,6.4,1
SP,ARI,Zach Davies,30,1,5,0,7,12,12,0,0,0,0,57.1,66,50,47,7,27,0,46,0,0,0,259,58,4.68,1.622,10.4,1.1,4.2,7.2,1
CL,ARI,Andrew Chafin,33,2,2,0,3,40,0,14,0,0,8,32.1,27,12,11,3,15,0,45,0,0,1,137,140,3.1,1.299,7.5,0.8,4.2,12.5,3
RP,ARI,Scott McGough,33,1,6,0,3,42,0,16,0,0,7,47.2,33,23,20,6,19,2,59,1,0,1,195,113,3.71,1.091,6.2,1.1,3.6,11.1,3
RP,ARI,Miguel Castro,28,5,4,0,3,44,0,16,0,0,7,40.0,27,17,17,5,15,3,32,1,0,0,161,112,4.51,1.05,6.1,1.1,3.4,7.2,2
RP,ARI,Kevin Ginkel,29,3,0,1,2,33,0,13,0,0,2,37.2,26,14,10,2,11,0,34,1,1,4,146,179,3.13,0.982,6.2,0.5,2.6,8.1,3
RP,ARI,Kyle Nelson,26,4,2,0,2,43,1,4,0,0,0,36.1,35,15,12,6,9,0,48,1,0,1,153,144,3.62,1.211,8.7,1.5,2.2,11.9,5
P,ARI,Drey Jameson,25,3,1,0,3,15,3,3,0,0,1,40.2,40,15,15,6,18,0,37,1,0,0,174,129,4.79,1.426,8.9,1.3,4.0,8.2,2
P,ARI,José Ruiz,28,2,1,0,4,32,0,12,0,0,0,38.0,39,19,17,5,16,1,33,4,0,3,169,106,4.84,1.447,9.2,1.2,3.8,7.8,2
P,ARI,Brandon Pfaadt,24,0,3,0,9,6,6,0,0,0,0,25.2,38,28,28,9,10,0,21,1,0,0,122,44,7.49,1.87,13.3,3.2,3.5,7.4,2
P,ARI,Madison Bumgarner,33,0,3,0,10,4,4,0,0,0,0,16.2,25,20,19,4,15,0,10,1,0,0,90,42,8.09,2.4,13.5,2.2,8.1,5.4,0
P,ARI,Joe Mantiply,32,1,0,1,5,13,0,5,0,0,0,15.2,16,10,10,3,1,0,14,0,0,0,62,75,4.18,1.085,9.2,1.7,0.6,8.0,14
P,ARI,Austin Adams,32,0,1,0,6,19,0,1,0,0,0,14.0,13,11,10,1,6,0,18,4,0,2,65,68,3.79,1.357,8.4,0.6,3.9,11.6,3
P,ARI,Anthony Misiewicz,28,1,0,1,5,7,0,1,0,0,0,8.0,11,5,5,1,3,0,6,0,0,2,37,79,4.54,1.75,12.4,1.1,3.4,6.8,2
