Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,ATL,Spencer Strider,24,11,3,0,3,20,20,0,0,0,0,116.2,92,53,49,16,35,1,189,6,2,4,476,119,2.88,1.089,7.1,1.2,2.7,14.6,5
SP,ATL,Charlie Morton,39,10,7,0,3,19,19,0,0,0,0,109.2,104,45,41,10,46,1,119,5,2,1,473,134,3.7,1.368,8.5,0.8,3.8,9.8,2
SP,ATL,Bryce Elder,24,7,2,0,3,19,19,0,0,0,0,108.2,100,43,40,11,35,0,84,6,1,10,452,136,4.19,1.242,8.3,0.9,2.9,7.0,2
SP,ATL,Jared Shuster,24,4,2,0,5,9,9,0,0,0,0,45.0,42,25,25,4,22,0,25,1,0,3,193,91,4.86,1.422,8.4,0.8,4.4,5.0,1
CL,ATL,Raisel Iglesias,33,3,4,0,4,31,0,26,0,0,17,28.2,29,16,13,4,9,2,34,0,0,0,123,112,3.67,1.326,9.1,1.3,2.8,10.7,3
RP,ATL,A.J. Minter,29,3,5,0,4,44,0,16,0,0,10,40.1,34,22,22,4,10,0,50,0,1,1,158,92,2.84,1.091,7.6,0.9,2.2,11.2,5
RP,ATL,Kirby Yates,36,4,0,1,3,36,0,6,0,0,1,36.1,25,14,14,6,19,1,49,2,0,4,154,131,4.47,1.211,6.2,1.5,4.7,12.1,2
RP,ATL,Nick Anderson,32,4,0,1,3,35,0,3,0,0,1,35.1,30,14,12,3,9,0,36,0,0,1,141,149,3.12,1.104,7.6,0.8,2.3,9.2,4
RP,ATL,Joe Jiménez,28,0,2,0,3,33,0,12,0,0,0,32.2,29,13,11,4,10,0,38,1,0,0,139,150,3.56,1.194,8.0,1.1,2.8,10.5,3
P,ATL,Michael Tonkin,33,5,2,0,3,23,0,6,0,0,1,48.2,35,20,17,6,10,0,40,1,0,1,188,144,3.92,0.925,6.5,1.1,1.8,7.4,4
P,ATL,Collin McHugh,36,3,1,0,3,29,1,2,0,0,0,39.2,49,20,16,3,14,0,29,4,0,0,179,125,4.17,1.588,11.1,0.7,3.2,6.6,2
P,ATL,Max Fried,29,2,1,0,2,5,5,0,1,1,0,26.0,22,8,6,2,6,0,25,0,0,0,103,219,3.06,1.077,7.6,0.7,2.1,8.7,4
P,ATL,Dylan Dodd,25,2,1,0,7,5,5,0,0,0,0,24.1,37,20,20,8,8,1,12,1,0,1,114,62,7.68,1.849,13.7,3.0,3.0,4.4,1
P,ATL,Michael Soroka,25,1,1,0,5,5,4,0,0,0,0,23.1,26,14,14,6,9,0,19,4,0,2,107,85,6.67,1.5,10.0,2.3,3.5,7.3,2
P,ATL,Dylan Lee,28,1,0,1,3,20,1,2,0,0,0,20.1,18,9,7,2,7,0,23,0,0,0,85,148,3.34,1.23,8.0,0.9,3.1,10.2,3
P,ATL,Kyle Wright,27,0,1,0,5,5,5,0,0,0,0,18.2,23,14,12,2,10,0,20,2,0,2,93,79,4.46,1.768,11.1,1.0,4.8,9.6,2
P,ATL,AJ Smith-Shawver,20,1,0,1,4,4,3,0,0,0,0,16.2,13,10,8,5,6,0,15,1,0,1,69,106,6.65,1.14,7.0,2.7,3.2,8.1,2
P,ATL,Kolby Allard,25,0,1,0,6,4,3,1,0,0,0,12.1,16,9,9,2,4,0,13,0,0,1,56,70,4.26,1.622,11.7,1.5,2.9,9.5,3
P,ATL,Lucas Luetge,36,1,0,1,8,11,0,4,0,0,0,11.2,17,11,11,2,7,0,11,1,0,2,59,55,5.69,2.057,13.1,1.5,5.4,8.5,1
