Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,BOS,Brayan Bello,24,7,6,0,3,16,16,0,0,0,0,90.0,86,38,36,13,24,0,78,4,0,1,380,129,4.36,1.222,8.6,1.3,2.4,7.8,3
SP,BOS,Tanner Houck,27,3,6,0,5,13,13,0,0,0,0,67.2,62,39,38,9,23,0,64,2,0,0,285,92,4.23,1.256,8.2,1.2,3.1,8.5,2
SP,BOS,Kutter Crawford,27,4,4,0,3,18,10,5,0,0,0,67.1,59,29,28,10,17,0,67,2,0,3,273,124,4.07,1.129,7.9,1.3,2.3,9.0,3
SP,BOS,James Paxton,34,5,2,0,3,11,11,0,0,0,0,59.0,44,24,23,9,17,0,68,2,0,1,236,133,3.93,1.034,6.7,1.4,2.6,10.4,4
SP,BOS,Chris Sale,34,5,2,0,4,11,11,0,0,0,0,59.0,55,31,30,8,15,0,71,6,0,2,249,102,3.71,1.186,8.4,1.2,2.3,10.8,4
SP,BOS,Garrett Whitlock,27,4,3,0,5,10,10,0,0,0,0,51.2,61,31,30,10,7,0,47,2,0,2,216,89,4.51,1.316,10.6,1.7,1.2,8.2,6
CL,BOS,Kenley Jansen,35,2,4,0,3,34,0,28,0,0,20,32.0,29,12,11,2,14,1,38,0,0,1,136,151,3.04,1.344,8.2,0.6,3.9,10.7,2
RP,BOS,Nick Pivetta,30,6,5,0,4,23,8,2,0,0,0,75.0,58,42,37,12,33,1,94,4,1,4,319,105,4.34,1.213,7.0,1.4,4.0,11.3,2
RP,BOS,Josh Winckowski,25,3,1,0,3,33,0,5,0,0,2,53.2,57,23,18,8,16,1,44,2,0,2,229,154,4.59,1.36,9.6,1.3,2.7,7.4,2
RP,BOS,Brennan Bernardino,31,1,0,1,2,27,3,6,0,0,0,31.2,24,9,8,2,8,0,33,2,0,0,123,206,2.97,1.011,6.8,0.6,2.3,9.4,4
RP,BOS,Chris Martin,37,3,1,0,1,31,0,7,0,0,1,29.2,25,5,5,1,4,1,26,0,0,1,115,309,2.38,0.978,7.6,0.3,1.2,7.9,6
P,BOS,Corey Kluber,37,3,6,0,7,15,9,1,0,0,1,55.0,69,47,43,17,21,0,42,4,0,1,257,66,7.14,1.636,11.3,2.8,3.4,6.9,2
P,BOS,Kaleb Ort,31,1,2,0,6,21,2,7,0,0,0,23.0,27,19,16,6,9,1,24,1,0,2,107,75,5.89,1.565,10.6,2.3,3.5,9.4,2
P,BOS,Richard Bleier,36,1,0,1,5,20,0,2,0,0,0,21.0,25,15,13,4,4,1,14,2,0,3,92,84,5.29,1.381,10.7,1.7,1.7,6.0,3
P,BOS,Ryan Brasier,35,1,0,1,7,20,0,10,0,0,1,21.0,24,18,17,2,9,0,18,2,0,2,95,65,4.38,1.571,10.3,0.9,3.9,7.7,2
P,BOS,Justin Garza,29,0,2,0,6,16,1,8,0,0,0,17.2,19,14,12,3,12,1,17,1,0,1,86,77,5.78,1.755,9.7,1.5,6.1,8.7,1
P,BOS,John Schreiber,29,1,0,1,2,18,0,2,0,0,0,17.0,14,5,4,1,8,0,21,1,0,0,70,223,3.17,1.294,7.4,0.5,4.2,11.1,2
P,BOS,Joe Jacques,28,1,1,0,5,11,1,3,0,0,1,14.0,19,11,9,2,2,0,10,0,0,1,59,82,4.14,1.5,12.2,1.3,1.3,6.4,5
P,BOS,Matt Dermody,32,0,1,0,6,1,1,0,0,0,0,4.0,4,3,3,2,1,0,1,1,0,0,17,74,10.79,1.25,9.0,4.5,2.3,2.3,1
