Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,CHC,Marcus Stroman,32,10,7,0,3,21,21,0,1,1,0,122.1,94,47,42,7,46,0,105,3,0,2,498,145,3.51,1.144,6.9,0.5,3.4,7.7,2
SP,CHC,Drew Smyly,34,7,7,0,4,19,19,0,0,0,0,100.0,102,54,50,16,35,0,86,4,1,3,433,99,4.82,1.37,9.2,1.4,3.2,7.7,2
SP,CHC,Justin Steele,27,9,3,0,2,17,17,0,0,0,0,97.1,88,35,32,6,20,0,87,5,1,3,396,151,3.07,1.11,8.1,0.6,1.8,8.0,4
SP,CHC,Jameson Taillon,31,3,6,0,6,16,16,0,0,0,0,77.1,85,57,52,14,23,0,67,3,0,1,335,74,4.92,1.397,9.9,1.6,2.7,7.8,2
SP,CHC,Kyle Hendricks,33,3,4,0,3,11,11,0,0,0,0,64.0,58,30,24,8,10,0,42,3,0,0,261,133,4.21,1.063,8.2,1.1,1.4,5.9,4
SP,CHC,Hayden Wesneski,25,2,3,0,4,15,10,1,0,0,0,60.2,58,36,32,14,15,0,49,3,0,1,254,94,5.56,1.203,8.6,2.1,2.2,7.3,3
CL,CHC,Adbert Alzolay,28,1,4,0,2,35,0,17,0,0,7,41.0,34,15,12,3,7,0,46,2,1,0,159,171,2.65,1.0,7.5,0.7,1.5,10.1,6
RP,CHC,Michael Fulmer,30,1,5,0,4,42,0,12,0,0,1,42.1,34,22,21,5,19,0,45,0,0,4,171,101,4.04,1.252,7.2,1.1,4.0,9.6,2
RP,CHC,Julian Merryweather,31,3,0,1,3,41,0,12,0,0,0,41.0,41,19,18,4,21,0,54,0,0,1,183,114,3.46,1.512,9.0,0.9,4.6,11.9,2
RP,CHC,Mark Leiter Jr.,32,1,2,0,3,39,0,9,0,0,3,39.1,27,17,15,4,12,0,53,5,1,1,162,131,3.21,0.992,6.2,0.9,2.7,12.1,4
RP,CHC,Michael Rucker,29,2,1,0,5,32,0,11,0,0,0,38.0,39,22,22,6,16,0,38,3,0,1,165,86,4.84,1.447,9.2,1.4,3.8,9.0,2
P,CHC,Javier Assad,25,0,2,0,3,15,1,8,0,0,0,42.2,40,18,18,5,20,0,33,0,0,0,178,118,4.67,1.406,8.4,1.1,4.2,7.0,1
P,CHC,Keegan Thompson,28,2,2,0,4,15,0,3,0,0,0,21.1,14,10,10,1,14,0,16,0,0,2,91,107,4.36,1.313,5.9,0.4,5.9,6.8,1
P,CHC,Brad Boxberger,35,0,1,0,5,17,0,4,0,0,2,14.2,13,9,9,3,9,1,13,1,0,0,65,83,6.22,1.5,8.0,1.8,5.5,8.0,1
P,CHC,Brandon Hughes,27,0,3,0,7,17,0,2,0,0,0,13.2,14,11,11,2,8,1,17,1,0,0,63,63,4.68,1.61,9.2,1.3,5.3,11.2,2
P,CHC,Daniel Palencia,23,1,0,1,3,5,0,3,0,0,0,6.0,6,2,2,1,1,0,5,0,0,1,22,157,4.29,1.167,9.0,1.5,1.5,7.5,5
P,CHC,Caleb Kilian,26,0,1,0,18,1,1,0,0,0,0,3.1,10,7,7,0,2,0,4,2,0,1,23,26,4.49,3.6,27.0,0.0,5.4,10.8,2
