Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,CHW,Lucas Giolito,28,6,6,0,3,20,20,0,0,0,0,116.0,100,55,51,20,39,0,122,5,0,2,484,111,4.56,1.198,7.8,1.6,3.0,9.5,3
SP,CHW,Lance Lynn,36,6,8,0,6,19,19,0,0,0,0,108.1,115,78,73,24,40,1,133,5,0,3,480,72,4.96,1.431,9.6,2.0,3.3,11.0,3
SP,CHW,Dylan Cease,27,4,3,0,4,20,20,0,0,0,0,107.2,99,55,50,12,45,1,129,6,0,5,470,105,3.76,1.337,8.3,1.0,3.8,10.8,2
SP,CHW,Michael Kopech,27,4,8,0,4,18,18,0,0,0,0,92.1,71,44,44,19,57,0,102,9,0,5,403,102,5.9,1.386,6.9,1.9,5.6,9.9,1
SP,CHW,Mike Clevinger,32,3,4,0,3,12,12,0,0,0,0,62.2,59,27,27,9,26,0,53,4,0,2,274,113,4.9,1.356,8.5,1.3,3.7,7.6,2
CL,CHW,Kendall Graveman,32,3,4,0,3,43,0,22,0,0,8,42.0,29,17,14,6,19,0,41,5,0,2,175,147,4.91,1.143,6.2,1.3,4.1,8.8,2
RP,CHW,Gregory Santos,23,2,0,1,2,43,0,7,0,0,1,48.0,48,15,14,1,10,0,47,3,0,1,202,168,2.41,1.208,9.0,0.2,1.9,8.8,4
RP,CHW,Reynaldo López,29,2,5,0,4,42,0,13,0,0,4,40.0,33,21,20,7,22,1,50,0,1,2,172,98,4.71,1.375,7.4,1.6,5.0,11.3,2
RP,CHW,Keynan Middleton,29,2,1,0,2,36,0,6,0,0,2,34.0,27,12,11,5,14,0,44,1,0,1,142,152,3.93,1.206,7.1,1.3,3.7,11.6,3
RP,CHW,Aaron Bummer,29,3,2,0,7,38,0,5,0,0,0,33.1,33,27,26,0,17,3,42,1,0,3,151,63,2.39,1.5,8.9,0.0,4.6,11.3,2
P,CHW,Jesse Scholtens,29,1,2,0,3,13,2,7,0,0,1,34.1,32,13,12,4,11,0,18,0,0,1,142,140,4.71,1.252,8.4,1.0,2.9,4.7,1
P,CHW,Joe Kelly,35,1,4,0,4,29,0,4,0,0,1,28.0,25,18,15,3,10,0,37,1,2,3,120,92,3.21,1.25,8.0,1.0,3.2,11.9,3
P,CHW,Touki Toussaint,27,0,2,0,4,6,3,1,0,0,0,26.1,16,12,12,2,17,0,23,3,1,1,110,108,4.8,1.253,5.5,0.7,5.8,7.9,1
P,CHW,Tanner Banks,31,0,3,0,5,12,3,5,0,0,0,25.2,25,16,16,5,6,0,25,2,0,0,107,79,4.81,1.208,8.8,1.8,2.1,8.8,4
P,CHW,Jimmy Lambert,28,2,1,0,6,25,1,8,0,0,0,24.1,29,20,17,7,14,1,28,1,0,0,116,71,6.57,1.767,10.7,2.6,5.2,10.4,2
P,CHW,Jake Diekman,36,0,1,0,7,13,0,5,0,0,0,11.1,11,14,10,1,13,0,11,0,2,2,58,57,5.93,2.118,8.7,0.8,10.3,8.7,0
P,CHW,Garrett Crochet,24,0,1,0,3,10,0,5,0,0,0,10.0,10,5,4,1,11,0,9,1,0,1,52,126,6.39,2.1,9.0,0.9,9.9,8.1,0
P,CHW,Liam Hendriks,34,2,0,1,5,5,0,3,0,0,1,5.0,4,3,3,1,1,0,3,0,0,0,20,87,5.29,1.0,7.2,1.8,1.8,5.4,3
P,CHW,Nicholas Padilla,26,0,1,0,5,3,0,0,0,0,0,4.2,9,3,3,1,1,0,6,0,0,0,23,81,4.14,2.143,17.4,1.9,1.9,11.6,6
P,CHW,Alex Colomé,34,0,1,0,6,4,0,2,0,0,0,3.0,2,4,2,1,3,0,2,0,1,0,15,81,9.29,1.667,6.0,3.0,9.0,6.0,0
