Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,COL,Kyle Freeland,30,4,10,0,4,19,19,0,0,0,0,103.0,115,60,54,17,34,0,63,0,0,1,443,107,5.2,1.447,10.0,1.5,3.0,5.5,1
SP,COL,Austin Gomber,29,8,8,0,6,20,20,0,0,0,0,102.0,120,72,70,22,30,0,68,2,0,4,445,82,5.7,1.471,10.6,1.9,2.6,6.0,2
SP,COL,Connor Seabold,27,1,7,0,7,20,13,3,0,0,0,72.2,90,61,58,17,24,1,54,7,0,3,336,70,6.12,1.569,11.1,2.1,3.0,6.7,2
SP,COL,Chase Anderson,35,0,4,0,6,11,11,0,0,0,0,49.2,61,38,38,14,18,0,36,6,0,0,224,73,6.95,1.591,11.1,2.5,3.3,6.5,2
SP,COL,Ryan Feltner,26,2,3,0,5,8,8,0,0,0,0,35.1,37,24,23,2,25,0,33,1,2,0,165,86,4.36,1.755,9.4,0.5,6.4,8.4,1
CL,COL,Pierce Johnson,32,1,4,0,5,41,0,25,0,0,13,37.2,44,26,25,7,23,0,55,0,0,2,179,85,4.61,1.779,10.5,1.7,5.5,13.1,2
RP,COL,Jake Bird,27,2,1,0,4,44,2,4,0,0,0,57.0,59,30,26,3,19,0,54,4,0,2,243,123,3.29,1.368,9.3,0.5,3.0,8.5,2
RP,COL,Justin Lawrence,28,3,3,0,2,41,0,19,0,0,6,49.0,31,17,14,1,22,3,51,1,0,2,198,197,2.88,1.082,5.7,0.2,4.0,9.4,2
RP,COL,Brent Suter,33,4,0,1,2,32,0,8,0,0,0,42.2,35,18,13,2,14,0,35,1,0,1,175,185,3.31,1.148,7.4,0.4,3.0,7.4,2
RP,COL,Brad Hand,33,2,1,0,4,35,0,9,0,0,0,31.2,32,17,17,3,15,1,37,3,0,3,142,105,3.89,1.484,9.1,0.9,4.3,10.5,2
P,COL,Peter Lambert,26,1,1,0,6,15,1,1,0,0,0,34.1,41,25,24,9,15,0,36,1,0,0,153,81,5.99,1.631,10.7,2.4,3.9,9.4,2
P,COL,Daniel Bard,38,3,1,0,2,32,0,7,0,0,1,33.2,19,8,8,2,26,1,29,4,1,2,142,237,5.01,1.337,5.1,0.5,7.0,7.8,1
P,COL,Dinelson Lamet,30,1,4,0,11,16,4,1,0,0,0,25.2,38,35,33,6,22,0,31,1,1,4,134,44,6.6,2.338,13.3,2.1,7.7,10.9,1
P,COL,Matt Carasiti,31,1,0,1,7,14,0,2,0,0,1,21.2,26,19,17,3,11,0,14,1,0,1,101,72,5.46,1.708,10.8,1.2,4.6,5.8,1
P,COL,Germán Márquez,28,2,2,0,4,4,4,0,0,0,0,20.0,19,11,11,4,3,0,17,0,1,0,80,103,4.64,1.1,8.6,1.8,1.4,7.7,5
P,COL,Noah Davis,26,0,2,0,10,5,4,0,0,0,0,18.2,32,23,22,4,10,0,16,1,1,4,96,48,6.13,2.25,15.4,1.9,4.8,7.7,1
P,COL,José Ureña,31,0,4,0,9,5,5,0,0,0,0,18.1,27,22,20,9,14,0,9,0,0,1,93,52,10.98,2.236,13.3,4.4,6.9,4.4,0
P,COL,Karl Kauffmann,25,0,3,0,10,5,3,1,0,0,0,17.2,26,21,20,3,10,0,8,2,0,0,84,50,6.63,2.038,13.2,1.5,5.1,4.1,0
P,COL,Gavin Hollowell,25,1,0,1,4,8,0,2,0,0,0,11.2,12,7,6,1,6,1,12,1,0,0,54,111,4.14,1.543,9.3,0.8,4.6,9.3,2
P,COL,Antonio Senzatela,28,0,1,0,4,2,2,0,0,0,0,7.2,7,4,4,3,2,0,4,0,0,0,30,111,8.11,1.174,8.2,3.5,2.3,4.7,2
P,COL,Fernando Abad,37,1,0,1,4,6,0,2,0,0,0,6.1,11,3,3,2,3,0,2,0,0,0,32,124,8.18,2.211,15.6,2.8,4.3,2.8,0
