Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,KC,Jordan Lyles,32,1,11,0,6,18,18,0,1,0,0,102.2,98,74,69,20,31,0,73,1,0,6,434,73,5.33,1.256,8.6,1.8,2.7,6.4,2
SP,KC,Brady Singer,26,6,8,0,5,19,19,0,0,0,0,102.2,119,67,65,12,35,0,81,5,0,2,456,77,4.4,1.5,10.4,1.1,3.1,7.1,2
SP,KC,Zack Greinke,39,1,10,0,5,19,19,0,0,0,0,96.2,111,60,58,18,15,0,65,3,0,2,407,81,4.92,1.303,10.3,1.7,1.4,6.1,4
SP,KC,Daniel Lynch IV,26,3,4,0,4,9,9,0,0,0,0,52.1,50,29,27,9,16,0,34,1,1,1,223,95,5.2,1.261,8.6,1.5,2.8,5.8,2
SP,KC,Brad Keller,27,3,4,0,4,9,9,0,0,0,0,43.1,41,23,21,3,40,0,31,3,0,7,201,101,5.73,1.869,8.5,0.6,8.3,6.4,0
CL,KC,Scott Barlow,30,2,4,0,4,34,0,29,0,0,11,35.0,31,21,19,3,19,0,45,0,0,3,154,90,3.46,1.429,8.0,0.8,4.9,11.6,2
RP,KC,Carlos Hernández,26,0,5,0,3,41,4,6,0,0,0,48.0,36,21,20,3,13,0,56,0,2,1,192,117,2.58,1.021,6.8,0.6,2.4,10.5,4
RP,KC,Taylor Clarke,30,1,4,0,6,38,1,4,0,0,0,39.1,49,29,28,8,18,1,44,2,0,2,181,69,5.22,1.703,11.2,1.8,4.1,10.1,2
RP,KC,Jose Cuas,29,3,0,1,3,41,1,5,0,0,0,38.1,40,17,17,5,19,0,48,4,0,2,175,111,4.28,1.539,9.4,1.2,4.5,11.3,2
RP,KC,Aroldis Chapman,35,4,2,0,2,31,0,9,0,0,2,29.1,16,10,8,0,20,0,53,0,1,2,122,180,1.72,1.227,4.9,0.0,6.1,16.3,2
P,KC,Ryan Yarbrough,31,2,5,0,5,12,5,2,0,0,0,38.0,39,22,22,4,9,0,23,6,0,1,161,85,4.63,1.263,9.2,0.9,2.1,5.4,2
P,KC,Mike Mayers,31,1,2,0,6,6,2,0,0,0,0,26.1,34,19,18,4,10,0,17,0,0,2,119,72,5.11,1.671,11.6,1.4,3.4,5.8,1
P,KC,Amir Garrett,31,0,1,0,3,27,0,3,0,0,0,24.1,22,11,9,4,20,0,28,0,0,1,112,133,5.59,1.726,8.1,1.5,7.4,10.4,1
P,KC,Austin Cox,26,0,1,0,3,9,2,2,0,0,0,21.2,14,8,8,1,11,0,19,0,0,0,87,134,3.66,1.154,5.8,0.4,4.6,7.9,1
P,KC,Josh Taylor,30,1,3,0,8,17,1,4,0,0,0,17.2,22,17,16,4,9,1,26,0,1,1,83,55,4.81,1.755,11.2,2.0,4.6,13.2,2
P,KC,Max Castillo,24,0,1,0,4,5,0,2,0,0,0,17.0,17,8,8,2,6,1,10,1,0,0,73,105,4.87,1.353,9.0,1.1,3.2,5.3,1
P,KC,Kris Bubic,25,0,2,0,3,3,3,0,0,0,0,16.0,19,7,7,1,2,0,16,1,0,1,68,114,2.66,1.313,10.7,0.6,1.1,9.0,8
P,KC,Alec Marsh,25,0,3,0,5,3,3,0,0,0,0,15.0,14,10,9,5,8,0,21,1,0,1,66,83,6.62,1.467,8.4,3.0,4.8,12.6,2
