Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,PHI,Aaron Nola,30,9,6,0,4,20,20,0,0,0,0,126.1,106,66,60,21,30,0,126,1,0,0,509,101,4.19,1.077,7.6,1.5,2.1,9.0,4
SP,PHI,Zack Wheeler,33,7,5,0,3,20,20,0,0,0,0,118.1,112,54,51,10,23,0,134,7,0,1,495,111,2.88,1.141,8.5,0.8,1.7,10.2,5
SP,PHI,Taijuan Walker,30,11,4,0,4,20,20,0,0,0,0,107.1,92,49,49,13,43,0,94,2,1,2,443,105,4.37,1.258,7.7,1.1,3.6,7.9,2
SP,PHI,Ranger Suárez,27,2,5,0,4,13,13,0,0,0,0,73.0,75,34,33,7,27,0,67,1,0,4,313,106,3.85,1.397,9.2,0.9,3.3,8.3,2
SP,PHI,Bailey Falter,26,0,7,0,5,8,7,0,0,0,0,40.1,50,30,23,7,8,0,28,0,0,0,175,84,4.75,1.438,11.2,1.6,1.8,6.2,3
SP,PHI,Cristopher Sánchez,26,0,3,0,3,7,7,0,0,0,0,35.1,31,15,12,5,6,0,30,0,0,2,140,142,3.94,1.047,7.9,1.3,1.5,7.6,5
CL,PHI,Craig Kimbrel,35,5,1,0,3,42,0,29,0,0,16,40.0,22,14,14,5,16,1,60,2,1,2,157,137,3.26,0.95,5.0,1.1,3.6,13.5,3
RP,PHI,Matt Strahm,31,6,3,0,3,31,9,4,0,0,1,60.0,47,25,24,9,15,0,76,3,1,1,241,120,3.61,1.033,7.1,1.4,2.3,11.4,5
RP,PHI,Andrew Vasquez,29,2,0,1,2,29,0,11,0,0,0,39.2,34,10,9,3,14,1,34,5,2,2,169,212,3.99,1.21,7.7,0.7,3.2,7.7,2
RP,PHI,Gregory Soto,28,2,4,0,4,42,0,9,0,0,1,36.2,29,21,19,2,16,0,37,2,0,4,155,93,3.45,1.227,7.1,0.5,3.9,9.1,2
RP,PHI,Seranthony Domínguez,28,1,2,0,4,32,0,3,0,0,0,27.0,31,17,13,3,11,0,28,4,0,1,126,100,4.33,1.556,10.3,1.0,3.7,9.3,2
P,PHI,Connor Brogdon,28,2,1,0,4,27,1,3,0,0,0,29.0,29,14,13,5,13,0,26,1,0,2,127,108,5.19,1.448,9.0,1.6,4.0,8.1,2
P,PHI,Yunior Marte,28,0,1,0,5,28,0,6,0,0,1,26.0,31,21,16,4,10,0,25,1,0,0,119,78,4.64,1.577,10.7,1.4,3.5,8.7,2
P,PHI,Jeff Hoffman,30,3,2,0,2,22,0,6,0,0,1,25.2,16,9,8,2,9,1,34,1,0,2,102,155,2.82,0.974,5.6,0.7,3.2,11.9,3
P,PHI,Dylan Covey,31,1,2,0,5,11,1,5,0,0,0,19.0,24,14,12,3,5,0,15,0,0,0,82,77,4.55,1.526,11.4,1.4,2.4,7.1,3
P,PHI,Andrew Bellatti,31,1,0,1,5,19,0,3,0,0,0,16.0,14,10,9,2,10,0,17,0,0,0,73,87,4.66,1.5,7.9,1.1,5.6,9.6,1
