Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,TOR,Kevin Gausman,32,7,5,0,3,20,20,0,0,0,0,121.2,107,48,43,13,29,0,162,2,1,3,493,132,2.78,1.118,7.9,1.0,2.1,12.0,5
SP,TOR,Chris Bassitt,34,10,5,0,3,21,21,0,1,1,0,121.2,110,60,53,18,37,0,112,11,2,2,513,107,4.55,1.208,8.1,1.3,2.7,8.3,3
SP,TOR,José Berríos,29,8,7,0,3,20,20,0,0,0,0,119.1,105,48,45,13,34,1,114,7,1,3,488,123,3.83,1.165,7.9,1.0,2.6,8.6,3
SP,TOR,Yusei Kikuchi,32,7,3,0,3,20,20,0,0,0,0,103.1,100,47,45,22,31,0,108,3,0,6,433,107,4.95,1.268,8.7,1.9,2.7,9.4,3
SP,TOR,Alek Manoah,25,2,8,0,6,15,15,0,0,0,0,67.0,76,50,46,12,47,0,56,5,3,3,323,68,6.27,1.836,10.2,1.6,6.3,7.5,1
CL,TOR,Jordan Romano,30,4,5,0,2,41,0,35,0,0,26,39.1,33,13,13,4,13,4,48,1,1,0,163,142,3.24,1.169,7.6,0.9,3.0,11.0,3
RP,TOR,Trevor Richards,30,1,1,0,3,34,3,3,0,0,0,49.1,37,18,17,8,20,0,75,2,0,1,205,136,3.69,1.155,6.8,1.5,3.6,13.7,3
RP,TOR,Erik Swanson,29,2,2,0,2,46,0,8,0,0,2,46.0,31,15,15,6,17,0,51,0,0,0,180,144,3.88,1.043,6.1,1.2,3.3,10.0,3
RP,TOR,Yimi García,32,3,3,0,4,45,0,11,0,0,2,41.1,49,23,21,5,10,1,48,3,0,0,183,92,3.48,1.427,10.7,1.1,2.2,10.5,4
RP,TOR,Tim Mayza,31,1,1,0,1,44,0,7,0,0,1,32.2,28,5,4,0,6,0,33,0,0,0,126,383,1.82,1.041,7.7,0.0,1.7,9.1,5
P,TOR,Nate Pearson,26,5,2,0,4,29,0,5,0,0,1,36.0,31,21,19,6,11,2,36,3,0,3,151,89,4.62,1.167,7.8,1.5,2.8,9.0,3
P,TOR,Adam Cimber,32,0,2,0,7,22,0,6,0,0,1,20.2,25,18,17,6,7,0,12,4,0,0,95,57,7.5,1.548,10.9,2.6,3.0,5.2,1
P,TOR,Bowden Francis,27,1,0,1,2,6,0,2,0,0,0,13.2,11,4,4,3,4,0,12,0,2,0,55,163,5.26,1.098,7.2,2.0,2.6,7.9,3
P,TOR,Zach Pop,26,1,1,0,6,15,0,2,0,0,0,13.2,11,11,10,4,6,0,14,0,0,1,56,65,6.36,1.244,7.2,2.6,4.0,9.2,2
P,TOR,Jay Jackson,35,2,0,1,0,9,0,3,0,0,0,12.0,4,1,1,1,2,0,11,0,0,0,42,574,3.04,0.5,3.0,0.8,1.5,8.3,5
