Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,WAS,Patrick Corbin,33,6,10,0,4,20,20,0,0,0,0,114.0,141,69,62,18,34,0,80,2,0,3,510,85,4.88,1.535,11.1,1.4,2.7,6.3,2
SP,WAS,Josiah Gray,25,6,8,0,3,19,19,0,0,0,0,105.1,107,45,42,15,48,1,94,5,0,7,463,116,4.86,1.472,9.1,1.3,4.1,8.0,1
SP,WAS,Trevor Williams,31,5,5,0,4,20,20,0,0,0,0,98.2,109,55,48,20,33,0,74,3,2,0,435,95,5.52,1.439,9.9,1.8,3.0,6.8,2
SP,WAS,MacKenzie Gore,24,5,7,0,4,19,19,0,0,0,0,96.0,98,49,49,16,41,0,114,1,0,4,415,91,4.39,1.448,9.2,1.5,3.8,10.7,2
SP,WAS,Jake Irvin,26,2,5,0,4,13,13,0,0,0,0,61.2,63,38,34,8,29,0,44,6,0,2,276,84,5.25,1.492,9.2,1.2,4.2,6.4,1
CL,WAS,Kyle Finnegan,31,4,3,0,3,38,0,21,0,0,12,40.2,38,18,15,6,14,1,40,1,0,0,168,126,4.34,1.279,8.4,1.3,3.1,8.9,2
RP,WAS,Mason Thompson,25,3,3,0,4,38,0,3,0,0,1,44.2,41,24,22,3,18,0,39,3,0,3,188,94,3.82,1.321,8.3,0.6,3.6,7.9,2
RP,WAS,Hunter Harvey,28,3,4,0,3,39,0,17,0,0,9,40.1,28,16,14,5,12,1,45,1,1,1,159,134,3.63,0.992,6.2,1.1,2.7,10.0,3
RP,WAS,Carl Edwards Jr.,31,1,3,0,3,32,0,3,0,0,2,31.2,31,14,13,1,17,2,24,1,0,2,142,114,3.89,1.516,8.8,0.3,4.8,6.8,1
RP,WAS,Erasmo Ramírez,33,2,3,0,6,23,0,5,0,0,0,27.0,36,20,19,4,6,0,13,3,1,0,126,66,5.25,1.556,12.0,1.3,2.0,4.3,2
P,WAS,Chad Kuhl,30,0,4,0,8,16,5,5,0,0,1,38.1,47,38,36,8,28,2,31,3,0,4,187,50,6.81,1.957,11.0,1.9,6.6,7.3,1
P,WAS,Jordan Weems,30,1,0,1,3,18,0,5,0,0,0,24.0,14,13,10,5,13,1,24,2,0,0,99,112,5.87,1.125,5.3,1.9,4.9,9.0,1
P,WAS,Cory Abbott,27,0,1,0,5,10,0,6,0,0,0,19.2,20,12,12,4,9,0,16,1,0,1,85,77,5.83,1.475,9.2,1.8,4.1,7.3,1
P,WAS,Amos Willingham,24,0,2,0,11,7,0,2,0,0,0,7.2,14,10,10,4,1,0,4,1,0,0,39,37,9.81,1.957,16.4,4.7,1.2,4.7,4
