Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Sean Murphy,28,71,289,249,44,72,18,0,17,57,0,0,31,68,0.289,0.384,0.566,0.95,150,141,11,8,0,1,0,murphse01
2,1B,Matt Olson*,29,95,427,365,74,94,18,2,32,80,1,0,58,113,0.258,0.363,0.581,0.944,147,212,8,3,0,1,2,olsonma02
3,2B,Ozzie Albies#,26,95,406,364,55,95,17,3,22,66,7,0,29,60,0.261,0.319,0.505,0.825,116,184,6,5,0,6,2,albieoz01
4,SS,Orlando Arcia,28,74,286,265,39,77,12,0,9,32,1,0,20,53,0.291,0.343,0.438,0.78,107,116,10,1,0,0,0,arciaor01
5,3B,Austin Riley,26,95,421,377,68,101,17,1,20,56,2,0,34,99,0.268,0.33,0.477,0.808,113,180,14,4,0,6,2,rileyau01
6,LF,Eddie Rosario*,31,83,305,283,39,71,15,2,15,44,1,3,21,74,0.251,0.302,0.477,0.779,104,135,7,0,0,1,1,rosared01
7,CF,Michael Harris II*,22,73,271,250,36,67,13,2,9,28,12,2,16,53,0.268,0.317,0.444,0.761,101,111,6,3,0,2,0,harrimi04
8,RF,Ronald Acuna Jr.,25,95,436,382,85,127,26,1,23,58,44,7,48,51,0.332,0.411,0.586,0.997,163,224,7,4,0,2,2,acunaro01
9,DH,Marcell Ozuna,32,79,316,283,38,67,8,0,18,41,0,0,31,73,0.237,0.313,0.456,0.769,103,129,6,1,0,1,1,ozunama01
10,C,Travis d'Arnaud,34,39,155,140,19,36,5,0,8,23,0,0,14,36,0.257,0.329,0.464,0.793,110,65,2,1,0,0,0,darnatr01
11,LF,Kevin Pillar,34,48,116,110,17,27,7,0,6,18,3,0,5,27,0.245,0.276,0.473,0.749,95,52,0,0,0,1,0,pillake01
12,CF,Sam Hilliard* (10-day IL),29,40,78,72,15,17,5,0,3,6,4,0,6,33,0.236,0.295,0.431,0.725,91,31,1,0,0,0,0,hillisa01
13,SS,Vaughn Grissom (40-man),22,19,70,65,5,18,2,0,0,7,0,1,2,13,0.277,0.314,0.308,0.622,68,20,1,2,0,1,0,grissva01
14,CF,Eli White (40-man),29,6,17,14,1,1,0,0,0,0,0,0,2,7,0.071,0.235,0.071,0.307,-12,1,0,1,0,0,0,whiteel04
15,C,Chadwick Tromp (40-man),28,6,16,16,1,2,1,0,0,1,0,0,0,7,0.125,0.125,0.188,0.313,-18,3,0,0,0,0,0,trompch01
16,SS,Ehire Adrianza# (60-day IL),33,5,11,10,0,0,0,0,0,0,0,0,1,4,0,0.091,0,0.091,-72,0,0,0,0,0,0,adriaeh01
17,SS,Braden Shewmake* (40-man),25,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,shewmbr01
18,DH,Charlie Culberson,34,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,439,1,0,0,0,0,0,culbech01
19,,Nick Solak,28,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,solakni01
20,P,Kolby Allard* (60-day IL),25,0,0,,,,,,,,,,,,,,,,,,,,,,,allarko01
21,P,Michael Soroka,25,0,0,,,,,,,,,,,,,,,,,,,,,,,sorokmi01
22,P,Max Fried* (60-day IL),29,0,0,,,,,,,,,,,,,,,,,,,,,,,friedma01
23,P,Dylan Dodd* (7-day IL),25,0,0,,,,,,,,,,,,,,,,,,,,,,,dodddy01
24,P,Collin McHugh,36,0,0,,,,,,,,,,,,,,,,,,,,,,,mchugco01
25,P,Lucas Luetge*,36,0,0,,,,,,,,,,,,,,,,,,,,,,,luetglu01
26,P,Michael Tonkin,33,0,0,,,,,,,,,,,,,,,,,,,,,,,tonkimi01
27,P,Jared Shuster* (40-man),24,0,0,,,,,,,,,,,,,,,,,,,,,,,shustja01
28,P,Bryce Elder,24,0,0,,,,,,,,,,,,,,,,,,,,,,,elderbr01
29,P,Joe Jiménez,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,jimenjo02
30,P,Danny Young*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,youngda02
31,P,Dylan Lee* (60-day IL),28,0,0,,,,,,,,,,,,,,,,,,,,,,,leedy01
32,P,Ben Heller,31,0,0,,,,,,,,,,,,,,,,,,,,,,,hellebe01
33,P,AJ Smith-Shawver (40-man),20,0,0,,,,,,,,,,,,,,,,,,,,,,,smithaj01
34,P,Kirby Yates*,36,0,0,,,,,,,,,,,,,,,,,,,,,,,yateski01
35,P,Raisel Iglesias,33,0,0,,,,,,,,,,,,,,,,,,,,,,,iglesra01
36,P,A.J. Minter* (15-day IL),29,0,0,,,,,,,,,,,,,,,,,,,,,,,minteaj01
37,P,Spencer Strider,24,0,0,,,,,,,,,,,,,,,,,,,,,,,stridsp01
38,P,Nick Anderson (60-day IL),32,0,0,,,,,,,,,,,,,,,,,,,,,,,anderni01
39,P,Kyle Wright (60-day IL),27,0,0,,,,,,,,,,,,,,,,,,,,,,,wrighky01
40,P,Jesse Chavez (15-day IL),39,0,0,,,,,,,,,,,,,,,,,,,,,,,chaveje01
41,P,Dereck Rodríguez,31,0,0,,,,,,,,,,,,,,,,,,,,,,,rodride01
42,P,Charlie Morton,39,0,0,,,,,,,,,,,,,,,,,,,,,,,mortoch02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
