Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Connor Wong,27,75,243,221,34,53,19,0,6,23,3,2,16,82,0.24,0.302,0.407,0.709,88,90,2,4,1,1,0,wongco01
2,1B,Triston Casas*,23,84,310,265,38,62,14,1,12,32,0,0,43,80,0.234,0.339,0.43,0.769,105,114,6,0,0,2,0,casastr01
3,2B,Christian Arroyo,28,58,189,178,23,44,15,0,3,21,1,2,7,42,0.247,0.277,0.382,0.659,75,68,6,1,1,2,0,arroych01
4,SS,Enrique Hernández,31,83,314,288,38,63,11,0,6,31,3,1,22,65,0.219,0.277,0.319,0.597,60,92,11,2,0,2,0,hernaen02
5,3B,Rafael Devers*,26,91,392,352,53,91,22,0,23,73,2,1,32,80,0.259,0.327,0.517,0.844,122,182,8,5,0,3,4,deverra01
6,LF,Masataka Yoshida*,29,84,362,328,51,104,22,3,11,50,7,0,27,41,0.317,0.378,0.503,0.882,135,165,11,6,0,1,0,yoshima02
7,CF,Jarren Duran*,26,76,270,247,34,77,29,2,5,33,17,1,19,70,0.312,0.363,0.506,0.869,131,125,2,2,0,2,1,duranja01
8,RF,Alex Verdugo*,27,88,389,347,57,97,27,4,7,39,4,2,34,52,0.28,0.352,0.441,0.793,112,153,6,6,0,2,1,verdual01
9,DH,Justin Turner,38,93,402,356,60,103,22,0,15,61,4,0,35,65,0.289,0.358,0.478,0.836,122,170,6,6,0,5,0,turneju01
10,LF,Rob Refsnyder,32,60,175,144,22,39,6,1,1,24,7,1,24,36,0.271,0.393,0.347,0.74,102,50,4,5,1,0,0,refsnro01
11,CF,Adam Duvall,34,37,145,128,21,33,11,1,7,25,3,0,10,45,0.258,0.324,0.523,0.848,123,67,0,4,0,3,1,duvalad01
12,C,Reese McGuire* (10-day IL),28,40,116,105,11,28,9,0,0,11,0,1,7,32,0.267,0.313,0.352,0.665,79,37,1,0,2,0,0,mcguire01
13,2B,Enmanuel Valdez* (7-day IL),24,33,101,94,9,22,4,0,4,11,4,1,5,27,0.234,0.28,0.404,0.684,81,38,2,1,0,0,0,valdeen01
14,OF,Raimel Tapia*,29,39,97,87,14,23,4,1,1,10,6,1,9,19,0.264,0.333,0.368,0.701,89,32,1,0,0,0,0,tapiara01
15,MI,Pablo Reyes (10-day IL),29,27,72,66,9,20,4,0,0,9,1,1,4,10,0.303,0.338,0.364,0.702,89,24,1,0,1,1,0,reyespa01
16,SS,Yu Chang,27,25,71,67,8,10,1,0,4,12,1,0,2,21,0.149,0.186,0.343,0.529,38,23,2,1,1,0,0,changyu01
17,SS,David Hamilton* (40-man),25,13,34,29,2,4,2,0,0,0,2,1,5,10,0.138,0.265,0.207,0.472,30,6,1,0,0,0,0,hamilda03
18,C,Jorge Alfaro,30,5,14,12,0,2,0,0,0,0,0,0,2,2,0.167,0.286,0.167,0.452,27,2,0,0,0,0,0,alfarjo01
19,IF,Bobby Dalbec (40-man),28,10,14,12,1,2,0,0,0,0,1,0,2,8,0.167,0.286,0.167,0.452,27,2,0,0,0,0,0,dalbebo01
20,C,Caleb Hamilton,28,4,6,5,0,0,0,0,0,0,0,0,1,5,0,0.167,0,0.167,-49,0,0,0,0,0,0,hamilca01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
