Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Nick Fortes,26,70,212,197,20,41,3,0,4,18,3,2,12,41,0.208,0.256,0.284,0.54,48,56,9,1,1,1,0,forteni01
2,1B,Yuli Gurriel,39,62,236,212,22,56,11,3,3,18,4,0,20,26,0.264,0.326,0.387,0.713,95,82,9,1,0,3,2,gourryu01
3,2B,Luis Arraez*,26,92,391,356,40,134,20,1,3,46,1,2,28,22,0.376,0.425,0.463,0.888,144,165,13,4,0,3,8,arraelu01
4,SS,Joey Wendle*,33,62,194,180,23,48,13,2,1,10,4,0,9,45,0.267,0.307,0.378,0.685,87,68,4,2,2,1,0,wendljo01
5,3B,Jean Segura,33,77,295,270,23,59,5,2,2,19,6,2,22,45,0.219,0.282,0.274,0.556,54,74,12,2,1,0,1,segurje01
6,LF,Bryan De La Cruz,26,94,389,357,42,99,21,0,12,53,3,1,27,92,0.277,0.324,0.437,0.761,107,156,12,0,0,5,0,delacbr01
7,CF,Jazz Chisholm Jr.* (10-day IL),25,45,183,167,20,41,4,1,9,21,14,2,12,57,0.246,0.302,0.443,0.745,101,74,1,2,1,1,0,chishja01
8,RF,Jesús Sánchez*,25,67,217,200,25,52,15,0,10,35,3,0,16,57,0.26,0.318,0.485,0.803,116,97,8,1,0,0,0,sanchje02
9,DH,Jorge Soler,31,94,397,344,54,85,19,0,24,53,1,0,46,93,0.247,0.343,0.512,0.854,131,176,13,5,0,2,2,solerjo01
10,1B,Garrett Cooper,32,75,300,282,27,74,11,1,12,44,0,0,16,89,0.262,0.303,0.436,0.74,100,123,8,1,0,1,0,coopega03
11,IF,Jon Berti,33,79,263,243,34,70,9,2,2,18,10,4,15,51,0.288,0.33,0.366,0.696,91,89,7,1,2,2,1,bertijo01
12,C,Jacob Stallings,33,48,156,134,13,27,6,0,1,10,0,0,15,40,0.201,0.292,0.269,0.561,56,36,3,3,2,2,0,stallja01
13,UT,Garrett Hampson,28,61,148,130,20,33,9,0,1,10,3,0,12,40,0.254,0.331,0.346,0.677,87,45,1,3,3,0,0,hampsga01
14,CF,Jonathan Davis (60-day IL),31,34,104,90,22,22,4,1,2,10,1,2,7,29,0.244,0.307,0.378,0.685,87,34,1,2,2,2,0,davisjo05
15,RF,Avisaíl García (10-day IL),32,22,76,69,6,13,1,0,3,8,1,0,3,23,0.188,0.243,0.333,0.577,56,23,0,2,0,0,0,garciav01
16,CF,Dane Myers,27,12,45,44,7,16,2,0,1,8,0,1,1,9,0.364,0.378,0.477,0.855,133,21,1,0,0,0,0,myersda01
17,OF,Peyton Burdick (40-man),26,14,37,33,4,6,2,0,1,2,1,0,3,18,0.182,0.27,0.333,0.604,65,11,0,1,0,0,0,burdipe01
18,UT,Xavier Edwards# (40-man),23,9,22,21,4,8,1,0,0,2,1,0,0,4,0.381,0.381,0.429,0.81,122,9,1,0,1,0,0,edwarxa01
19,MI,Jacob Amaya (40-man),24,4,9,9,1,2,0,0,0,2,1,0,0,1,0.222,0.222,0.222,0.444,23,2,0,0,0,0,0,amayaja01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
