Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,J.T. Realmuto,32,86,344,311,41,76,21,5,12,39,11,3,22,86,0.244,0.304,0.46,0.764,107,143,6,6,0,3,2,realmjt01
2,1B,Alec Bohm,26,85,349,320,41,89,16,0,9,59,3,1,23,60,0.278,0.33,0.413,0.742,103,132,13,3,0,3,0,bohmal01
3,2B,Bryson Stott*,25,92,392,364,47,111,17,2,9,36,16,2,20,61,0.305,0.342,0.437,0.779,113,159,8,3,0,5,0,stottbr01
4,SS,Trea Turner,30,97,436,406,55,100,19,4,10,34,21,0,28,104,0.246,0.298,0.387,0.685,87,157,3,2,0,0,2,turnetr01
5,3B,Edmundo Sosa,27,69,198,188,22,47,10,1,6,20,2,2,4,45,0.25,0.276,0.41,0.685,86,77,6,3,1,1,0,sosaed01
6,LF,Kyle Schwarber*,30,98,436,368,56,68,12,1,26,60,0,1,63,130,0.185,0.31,0.435,0.744,102,160,3,4,0,1,3,schwaky01
7,CF,Brandon Marsh*,25,89,323,282,34,78,18,5,7,36,6,1,36,101,0.277,0.357,0.45,0.807,121,127,3,1,1,3,2,marshbr02
8,RF,Nick Castellanos,31,96,409,381,52,108,26,1,14,58,6,2,24,107,0.283,0.325,0.467,0.792,115,178,6,1,0,3,0,casteni01
9,DH,Bryce Harper*,30,65,281,241,38,70,16,0,4,26,6,2,37,64,0.29,0.384,0.407,0.791,119,98,5,1,0,2,4,harpebr03
10,1B,Kody Clemens* (40-man),27,47,148,139,15,32,7,0,4,13,0,0,8,40,0.23,0.277,0.367,0.644,76,51,1,1,0,0,0,clemeko01
11,UT,Josh Harrison,35,38,106,96,8,21,3,0,2,10,0,0,3,20,0.219,0.274,0.313,0.586,61,30,2,5,0,2,0,harrijo05
12,OF,Jake Cave*,30,22,75,67,3,15,4,0,1,9,3,0,7,17,0.224,0.293,0.328,0.622,71,22,2,0,0,1,0,caveja01
13,C,Garrett Stubbs*,30,22,60,53,6,12,1,1,0,4,0,0,4,17,0.226,0.305,0.283,0.588,64,15,0,2,1,0,0,stubbga01
14,1B,Darick Hall*,27,18,56,54,2,9,1,0,1,3,0,0,2,18,0.167,0.196,0.241,0.437,20,13,2,0,0,0,0,hallda02
15,OF,Cristian Pache (10-day IL),24,32,53,49,8,16,7,0,2,8,1,0,3,12,0.327,0.365,0.592,0.957,158,29,1,0,1,0,0,pachecr01
16,CI,Drew Ellis (40-man),27,12,29,23,4,5,0,0,2,4,0,1,6,7,0.217,0.379,0.478,0.858,135,11,0,0,0,0,0,ellisdr01
17,OF,Dalton Guthrie,27,23,28,24,4,4,1,0,0,0,0,0,3,7,0.167,0.286,0.208,0.494,40,5,0,1,0,0,0,guthrda01
18,CF,Johan Rojas,22,4,12,11,2,3,0,0,0,2,1,0,0,3,0.273,0.273,0.273,0.545,51,3,0,0,1,0,0,rojasjo03
