Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Cal Raleigh#,26,83,314,281,40,61,13,1,12,36,0,0,32,80,0.217,0.299,0.399,0.698,96,112,2,1,0,0,1,raleica01
2,1B,Ty France,28,93,399,360,54,89,23,0,7,37,1,0,20,74,0.247,0.318,0.369,0.688,95,133,15,18,0,1,0,francty01
3,2B,Kolten Wong*,32,58,192,171,17,27,6,0,1,15,0,1,15,42,0.158,0.24,0.211,0.45,30,36,0,4,0,2,0,wongko01
4,SS,J.P. Crawford*,28,90,379,322,50,84,20,0,8,33,1,0,54,72,0.261,0.368,0.398,0.765,118,128,5,1,1,1,1,crawfjp01
5,3B,Eugenio Suárez,31,96,405,343,41,79,16,0,14,58,1,1,43,115,0.23,0.328,0.399,0.728,106,137,5,11,0,8,0,suareeu01
6,LF,Jarred Kelenic* (10-day IL),23,90,362,326,43,82,24,2,11,45,12,4,33,118,0.252,0.32,0.439,0.759,113,143,6,1,0,2,3,kelenja01
7,CF,Julio Rodríguez,22,93,422,386,53,95,18,1,13,50,22,5,31,109,0.246,0.31,0.399,0.709,100,154,11,5,0,0,0,rodriju01
8,RF,Teoscar Hernández,30,96,399,367,44,89,16,2,16,52,5,2,24,126,0.243,0.296,0.428,0.724,102,157,5,5,0,3,1,hernate01
9,DH,Mike Ford*,30,37,114,104,18,27,5,0,10,20,0,0,7,37,0.26,0.316,0.596,0.912,151,62,2,2,0,1,0,fordmi01
10,2B,José Caballero,26,62,194,159,22,36,6,1,3,21,15,2,22,42,0.226,0.351,0.333,0.684,96,53,0,10,0,3,0,cabaljo01
11,DH,AJ Pollock,35,48,135,124,15,21,3,0,5,15,0,1,9,29,0.169,0.222,0.315,0.537,50,39,1,0,0,2,0,polloaj01
12,C,Tom Murphy,32,34,113,102,12,28,9,0,6,11,0,0,8,32,0.275,0.33,0.539,0.87,141,55,2,1,0,1,0,murphto04
13,DH,Taylor Trammell* (40-man),25,20,54,45,6,6,0,0,3,11,0,1,8,21,0.133,0.278,0.333,0.611,73,15,2,1,0,0,0,trammta01
14,UT,Sam Haggerty# (40-man),29,24,48,42,6,8,2,0,0,2,4,1,6,11,0.19,0.292,0.238,0.53,53,10,0,0,0,0,0,haggesa01
15,UT,Dylan Moore,30,16,34,30,3,2,1,0,1,3,1,1,4,16,0.067,0.176,0.2,0.376,7,6,0,0,0,0,0,mooredy01
16,DH,Cooper Hummel# (40-man),28,10,26,23,2,2,1,0,0,0,1,0,2,9,0.087,0.192,0.13,0.323,-5,3,1,1,0,0,0,hummeco01
17,DH,Tommy La Stella*,34,12,24,21,2,4,1,0,0,2,0,0,3,5,0.19,0.292,0.238,0.53,53,5,0,0,0,0,0,lasteto01
18,LF,Cade Marlowe*,26,1,4,3,0,0,0,0,0,0,0,0,1,2,0,0.25,0,0.25,-19,0,0,0,0,0,0,marloca01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
