Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Willson Contreras,31,83,337,293,36,70,21,0,11,38,5,2,34,77,0.239,0.335,0.423,0.759,107,124,10,9,0,1,0,contrwi01
2,1B,Paul Goldschmidt,35,94,424,370,59,106,21,0,16,49,8,2,50,91,0.286,0.373,0.473,0.846,131,175,10,2,0,2,3,goldspa01
3,2B,Nolan Gorman*,23,88,340,301,42,72,15,0,19,61,5,2,36,106,0.239,0.321,0.478,0.799,116,144,3,1,0,2,1,gormano01
4,SS,Paul DeJong,29,71,273,248,35,59,10,0,13,32,4,4,19,80,0.238,0.304,0.435,0.74,100,108,8,5,0,1,0,dejonpa01
5,3B,Nolan Arenado,32,93,396,359,46,103,19,2,21,74,2,3,28,72,0.287,0.336,0.526,0.862,132,189,11,2,0,7,3,arenano01
6,LF,Alec Burleson*,24,65,216,196,22,47,10,1,6,21,0,1,13,22,0.24,0.292,0.393,0.685,86,77,8,2,1,1,0,burleal01
7,CF,Lars Nootbaar*,25,67,291,248,43,64,12,0,6,27,7,1,40,66,0.258,0.359,0.379,0.738,103,94,4,0,1,2,2,nootbla01
8,RF,Jordan Walker,21,57,227,209,24,59,9,0,9,28,3,4,14,51,0.282,0.339,0.455,0.794,116,95,6,4,0,0,0,walkejo02
9,DH,Brendan Donovan*,26,86,339,296,42,84,9,1,11,34,4,1,32,51,0.284,0.37,0.432,0.802,120,128,3,9,1,1,2,donovbr01
10,UT,Tommy Edman# (10-day IL),28,84,307,274,44,65,15,3,7,29,14,1,24,50,0.237,0.303,0.391,0.693,89,107,7,3,3,3,1,edmanto01
11,OF,Dylan Carlson#,24,61,209,178,25,42,6,1,5,21,3,0,23,42,0.236,0.344,0.365,0.71,96,65,3,7,0,1,0,carlsdy01
12,C,Andrew Knizner,28,36,119,114,17,26,6,0,5,16,1,0,4,33,0.228,0.254,0.412,0.667,79,47,1,0,1,0,0,kniznan01
13,OF,Tyler O'Neill,28,30,103,94,13,22,5,0,2,6,1,0,9,34,0.234,0.301,0.351,0.652,79,33,2,0,0,0,0,oneilty01
14,OF,Juan Yepez (40-man),25,20,46,42,5,9,1,0,2,2,0,1,3,13,0.214,0.283,0.381,0.664,80,16,0,1,0,0,0,yepezju01
15,OF,Óscar Mercado,28,20,32,31,3,9,3,0,0,5,2,1,1,4,0.29,0.313,0.387,0.7,91,12,0,0,0,0,0,mercaos01
16,IF,Taylor Motter,33,8,22,20,0,4,2,0,0,1,0,0,2,8,0.2,0.273,0.3,0.573,58,6,0,0,0,0,0,motteta01
17,C,Iván Herrera,23,5,21,18,3,7,1,0,0,2,0,0,2,6,0.389,0.476,0.444,0.921,156,8,0,1,0,0,0,herreiv01
18,DH,Luken Baker (40-man),26,7,20,19,2,5,0,0,0,0,0,0,1,8,0.263,0.3,0.263,0.563,57,5,0,0,0,0,0,bakerlu01
19,2B,José Fermín,24,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,1,0,0,fermijo01
20,C,Tres Barrera,28,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,barretr01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
