Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Zac Gallen,27,11,4,0.733,3.18,21,21,0,0,0,0,130.1,112,51,46,12,26,0,135,1,1,6,519,134,3.03,1.059,7.7,0.8,1.8,9.3,5.19,galleza01
2,SP,Ryne Nelson,25,6,5,0.545,4.82,20,20,0,0,0,0,106.1,117,59,57,16,30,0,73,1,1,5,454,88,4.74,1.382,9.9,1.4,2.5,6.2,2.43,nelsory01
3,SP,Merrill Kelly (15-day IL),34,9,4,0.692,3.22,16,16,0,0,0,0,95,71,40,34,10,37,0,98,3,2,3,381,132,3.85,1.137,6.7,0.9,3.5,9.3,2.65,kellyme01
4,SP,Tommy Henry*,25,5,2,0.714,3.89,15,14,0,0,0,0,78.2,76,34,34,12,30,1,56,2,0,1,332,109,5.07,1.347,8.7,1.4,3.4,6.4,1.87,henryto01
5,SP,Zach Davies (15-day IL),30,1,5,0.167,7.38,12,12,0,0,0,0,57.1,66,50,47,7,27,0,46,0,0,0,259,58,4.68,1.622,10.4,1.1,4.2,7.2,1.7,davieza02
6,CL,Andrew Chafin* (40-man),33,2,2,0.5,3.06,40,0,14,0,0,8,32.1,27,12,11,3,15,0,45,0,0,1,137,140,3.1,1.299,7.5,0.8,4.2,12.5,3,chafian01
7,RP,Scott McGough,33,1,6,0.143,3.78,42,0,16,0,0,7,47.2,33,23,20,6,19,2,59,1,0,1,195,113,3.71,1.091,6.2,1.1,3.6,11.1,3.11,mcgousc01
8,RP,Miguel Castro,28,5,4,0.556,3.83,44,0,16,0,0,7,40,27,17,17,5,15,3,32,1,0,0,161,112,4.51,1.05,6.1,1.1,3.4,7.2,2.13,castrmi01
9,RP,Kevin Ginkel,29,3,0,1,2.39,33,0,13,0,0,2,37.2,26,14,10,2,11,0,34,1,1,4,146,179,3.13,0.982,6.2,0.5,2.6,8.1,3.09,ginkeke01
10,RP,Kyle Nelson*,26,4,2,0.667,2.97,43,1,4,0,0,0,36.1,35,15,12,6,9,0,48,1,0,1,153,144,3.62,1.211,8.7,1.5,2.2,11.9,5.33,nelsoky01
11,,Drey Jameson (60-day IL),25,3,1,0.75,3.32,15,3,3,0,0,1,40.2,40,15,15,6,18,0,37,1,0,0,174,129,4.79,1.426,8.9,1.3,4,8.2,2.06,jamesdr01
12,,José Ruiz,28,2,1,0.667,4.03,32,0,12,0,0,0,38,39,19,17,5,16,1,33,4,0,3,169,106,4.84,1.447,9.2,1.2,3.8,7.8,2.06,ruizjo01
13,,Brandon Pfaadt (40-man),24,0,3,0,9.82,6,6,0,0,0,0,25.2,38,28,28,9,10,0,21,1,0,0,122,44,7.49,1.87,13.3,3.2,3.5,7.4,2.1,pfaadbr01
14,,Madison Bumgarner*,33,0,3,0,10.26,4,4,0,0,0,0,16.2,25,20,19,4,15,0,10,1,0,0,90,42,8.09,2.4,13.5,2.2,8.1,5.4,0.67,bumgama01
15,,Joe Mantiply*,32,1,0,1,5.74,13,0,5,0,0,0,15.2,16,10,10,3,1,0,14,0,0,0,62,75,4.18,1.085,9.2,1.7,0.6,8,14,mantijo01
16,,Austin Adams,32,0,1,0,6.43,19,0,1,0,0,0,14,13,11,10,1,6,0,18,4,0,2,65,68,3.79,1.357,8.4,0.6,3.9,11.6,3,adamsau02
17,,Peter Solomon,26,0,0,,12.15,5,0,2,0,0,0,13.1,17,18,18,2,11,0,6,1,0,1,67,36,7.04,2.1,11.5,1.4,7.4,4.1,0.55,solompe01
18,,Anthony Misiewicz*,28,1,0,1,5.63,7,0,1,0,0,0,8,11,5,5,1,3,0,6,0,0,2,37,79,4.54,1.75,12.4,1.1,3.4,6.8,2,misiean01
19,,Luis Frías,25,0,0,,10.8,5,0,1,0,0,0,6.2,10,8,8,1,7,0,8,0,0,0,36,41,5.99,2.55,13.5,1.4,9.5,10.8,1.14,friaslu01
