Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Spencer Strider,24,11,3,0.786,3.78,20,20,0,0,0,0,116.2,92,53,49,16,35,1,189,6,2,4,476,119,2.88,1.089,7.1,1.2,2.7,14.6,5.4,stridsp01
2,SP,Charlie Morton,39,10,7,0.588,3.36,19,19,0,0,0,0,109.2,104,45,41,10,46,1,119,5,2,1,473,134,3.7,1.368,8.5,0.8,3.8,9.8,2.59,mortoch02
3,SP,Bryce Elder,24,7,2,0.778,3.31,19,19,0,0,0,0,108.2,100,43,40,11,35,0,84,6,1,10,452,136,4.19,1.242,8.3,0.9,2.9,7,2.4,elderbr01
4,SP,Jared Shuster* (40-man),24,4,2,0.667,5,9,9,0,0,0,0,45,42,25,25,4,22,0,25,1,0,3,193,91,4.86,1.422,8.4,0.8,4.4,5,1.14,shustja01
5,CL,Raisel Iglesias,33,3,4,0.429,4.08,31,0,26,0,0,17,28.2,29,16,13,4,9,2,34,0,0,0,123,112,3.67,1.326,9.1,1.3,2.8,10.7,3.78,iglesra01
6,RP,A.J. Minter* (15-day IL),29,3,5,0.375,4.91,44,0,16,0,0,10,40.1,34,22,22,4,10,0,50,0,1,1,158,92,2.84,1.091,7.6,0.9,2.2,11.2,5,minteaj01
7,RP,Kirby Yates,36,4,0,1,3.47,36,0,6,0,0,1,36.1,25,14,14,6,19,1,49,2,0,4,154,131,4.47,1.211,6.2,1.5,4.7,12.1,2.58,yateski01
8,RP,Nick Anderson (60-day IL),32,4,0,1,3.06,35,0,3,0,0,1,35.1,30,14,12,3,9,0,36,0,0,1,141,149,3.12,1.104,7.6,0.8,2.3,9.2,4,anderni01
9,RP,Joe Jiménez,28,0,2,0,3.03,33,0,12,0,0,0,32.2,29,13,11,4,10,0,38,1,0,0,139,150,3.56,1.194,8,1.1,2.8,10.5,3.8,jimenjo02
10,,Michael Tonkin,33,5,2,0.714,3.14,23,0,6,0,0,1,48.2,35,20,17,6,10,0,40,1,0,1,188,144,3.92,0.925,6.5,1.1,1.8,7.4,4,tonkimi01
11,,Collin McHugh,36,3,1,0.75,3.63,29,1,2,0,0,0,39.2,49,20,16,3,14,0,29,4,0,0,179,125,4.17,1.588,11.1,0.7,3.2,6.6,2.07,mchugco01
12,,Jesse Chavez (15-day IL),39,0,0,,1.55,31,1,6,0,0,1,29,21,6,5,1,9,0,36,3,0,0,117,293,2.49,1.034,6.5,0.3,2.8,11.2,4,chaveje01
13,,Max Fried* (60-day IL),29,2,1,0.667,2.08,5,5,0,1,1,0,26,22,8,6,2,6,0,25,0,0,0,103,219,3.06,1.077,7.6,0.7,2.1,8.7,4.17,friedma01
14,,Dylan Dodd* (7-day IL),25,2,1,0.667,7.4,5,5,0,0,0,0,24.1,37,20,20,8,8,1,12,1,0,1,114,62,7.68,1.849,13.7,3,3,4.4,1.5,dodddy01
15,,Michael Soroka,25,1,1,0.5,5.4,5,4,0,0,0,0,23.1,26,14,14,6,9,0,19,4,0,2,107,85,6.67,1.5,10,2.3,3.5,7.3,2.11,sorokmi01
16,,Dylan Lee* (60-day IL),28,1,0,1,3.1,20,1,2,0,0,0,20.1,18,9,7,2,7,0,23,0,0,0,85,148,3.34,1.23,8,0.9,3.1,10.2,3.29,leedy01
17,,Kyle Wright (60-day IL),27,0,1,0,5.79,5,5,0,0,0,0,18.2,23,14,12,2,10,0,20,2,0,2,93,79,4.46,1.768,11.1,1,4.8,9.6,2,wrighky01
18,,AJ Smith-Shawver (40-man),20,1,0,1,4.32,4,3,0,0,0,0,16.2,13,10,8,5,6,0,15,1,0,1,69,106,6.65,1.14,7,2.7,3.2,8.1,2.5,smithaj01
19,,Kolby Allard* (60-day IL),25,0,1,0,6.57,4,3,1,0,0,0,12.1,16,9,9,2,4,0,13,0,0,1,56,70,4.26,1.622,11.7,1.5,2.9,9.5,3.25,allarko01
20,,Ben Heller,31,0,0,,3,13,0,3,0,0,0,12,8,5,4,1,5,0,12,2,0,2,51,154,4.12,1.083,6,0.8,3.8,9,2.4,hellebe01
21,,Lucas Luetge*,36,1,0,1,8.49,11,0,4,0,0,0,11.2,17,11,11,2,7,0,11,1,0,2,59,55,5.69,2.057,13.1,1.5,5.4,8.5,1.57,luetglu01
