Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Kyle Gibson,35,9,6,0.6,4.76,21,21,0,0,0,0,121,124,64,64,10,40,0,98,5,0,7,517,88,3.86,1.355,9.2,0.7,3,7.3,2.45,gibsoky01
2,SP,Dean Kremer,27,10,4,0.714,4.8,20,20,0,0,0,0,108.2,115,61,58,22,31,0,101,5,0,2,463,87,5.05,1.344,9.5,1.8,2.6,8.4,3.26,kremede01
3,SP,Tyler Wells,28,7,5,0.583,3.54,19,18,0,0,0,0,106.2,79,44,42,22,26,0,105,1,2,2,420,118,4.76,0.984,6.7,1.9,2.2,8.9,4.04,wellsty01
4,SP,Kyle Bradish,26,6,4,0.6,3.05,17,17,0,0,0,0,91.1,79,32,31,8,24,0,87,5,0,3,372,137,3.47,1.128,7.8,0.8,2.4,8.6,3.63,bradiky01
5,SP,Grayson Rodriguez,23,2,2,0.5,7.33,11,11,0,0,0,0,50.1,65,42,41,13,23,0,60,0,0,3,233,57,5.63,1.748,11.6,2.3,4.1,10.7,2.61,rodrigr01
6,SP,Cole Irvin*,29,1,3,0.25,5.4,11,8,1,0,0,0,41.2,47,25,25,5,16,0,36,3,0,2,191,78,4.49,1.512,10.2,1.1,3.5,7.8,2.25,irvinco01
7,CL,Félix Bautista,28,5,1,0.833,0.96,43,0,37,0,0,26,47,21,9,5,3,19,0,91,2,0,6,181,438,1.58,0.851,4,0.6,3.6,17.4,4.79,bautife01
8,RP,Yennier Cano,29,1,1,0.5,1.53,41,0,7,0,0,4,47,37,8,8,2,6,1,41,2,1,1,175,274,2.61,0.915,7.1,0.4,1.1,7.9,6.83,canoye01
9,RP,Mike Baumann,27,6,0,1,3.69,43,0,10,0,0,0,46.1,34,20,19,4,26,1,50,2,0,5,193,114,4.06,1.295,6.6,0.8,5.1,9.7,1.92,baumami01
10,RP,Bryan Baker,28,3,3,0.5,3.83,43,0,2,0,0,0,40,29,18,17,3,23,2,48,1,0,3,167,110,3.66,1.3,6.5,0.7,5.2,10.8,2.09,bakerbr01
