Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Brayan Bello,24,7,6,0.538,3.6,16,16,0,0,0,0,90,86,38,36,13,24,0,78,4,0,1,380,129,4.36,1.222,8.6,1.3,2.4,7.8,3.25,bellobr01
2,SP,Tanner Houck (15-day IL),27,3,6,0.333,5.05,13,13,0,0,0,0,67.2,62,39,38,9,23,0,64,2,0,0,285,92,4.23,1.256,8.2,1.2,3.1,8.5,2.78,houckta01
3,SP,Kutter Crawford,27,4,4,0.5,3.74,18,10,5,0,0,0,67.1,59,29,28,10,17,0,67,2,0,3,273,124,4.07,1.129,7.9,1.3,2.3,9,3.94,crawfku01
4,SP,James Paxton*,34,5,2,0.714,3.51,11,11,0,0,0,0,59,44,24,23,9,17,0,68,2,0,1,236,133,3.93,1.034,6.7,1.4,2.6,10.4,4,paxtoja01
5,SP,Chris Sale* (60-day IL),34,5,2,0.714,4.58,11,11,0,0,0,0,59,55,31,30,8,15,0,71,6,0,2,249,102,3.71,1.186,8.4,1.2,2.3,10.8,4.73,salech01
6,SP,Garrett Whitlock (15-day IL),27,4,3,0.571,5.23,10,10,0,0,0,0,51.2,61,31,30,10,7,0,47,2,0,2,216,89,4.51,1.316,10.6,1.7,1.2,8.2,6.71,whitlga01
7,CL,Kenley Jansen,35,2,4,0.333,3.09,34,0,28,0,0,20,32,29,12,11,2,14,1,38,0,0,1,136,151,3.04,1.344,8.2,0.6,3.9,10.7,2.71,janseke01
8,RP,Nick Pivetta,30,6,5,0.545,4.44,23,8,2,0,0,0,75,58,42,37,12,33,1,94,4,1,4,319,105,4.34,1.213,7,1.4,4,11.3,2.85,pivetni01
9,RP,Josh Winckowski,25,3,1,0.75,3.02,33,0,5,0,0,2,53.2,57,23,18,8,16,1,44,2,0,2,229,154,4.59,1.36,9.6,1.3,2.7,7.4,2.75,winckjo01
10,RP,Brennan Bernardino*,31,1,0,1,2.27,27,3,6,0,0,0,31.2,24,9,8,2,8,0,33,2,0,0,123,206,2.97,1.011,6.8,0.6,2.3,9.4,4.13,bernabr01
