Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Marcus Stroman,32,10,7,0.588,3.09,21,21,0,1,1,0,122.1,94,47,42,7,46,0,105,3,0,2,498,145,3.51,1.144,6.9,0.5,3.4,7.7,2.28,stromma01
2,SP,Drew Smyly*,34,7,7,0.5,4.5,19,19,0,0,0,0,100,102,54,50,16,35,0,86,4,1,3,433,99,4.82,1.37,9.2,1.4,3.2,7.7,2.46,smylydr01
3,SP,Justin Steele*,27,9,3,0.75,2.96,17,17,0,0,0,0,97.1,88,35,32,6,20,0,87,5,1,3,396,151,3.07,1.11,8.1,0.6,1.8,8,4.35,steelju01
4,SP,Jameson Taillon,31,3,6,0.333,6.05,16,16,0,0,0,0,77.1,85,57,52,14,23,0,67,3,0,1,335,74,4.92,1.397,9.9,1.6,2.7,7.8,2.91,taillja01
5,SP,Kyle Hendricks,33,3,4,0.429,3.38,11,11,0,0,0,0,64,58,30,24,8,10,0,42,3,0,0,261,133,4.21,1.063,8.2,1.1,1.4,5.9,4.2,hendrky01
6,SP,Hayden Wesneski (40-man),25,2,3,0.4,4.75,15,10,1,0,0,0,60.2,58,36,32,14,15,0,49,3,0,1,254,94,5.56,1.203,8.6,2.1,2.2,7.3,3.27,wesneha01
7,CL,Adbert Alzolay,28,1,4,0.2,2.63,35,0,17,0,0,7,41,34,15,12,3,7,0,46,2,1,0,159,171,2.65,1,7.5,0.7,1.5,10.1,6.57,alzolad01
8,RP,Michael Fulmer,30,1,5,0.167,4.46,42,0,12,0,0,1,42.1,34,22,21,5,19,0,45,0,0,4,171,101,4.04,1.252,7.2,1.1,4,9.6,2.37,fulmemi01
9,RP,Julian Merryweather,31,3,0,1,3.95,41,0,12,0,0,0,41,41,19,18,4,21,0,54,0,0,1,183,114,3.46,1.512,9,0.9,4.6,11.9,2.57,merryju01
10,RP,Mark Leiter Jr.,32,1,2,0.333,3.43,39,0,9,0,0,3,39.1,27,17,15,4,12,0,53,5,1,1,162,131,3.21,0.992,6.2,0.9,2.7,12.1,4.42,leitema02
11,RP,Michael Rucker,29,2,1,0.667,5.21,32,0,11,0,0,0,38,39,22,22,6,16,0,38,3,0,1,165,86,4.84,1.447,9.2,1.4,3.8,9,2.38,ruckemi01
12,,Javier Assad,25,0,2,0,3.8,15,1,8,0,0,0,42.2,40,18,18,5,20,0,33,0,0,0,178,118,4.67,1.406,8.4,1.1,4.2,7,1.65,assadja01
13,,Keegan Thompson (7-day IL),28,2,2,0.5,4.22,15,0,3,0,0,0,21.1,14,10,10,1,14,0,16,0,0,2,91,107,4.36,1.313,5.9,0.4,5.9,6.8,1.14,thompke02
14,,Brad Boxberger (60-day IL),35,0,1,0,5.52,17,0,4,0,0,2,14.2,13,9,9,3,9,1,13,1,0,0,65,83,6.22,1.5,8,1.8,5.5,8,1.44,boxbebr01
15,,Brandon Hughes* (60-day IL),27,0,3,0,7.24,17,0,2,0,0,0,13.2,14,11,11,2,8,1,17,1,0,0,63,63,4.68,1.61,9.2,1.3,5.3,11.2,2.13,hughebr01
16,,Jeremiah Estrada (40-man),24,0,0,,6.75,12,0,5,0,0,0,10.2,12,8,8,4,12,1,13,0,0,0,56,68,9.1,2.25,10.1,3.4,10.1,11,1.08,estraje01
17,,Anthony Kay*,28,0,0,,1.13,10,0,3,0,0,0,8,5,1,1,0,5,0,6,1,0,1,34,413,4.04,1.25,5.6,0,5.6,6.8,1.2,kayan01
18,,Daniel Palencia,23,1,0,1,3,5,0,3,0,0,0,6,6,2,2,1,1,0,5,0,0,1,22,157,4.29,1.167,9,1.5,1.5,7.5,5,palenda01
19,,Caleb Kilian (40-man),26,0,1,0,18.9,1,1,0,0,0,0,3.1,10,7,7,0,2,0,4,2,0,1,23,26,4.49,3.6,27,0,5.4,10.8,2,kiliaca01
20,,Nick Burdi (60-day IL),30,0,0,,9,3,0,2,0,0,0,3,3,3,3,0,3,0,4,0,0,1,15,55,3.62,2,9,0,9,12,1.33,burdini01
21,,Tucker Barnhart,32,0,0,,0,2,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,9,,3.29,1.5,13.5,0,0,0,,barnhtu01
22,,Miles Mastrobuoni,27,0,0,,108,1,0,1,0,0,0,0.1,4,4,4,1,0,0,0,0,0,0,5,8,42.29,12,108,27,0,0,,mastrmi01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
