Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Kyle Freeland* (15-day IL),30,4,10,0.286,4.72,19,19,0,0,0,0,103,115,60,54,17,34,0,63,0,0,1,443,107,5.2,1.447,10,1.5,3,5.5,1.85,freelky01
2,SP,Austin Gomber*,29,8,8,0.5,6.18,20,20,0,0,0,0,102,120,72,70,22,30,0,68,2,0,4,445,82,5.7,1.471,10.6,1.9,2.6,6,2.27,gombeau01
3,SP,Connor Seabold,27,1,7,0.125,7.18,20,13,3,0,0,0,72.2,90,61,58,17,24,1,54,7,0,3,336,70,6.12,1.569,11.1,2.1,3,6.7,2.25,seaboco01
4,SP,Chase Anderson,35,0,4,0,6.89,11,11,0,0,0,0,49.2,61,38,38,14,18,0,36,6,0,0,224,73,6.95,1.591,11.1,2.5,3.3,6.5,2,anderch01
5,SP,Ryan Feltner (60-day IL),26,2,3,0.4,5.86,8,8,0,0,0,0,35.1,37,24,23,2,25,0,33,1,2,0,165,86,4.36,1.755,9.4,0.5,6.4,8.4,1.32,feltnry01
6,CL,Pierce Johnson,32,1,4,0.2,5.97,41,0,25,0,0,13,37.2,44,26,25,7,23,0,55,0,0,2,179,85,4.61,1.779,10.5,1.7,5.5,13.1,2.39,johnspi01
7,RP,Jake Bird,27,2,1,0.667,4.11,44,2,4,0,0,0,57,59,30,26,3,19,0,54,4,0,2,243,123,3.29,1.368,9.3,0.5,3,8.5,2.84,birdja01
8,RP,Justin Lawrence,28,3,3,0.5,2.57,41,0,19,0,0,6,49,31,17,14,1,22,3,51,1,0,2,198,197,2.88,1.082,5.7,0.2,4,9.4,2.32,lawreju01
9,RP,Brent Suter*,33,4,0,1,2.74,32,0,8,0,0,0,42.2,35,18,13,2,14,0,35,1,0,1,175,185,3.31,1.148,7.4,0.4,3,7.4,2.5,suterbr01
10,RP,Brad Hand*,33,2,1,0.667,4.83,35,0,9,0,0,0,31.2,32,17,17,3,15,1,37,3,0,3,142,105,3.89,1.484,9.1,0.9,4.3,10.5,2.47,handbr01
11,,Peter Lambert (40-man),26,1,1,0.5,6.29,15,1,1,0,0,0,34.1,41,25,24,9,15,0,36,1,0,0,153,81,5.99,1.631,10.7,2.4,3.9,9.4,2.4,lambepe01
12,,Daniel Bard,38,3,1,0.75,2.14,32,0,7,0,0,1,33.2,19,8,8,2,26,1,29,4,1,2,142,237,5.01,1.337,5.1,0.5,7,7.8,1.12,bardda01
13,,Dinelson Lamet,30,1,4,0.2,11.57,16,4,1,0,0,0,25.2,38,35,33,6,22,0,31,1,1,4,134,44,6.6,2.338,13.3,2.1,7.7,10.9,1.41,lametdi01
14,,Matt Carasiti (15-day IL),31,1,0,1,7.06,14,0,2,0,0,1,21.2,26,19,17,3,11,0,14,1,0,1,101,72,5.46,1.708,10.8,1.2,4.6,5.8,1.27,carasma01
15,,Germán Márquez (60-day IL),28,2,2,0.5,4.95,4,4,0,0,0,0,20,19,11,11,4,3,0,17,0,1,0,80,103,4.64,1.1,8.6,1.8,1.4,7.7,5.67,marquge01
16,,Noah Davis (7-day IL),26,0,2,0,10.61,5,4,0,0,0,0,18.2,32,23,22,4,10,0,16,1,1,4,96,48,6.13,2.25,15.4,1.9,4.8,7.7,1.6,davisno01
