Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Jordan Lyles,32,1,11,0.083,6.05,18,18,0,1,0,0,102.2,98,74,69,20,31,0,73,1,0,6,434,73,5.33,1.256,8.6,1.8,2.7,6.4,2.35,lylesjo01
2,SP,Brady Singer,26,6,8,0.429,5.7,19,19,0,0,0,0,102.2,119,67,65,12,35,0,81,5,0,2,456,77,4.4,1.5,10.4,1.1,3.1,7.1,2.31,singebr01
3,SP,Zack Greinke,39,1,10,0.091,5.4,19,19,0,0,0,0,96.2,111,60,58,18,15,0,65,3,0,2,407,81,4.92,1.303,10.3,1.7,1.4,6.1,4.33,greinza01
4,SP,Daniel Lynch IV* (15-day IL),26,3,4,0.429,4.64,9,9,0,0,0,0,52.1,50,29,27,9,16,0,34,1,1,1,223,95,5.2,1.261,8.6,1.5,2.8,5.8,2.13,lynchda02
5,SP,Brad Keller (15-day IL),27,3,4,0.429,4.36,9,9,0,0,0,0,43.1,41,23,21,3,40,0,31,3,0,7,201,101,5.73,1.869,8.5,0.6,8.3,6.4,0.78,kellebr01
6,CL,Scott Barlow,30,2,4,0.333,4.89,34,0,29,0,0,11,35,31,21,19,3,19,0,45,0,0,3,154,90,3.46,1.429,8,0.8,4.9,11.6,2.37,barlosc01
7,RP,Carlos Hernández,26,0,5,0,3.75,41,4,6,0,0,0,48,36,21,20,3,13,0,56,0,2,1,192,117,2.58,1.021,6.8,0.6,2.4,10.5,4.31,hernaca04
8,RP,Taylor Clarke,30,1,4,0.2,6.41,38,1,4,0,0,0,39.1,49,29,28,8,18,1,44,2,0,2,181,69,5.22,1.703,11.2,1.8,4.1,10.1,2.44,clarkta01
9,RP,Jose Cuas,29,3,0,1,3.99,41,1,5,0,0,0,38.1,40,17,17,5,19,0,48,4,0,2,175,111,4.28,1.539,9.4,1.2,4.5,11.3,2.53,cuasjo01
10,RP,Aroldis Chapman*,35,4,2,0.667,2.45,31,0,9,0,0,2,29.1,16,10,8,0,20,0,53,0,1,2,122,180,1.72,1.227,4.9,0,6.1,16.3,2.65,chapmar01
11,,Ryan Yarbrough*,31,2,5,0.286,5.21,12,5,2,0,0,0,38,39,22,22,4,9,0,23,6,0,1,161,85,4.63,1.263,9.2,0.9,2.1,5.4,2.56,yarbrry01
12,,Mike Mayers,31,1,2,0.333,6.15,6,2,0,0,0,0,26.1,34,19,18,4,10,0,17,0,0,2,119,72,5.11,1.671,11.6,1.4,3.4,5.8,1.7,mayermi01
13,,Amir Garrett*,31,0,1,0,3.33,27,0,3,0,0,0,24.1,22,11,9,4,20,0,28,0,0,1,112,133,5.59,1.726,8.1,1.5,7.4,10.4,1.4,garream01
14,,Austin Cox*,26,0,1,0,3.32,9,2,2,0,0,0,21.2,14,8,8,1,11,0,19,0,0,0,87,134,3.66,1.154,5.8,0.4,4.6,7.9,1.73,coxau01
15,,Nick Wittgren,32,0,0,,6.75,19,0,11,0,0,0,21.1,26,17,16,2,10,0,15,2,0,1,99,66,4.79,1.688,11,0.8,4.2,6.3,1.5,wittgni01
16,,Josh Staumont (60-day IL),29,0,0,,5.4,21,1,5,0,0,0,20,16,12,12,1,13,0,24,2,0,3,89,82,3.79,1.45,7.2,0.5,5.9,10.8,1.85,staumjo01
17,,Josh Taylor* (60-day IL),30,1,3,0.25,8.15,17,1,4,0,0,0,17.2,22,17,16,4,9,1,26,0,1,1,83,55,4.81,1.755,11.2,2,4.6,13.2,2.89,taylojo02
18,,Max Castillo (40-man),24,0,1,0,4.24,5,0,2,0,0,0,17,17,8,8,2,6,1,10,1,0,0,73,105,4.87,1.353,9,1.1,3.2,5.3,1.67,castima03
19,,Kris Bubic* (60-day IL),25,0,2,0,3.94,3,3,0,0,0,0,16,19,7,7,1,2,0,16,1,0,1,68,114,2.66,1.313,10.7,0.6,1.1,9,8,bubickr01
20,,Alec Marsh,25,0,3,0,5.4,3,3,0,0,0,0,15,14,10,9,5,8,0,21,1,0,1,66,83,6.62,1.467,8.4,3,4.8,12.6,2.63,marshal01
21,,Jackson Kowar (40-man),26,0,0,,6.17,8,0,3,0,0,0,11.2,15,12,8,1,7,0,14,1,0,2,59,73,4.06,1.886,11.6,0.8,5.4,10.8,2,kowarja01
22,,Dylan Coleman,26,0,0,,11.17,10,0,5,0,0,0,9.2,10,12,12,1,11,1,11,0,0,2,50,41,5.77,2.172,9.3,0.9,10.2,10.2,1,colemdy01
23,,Jonathan Heasley,26,0,0,,3.52,6,0,2,0,0,0,7.2,7,4,3,0,0,0,5,0,0,0,30,130,1.98,0.913,8.2,0,0,5.9,,heasljo01
24,,Brooks Kriske (40-man),29,0,0,,4.05,4,0,2,0,0,0,6.2,3,3,3,2,4,0,6,0,0,0,25,114,7.19,1.05,4.1,2.7,5.4,8.1,1.5,kriskbr01
25,,Cole Ragans* (40-man),25,0,0,,1.8,1,1,0,0,0,0,5,4,1,1,0,2,0,3,0,0,0,20,260,3.29,1.2,7.2,0,3.6,5.4,1.5,raganco01
26,,Collin Snider (40-man),27,0,0,,7.71,5,0,1,0,0,0,4.2,7,4,4,0,4,0,3,0,0,0,25,61,4.57,2.357,13.5,0,7.7,5.8,0.75,snideco01
27,,James McArthur (40-man),26,0,0,,63,1,0,0,0,0,0,1,6,7,7,1,1,0,0,0,0,0,10,9,19.29,7,54,9,9,0,0,mcartja01
28,,Matt Duffy,32,0,0,,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,,3.29,1,9,0,0,0,,duffyma01
29,,Nate Eaton (40-man),26,0,0,,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,5,,1.29,2,18,0,0,9,,eatonna01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
