Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Clayton Kershaw* (15-day IL),35,10,4,0.714,2.55,16,16,0,0,0,0,95.1,76,30,27,12,24,0,105,2,2,3,379,174,3.54,1.049,7.2,1.1,2.3,9.9,4.38,kershcl01
2,SP,Julio Urías*,26,7,6,0.538,5.02,14,14,0,0,0,0,75.1,71,43,42,15,17,0,72,3,1,1,313,88,4.76,1.168,8.5,1.8,2,8.6,4.24,uriasju01
3,SP,Tony Gonsolin,29,5,3,0.625,3.72,14,14,0,0,0,0,72.2,52,34,30,9,27,1,57,6,0,1,301,119,4.69,1.087,6.4,1.1,3.3,7.1,2.11,gonsoto01
4,SP,Noah Syndergaard (15-day IL),30,1,4,0.2,7.16,12,12,0,0,0,0,55.1,71,44,44,12,9,0,38,6,0,0,246,62,5.55,1.446,11.5,2,1.5,6.2,4.22,syndeno01
5,SP,Michael Grove,26,2,2,0.5,6.4,12,9,0,0,0,0,52,63,37,37,9,17,0,47,2,0,2,230,69,4.82,1.538,10.9,1.6,2.9,8.1,2.76,grovemi01
6,SP,Bobby Miller,24,5,1,0.833,4.25,9,9,0,0,0,0,48.2,42,23,23,4,16,0,47,3,0,3,203,104,3.59,1.192,7.8,0.7,3,8.7,2.94,millebo06
7,CL,Evan Phillips,28,1,3,0.25,2.41,39,0,20,0,0,12,37.1,22,10,10,3,9,0,44,2,0,1,140,185,2.86,0.83,5.3,0.7,2.2,10.6,4.89,phillev01
8,RP,Brusdar Graterol,24,3,2,0.6,1.79,42,1,11,0,0,4,40.1,40,13,8,2,7,0,29,1,0,2,161,249,3.09,1.165,8.9,0.4,1.6,6.5,4.14,gratebr01
9,RP,Yency Almonte,29,3,1,0.75,4.76,41,0,4,0,0,0,39.2,36,24,21,5,16,1,38,3,0,2,169,93,4.45,1.311,8.2,1.1,3.6,8.6,2.38,almonye01
10,RP,Phil Bickford,27,2,2,0.5,5.54,32,0,9,0,0,0,37.1,34,24,23,5,22,3,46,0,1,3,167,80,4.33,1.5,8.2,1.2,5.3,11.1,2.09,bickfph01
