Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Pablo López,27,5,6,0.455,4.22,20,20,0,1,1,0,121.2,105,58,57,15,35,1,152,6,0,4,503,102,3.4,1.151,7.8,1.1,2.6,11.2,4.34,lopezpa01
2,SP,Joe Ryan,27,8,6,0.571,3.77,19,19,0,1,1,0,112.1,95,49,47,17,21,0,131,4,0,3,454,114,3.59,1.033,7.6,1.4,1.7,10.5,6.24,ryanjo04
3,SP,Sonny Gray,33,4,4,0.5,3.16,19,19,0,0,0,0,105.1,93,37,37,3,43,0,106,2,1,1,445,136,2.93,1.291,7.9,0.3,3.7,9.1,2.47,grayso01
4,SP,Bailey Ober,27,6,4,0.6,2.74,15,15,0,0,0,0,88.2,69,28,27,9,18,0,84,4,0,1,345,157,3.46,0.981,7,0.9,1.8,8.5,4.67,oberba01
5,SP,Louie Varland (40-man),25,3,3,0.5,5.3,10,10,0,0,0,0,56,60,33,33,14,16,0,54,1,0,2,241,81,5.52,1.357,9.6,2.3,2.6,8.7,3.38,varlalo01
6,SP,Kenta Maeda,35,2,5,0.286,5.1,9,9,0,0,0,0,42.1,41,25,24,5,12,0,50,0,0,2,175,85,3.31,1.252,8.7,1.1,2.6,10.6,4.17,maedake01
7,CL,Jhoan Duran,25,2,4,0.333,2.11,35,0,24,0,0,16,38.1,24,12,9,3,15,5,49,4,0,3,154,205,3.23,1.017,5.6,0.7,3.5,11.5,3.27,duranjh01
8,RP,Emilio Pagán,32,4,1,0.8,3.48,38,0,11,0,0,0,41.1,31,17,16,3,13,1,40,1,0,0,167,124,3.31,1.065,6.8,0.7,2.8,8.7,3.08,paganem01
9,RP,Griffin Jax,28,5,6,0.455,2.97,42,0,8,0,0,1,39.1,30,15,13,1,10,1,39,0,0,1,157,145,2.4,1.017,6.9,0.2,2.3,8.9,3.9,jaxgr01
10,RP,Jovani Moran*,26,2,2,0.5,4.54,37,0,9,0,0,0,37.2,31,21,19,3,22,1,44,0,0,2,161,95,3.74,1.407,7.4,0.7,5.3,10.5,2,moranjo01
11,RP,Jorge López,30,3,2,0.6,5.4,35,0,11,0,0,3,33.1,33,22,20,7,11,3,27,8,0,2,149,80,6.11,1.32,8.9,1.9,3,7.3,2.45,lopezjo02
12,,Brock Stewart (15-day IL),31,2,0,1,0.7,25,0,4,0,0,1,25.2,15,2,2,1,11,3,35,1,0,1,99,620,2.47,1.013,5.3,0.4,3.9,12.3,3.18,stewabr01
13,,Tyler Mahle (60-day IL),28,1,2,0.333,3.16,5,5,0,0,0,0,25.2,22,11,9,5,5,0,28,0,0,0,102,138,4.22,1.052,7.7,1.8,1.8,9.8,5.6,mahlety01
14,,José De León (15-day IL),30,0,1,0,4.67,12,1,4,0,0,0,17.1,16,10,9,2,5,0,17,1,0,0,70,94,3.86,1.212,8.3,1,2.6,8.8,3.4,deleojo03
15,,Jorge Alcala (15-day IL),27,0,1,0,6.46,10,0,3,0,0,0,15.1,13,12,11,4,8,0,12,1,0,0,66,68,6.87,1.37,7.6,2.3,4.7,7,1.5,alcaljo01
16,,Brent Headrick* (40-man),25,2,0,1,5.4,8,0,3,0,0,1,15,12,9,9,2,7,0,18,1,0,0,64,81,4.22,1.267,7.2,1.2,4.2,10.8,2.57,headrbr01
17,,Cole Sands,25,0,0,,4.5,10,0,8,0,0,0,14,15,7,7,3,9,0,14,0,0,2,66,98,6,1.714,9.6,1.9,5.8,9,1.56,sandsco01
18,,Jordan Balazovic,24,0,0,,1.5,9,0,3,0,0,0,12,11,2,2,2,3,0,9,0,0,1,49,294,4.7,1.167,8.3,1.5,2.3,6.8,3,balazjo02
19,,Oliver Ortega,26,0,0,,3.27,7,0,0,0,0,0,11,5,4,4,2,3,0,9,0,0,1,41,135,4.83,0.727,4.1,1.6,2.5,7.4,3,ortegol01
20,,Caleb Thielbar* (15-day IL),36,0,1,0,1.74,12,0,2,0,0,0,10.1,8,3,2,1,2,0,10,0,0,0,40,255,3.19,0.968,7,0.9,1.7,8.7,5,thielca01
21,,Josh Winder (40-man),26,1,0,1,4.76,4,0,3,0,0,0,5.2,8,3,3,1,3,0,7,0,0,0,27,96,4.7,1.941,12.7,1.6,4.8,11.1,2.33,windejo01
22,,Simeon Woods Richardson (40-man),22,0,0,,9.64,1,0,0,0,0,0,4.2,7,5,5,1,3,0,5,0,0,0,24,48,5.86,2.143,13.5,1.9,5.8,9.6,1.67,woodssi01
23,,Willi Castro,26,0,0,,0,2,0,2,0,0,0,1.1,1,0,0,0,0,0,0,0,0,0,4,,3.29,0.75,6.8,0,0,0,,castrwi01
24,,Dereck Rodríguez,31,0,0,,13.5,1,0,1,0,0,0,0.2,1,1,1,0,1,0,0,0,0,0,4,49,7.79,3,13.5,0,13.5,0,0,rodride01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
