Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Aaron Nola,30,9,6,0.6,4.27,20,20,0,0,0,0,126.1,106,66,60,21,30,0,126,1,0,0,509,101,4.19,1.077,7.6,1.5,2.1,9,4.2,nolaaa01
2,SP,Zack Wheeler,33,7,5,0.583,3.88,20,20,0,0,0,0,118.1,112,54,51,10,23,0,134,7,0,1,495,111,2.88,1.141,8.5,0.8,1.7,10.2,5.83,wheelza01
3,SP,Taijuan Walker,30,11,4,0.733,4.11,20,20,0,0,0,0,107.1,92,49,49,13,43,0,94,2,1,2,443,105,4.37,1.258,7.7,1.1,3.6,7.9,2.19,walketa01
4,SP,Ranger Suárez*,27,2,5,0.286,4.07,13,13,0,0,0,0,73,75,34,33,7,27,0,67,1,0,4,313,106,3.85,1.397,9.2,0.9,3.3,8.3,2.48,suarera01
5,SP,Bailey Falter* (40-man),26,0,7,0,5.13,8,7,0,0,0,0,40.1,50,30,23,7,8,0,28,0,0,0,175,84,4.75,1.438,11.2,1.6,1.8,6.2,3.5,falteba01
6,SP,Cristopher Sánchez*,26,0,3,0,3.06,7,7,0,0,0,0,35.1,31,15,12,5,6,0,30,0,0,2,140,142,3.94,1.047,7.9,1.3,1.5,7.6,5,sanchcr01
7,CL,Craig Kimbrel,35,5,1,0.833,3.15,42,0,29,0,0,16,40,22,14,14,5,16,1,60,2,1,2,157,137,3.26,0.95,5,1.1,3.6,13.5,3.75,kimbrcr01
8,RP,Matt Strahm*,31,6,3,0.667,3.6,31,9,4,0,0,1,60,47,25,24,9,15,0,76,3,1,1,241,120,3.61,1.033,7.1,1.4,2.3,11.4,5.07,strahma01
9,RP,Andrew Vasquez*,29,2,0,1,2.04,29,0,11,0,0,0,39.2,34,10,9,3,14,1,34,5,2,2,169,212,3.99,1.21,7.7,0.7,3.2,7.7,2.43,vasquan02
10,RP,Gregory Soto*,28,2,4,0.333,4.66,42,0,9,0,0,1,36.2,29,21,19,2,16,0,37,2,0,4,155,93,3.45,1.227,7.1,0.5,3.9,9.1,2.31,sotogr01
11,RP,Seranthony Domínguez (15-day IL),28,1,2,0.333,4.33,32,0,3,0,0,0,27,31,17,13,3,11,0,28,4,0,1,126,100,4.33,1.556,10.3,1,3.7,9.3,2.55,dominse01
12,,Connor Brogdon (40-man),28,2,1,0.667,4.03,27,1,3,0,0,0,29,29,14,13,5,13,0,26,1,0,2,127,108,5.19,1.448,9,1.6,4,8.1,2,brogdco01
13,,Yunior Marte,28,0,1,0,5.54,28,0,6,0,0,1,26,31,21,16,4,10,0,25,1,0,0,119,78,4.64,1.577,10.7,1.4,3.5,8.7,2.5,marteyu01
14,,José Alvarado* (15-day IL),28,0,0,,1.38,26,0,7,0,0,6,26,21,7,4,2,9,1,39,0,0,2,107,314,2.33,1.154,7.3,0.7,3.1,13.5,4.33,alvarjo03
15,,Jeff Hoffman,30,3,2,0.6,2.81,22,0,6,0,0,1,25.2,16,9,8,2,9,1,34,1,0,2,102,155,2.82,0.974,5.6,0.7,3.2,11.9,3.78,hoffmje02
16,,Dylan Covey,31,1,2,0.333,5.68,11,1,5,0,0,0,19,24,14,12,3,5,0,15,0,0,0,82,77,4.55,1.526,11.4,1.4,2.4,7.1,3,coveydy01
17,,Andrew Bellatti,31,1,0,1,5.06,19,0,3,0,0,0,16,14,10,9,2,10,0,17,0,0,0,73,87,4.66,1.5,7.9,1.1,5.6,9.6,1.7,bellaan01
18,,Luis Ortiz (40-man),27,0,0,,3.86,10,0,6,0,0,1,14,15,6,6,1,5,0,12,0,0,0,60,114,3.57,1.429,9.6,0.6,3.2,7.7,2.4,ortizlu02
19,,McKinley Moore (7-day IL),24,0,0,,18.9,3,0,0,0,0,0,3.1,5,7,7,1,5,0,2,2,0,0,21,25,12.29,3,13.5,2.7,13.5,5.4,0.4,mooremc01
20,,Kody Clemens (40-man),27,0,0,,3.38,4,0,4,0,0,0,2.2,4,1,1,0,3,0,1,0,0,0,15,144,5.91,2.625,13.5,0,10.1,3.4,0.33,clemeko01
21,,Josh Harrison,35,0,0,,27,2,0,2,0,0,0,1.2,8,5,5,0,2,0,0,0,0,0,15,19,6.89,6,43.2,0,10.8,0,0,harrijo05
22,,Erich Uelmen (7-day IL),27,0,0,,36,1,0,0,0,0,0,1,3,4,4,0,2,0,1,0,0,0,8,16,7.29,5,27,0,18,9,0.5,uelmeer01
