Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,George Kirby,25,9,8,0.529,3.23,19,19,0,1,0,0,119.2,114,45,43,13,11,0,103,3,0,1,475,126,3.33,1.045,8.6,1,0.8,7.7,9.36,kirbyge01
2,SP,Luis Castillo,30,6,7,0.462,3.04,20,20,0,0,0,0,118.1,94,48,40,19,30,0,133,3,0,3,480,134,3.96,1.048,7.1,1.4,2.3,10.1,4.43,castilu02
3,SP,Logan Gilbert,26,8,5,0.615,3.65,19,19,0,1,1,0,113.1,94,49,46,13,20,0,111,2,0,5,451,112,3.4,1.006,7.5,1,1.6,8.8,5.55,gilbelo01
4,SP,Bryce Miller,24,6,3,0.667,3.66,12,12,0,0,0,0,64,49,26,26,6,13,0,58,2,0,1,251,112,3.4,0.969,6.9,0.8,1.8,8.2,4.46,millebr04
5,SP,Marco Gonzales* (15-day IL),31,4,1,0.8,5.22,10,10,0,0,0,0,50,55,32,29,5,18,0,34,0,0,0,215,79,4.31,1.46,9.9,0.9,3.2,6.1,1.89,gonzama02
6,SP,Bryan Woo,23,1,2,0.333,4.74,8,8,0,0,0,0,38,36,23,20,6,12,0,47,1,0,1,163,87,3.89,1.263,8.5,1.4,2.8,11.1,3.92,woobr01
7,CL,Paul Sewald,33,2,0,1,3.03,40,0,27,0,0,19,38.2,27,13,13,4,12,1,57,0,0,1,151,136,2.61,1.009,6.3,0.9,2.8,13.3,4.75,sewalpa01
8,RP,Matt Brash,25,4,3,0.571,3.23,46,0,3,0,0,1,39,38,16,14,1,16,0,68,5,0,5,174,127,1.75,1.385,8.8,0.2,3.7,15.7,4.25,brashma01
9,RP,Justin Topa,32,1,3,0.25,2.72,40,0,7,0,0,1,36.1,34,14,11,2,11,3,33,1,0,0,152,151,3.18,1.239,8.4,0.5,2.7,8.2,3,topaju01
10,RP,Gabe Speier*,28,2,1,0.667,4.11,39,0,7,0,0,0,30.2,25,14,14,3,4,1,30,2,0,1,116,100,3.19,0.946,7.3,0.9,1.2,8.8,7.5,speiega01
11,RP,Trevor Gott,30,0,3,0,4.03,30,0,4,0,0,0,29,33,19,13,2,8,1,32,2,0,0,129,102,3.01,1.414,10.2,0.6,2.5,9.9,4,gotttr01
