Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Zach Eflin,29,10,5,0.667,3.59,18,18,0,0,0,0,105.1,93,42,42,11,15,0,105,2,0,0,416,114,3.13,1.025,7.9,0.9,1.3,9,7,eflinza01
2,SP,Shane McClanahan*,26,11,1,0.917,2.56,18,18,0,0,0,0,102,77,29,29,12,38,0,107,0,0,1,409,160,3.84,1.127,6.8,1.1,3.4,9.4,2.82,mcclash01
3,SP,Taj Bradley,22,5,6,0.455,5.29,14,14,0,0,0,0,66.1,71,42,39,12,21,0,89,1,0,3,291,77,3.95,1.387,9.6,1.6,2.8,12.1,4.24,bradlta01
4,SP,Tyler Glasnow,29,3,3,0.5,3.62,10,10,0,0,0,0,54.2,47,24,22,8,18,0,80,1,0,6,229,113,3.3,1.189,7.7,1.3,3,13.2,4.44,glasnty01
5,SP,Drew Rasmussen (60-day IL),27,4,2,0.667,2.62,8,8,0,0,0,0,44.2,36,13,13,2,11,0,47,1,0,2,177,157,2.57,1.052,7.3,0.4,2.2,9.5,4.27,rasmudr01
6,CL,Jason Adam,31,2,2,0.5,2.68,42,0,18,0,0,11,40.1,26,15,12,4,16,0,50,9,0,0,170,154,3.96,1.041,5.8,0.9,3.6,11.2,3.13,adamja01
7,RP,Kevin Kelly,25,4,1,0.8,3.16,37,0,4,0,0,1,42.2,34,15,15,1,11,1,35,7,0,0,176,130,3.22,1.055,7.2,0.2,2.3,7.4,3.18,kellyke02
8,RP,Jalen Beeks* (40-man),29,2,3,0.4,6.27,27,7,6,0,0,1,37.1,36,26,26,4,19,0,40,1,0,3,169,66,4.14,1.473,8.7,1,4.6,9.6,2.11,beeksja02
9,RP,Colin Poche*,29,7,2,0.778,2.06,39,0,4,0,0,1,35,24,10,8,3,17,0,28,1,0,2,147,200,4.34,1.171,6.2,0.8,4.4,7.2,1.65,pocheco01
10,RP,Jake Diekman*,36,0,0,,2.21,25,0,9,0,0,0,20.1,9,7,5,2,12,1,27,1,0,0,81,188,3.83,1.033,4,0.9,5.3,12,2.25,diekmja01
11,,Yonny Chirinos (DFA),29,4,4,0.5,4.02,15,4,1,0,0,0,62.2,58,30,28,10,20,0,31,4,0,2,262,102,5.52,1.245,8.3,1.4,2.9,4.5,1.55,chiriyo01
12,,Josh Fleming* (60-day IL),27,1,0,1,4.62,11,3,1,0,0,0,48.2,51,27,25,9,19,2,24,0,0,2,207,89,5.88,1.438,9.4,1.7,3.5,4.4,1.26,flemijo01
