Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Nathan Eovaldi,33,11,3,0.786,2.69,19,19,0,2,1,0,123.2,91,38,37,8,34,0,111,4,0,2,479,161,3.25,1.011,6.6,0.6,2.5,8.1,3.26,eovalna01
2,SP,Jon Gray,31,6,5,0.545,3.31,18,18,0,1,0,0,103.1,89,40,38,13,34,1,83,6,0,4,419,131,4.48,1.19,7.8,1.1,3,7.2,2.44,grayjo02
3,SP,Dane Dunning,28,8,2,0.8,2.82,21,13,2,0,0,0,99,85,33,31,7,25,0,63,7,0,4,399,154,3.9,1.111,7.7,0.6,2.3,5.7,2.52,dunnida01
4,SP,Martín Pérez*,32,7,3,0.7,4.84,18,18,0,0,0,0,96.2,109,56,52,17,36,0,62,1,2,0,425,90,5.44,1.5,10.1,1.6,3.4,5.8,1.72,perezma02
5,SP,Andrew Heaney*,32,6,6,0.5,4.43,18,18,0,0,0,0,91.1,85,50,45,17,37,0,97,7,0,1,395,98,5.03,1.336,8.4,1.7,3.6,9.6,2.62,heanean01
6,CL,Will Smith*,33,1,3,0.25,2.75,36,0,28,0,0,17,36,21,12,11,2,8,2,38,0,0,1,135,159,2.56,0.806,5.3,0.5,2,9.5,4.75,smithwi04
7,RP,Brock Burke*,26,4,2,0.667,2.79,31,0,4,0,0,0,38.2,37,14,12,5,6,3,30,2,0,0,159,156,4.04,1.112,8.6,1.2,1.4,7,5,burkebr01
8,RP,Josh Sborz (15-day IL),29,4,4,0.5,4.54,29,0,5,0,0,0,37.2,28,19,19,4,13,0,52,1,0,2,153,96,3.02,1.088,6.7,1,3.1,12.4,4,sborzjo01
9,RP,José Leclerc,29,0,1,0,3.14,29,0,16,0,0,1,28.2,21,12,10,3,16,1,30,0,0,2,119,140,4.23,1.291,6.6,0.9,5,9.4,1.88,leclejo01
10,RP,Jonathan Hernández (40-man),26,1,1,0.5,6.65,25,0,4,0,0,0,21.2,24,16,16,4,11,0,23,3,0,2,101,66,5.5,1.615,10,1.7,4.6,9.6,2.09,hernajo02
11,,Cody Bradford*,25,2,1,0.667,4.7,9,5,2,0,0,0,30.2,27,16,16,6,8,0,29,1,0,0,125,93,4.82,1.141,7.9,1.8,2.3,8.5,3.63,bradfco01
12,,Jacob deGrom (60-day IL),35,2,0,1,2.67,6,6,0,0,0,0,30.1,19,11,9,2,4,0,45,0,0,1,115,164,1.57,0.758,5.6,0.6,1.2,13.4,11.25,degroja01
13,,Grant Anderson,26,1,1,0.5,4.15,18,0,1,0,0,0,26,25,12,12,3,6,0,22,0,0,0,105,106,3.79,1.192,8.7,1,2.1,7.6,3.67,andergr01
14,,Cole Ragans*,25,2,3,0.4,5.92,17,0,1,0,0,0,24.1,20,17,16,4,14,1,24,1,0,2,106,74,5.3,1.397,7.4,1.5,5.2,8.9,1.71,raganco01
15,,John King* (40-man),28,1,1,0.5,5.79,15,0,8,0,0,0,18.2,26,12,12,1,4,0,10,0,0,0,81,76,3.55,1.607,12.5,0.5,1.9,4.8,2.5,kingjo01
16,,Ian Kennedy,38,0,1,0,7.2,11,0,5,0,0,0,10,11,10,8,1,3,0,13,1,0,0,46,62,3.19,1.4,9.9,0.9,2.7,11.7,4.33,kenneia01
17,,Joe Barlow (40-man),27,1,1,0.5,4.66,13,0,4,0,0,0,9.2,13,5,5,2,2,0,6,0,0,0,44,96,5.35,1.552,12.1,1.9,1.9,5.6,3,barlojo01
18,,Yerry Rodríguez (40-man),25,0,0,,3.12,10,0,8,0,0,0,8.2,10,3,3,1,3,1,6,0,0,0,39,145,4.44,1.5,10.4,1,3.1,6.2,2,rodriye01
19,,Taylor Hearn* (DFA),28,0,0,,10.29,4,0,2,0,0,0,7,9,8,8,1,4,0,7,0,0,0,34,44,4.86,1.857,11.6,1.3,5.1,9,1.75,hearnta01
20,,Glenn Otto,27,0,0,,7.11,3,0,1,0,0,0,6.1,5,5,5,2,2,0,6,0,0,0,26,64,6.44,1.105,7.1,2.8,2.8,8.5,3,ottogl01
21,,Aroldis Chapman*,35,1,0,1,0,6,0,2,0,0,1,6,2,0,0,0,0,0,10,0,0,0,20,,-0.05,0.333,3,0,0,15,,chapmar01
