Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Patrick Corbin*,33,6,10,0.375,4.89,20,20,0,0,0,0,114,141,69,62,18,34,0,80,2,0,3,510,85,4.88,1.535,11.1,1.4,2.7,6.3,2.35,corbipa01
2,SP,Josiah Gray,25,6,8,0.429,3.59,19,19,0,0,0,0,105.1,107,45,42,15,48,1,94,5,0,7,463,116,4.86,1.472,9.1,1.3,4.1,8,1.96,grayjo03
3,SP,Trevor Williams,31,5,5,0.5,4.38,20,20,0,0,0,0,98.2,109,55,48,20,33,0,74,3,2,0,435,95,5.52,1.439,9.9,1.8,3,6.8,2.24,willitr01
4,SP,MacKenzie Gore*,24,5,7,0.417,4.59,19,19,0,0,0,0,96,98,49,49,16,41,0,114,1,0,4,415,91,4.39,1.448,9.2,1.5,3.8,10.7,2.78,gorema01
5,SP,Jake Irvin,26,2,5,0.286,4.96,13,13,0,0,0,0,61.2,63,38,34,8,29,0,44,6,0,2,276,84,5.25,1.492,9.2,1.2,4.2,6.4,1.52,irvinja01
6,CL,Kyle Finnegan,31,4,3,0.571,3.32,38,0,21,0,0,12,40.2,38,18,15,6,14,1,40,1,0,0,168,126,4.34,1.279,8.4,1.3,3.1,8.9,2.86,finneky01
7,RP,Mason Thompson,25,3,3,0.5,4.43,38,0,3,0,0,1,44.2,41,24,22,3,18,0,39,3,0,3,188,94,3.82,1.321,8.3,0.6,3.6,7.9,2.17,thompma02
8,RP,Hunter Harvey (15-day IL),28,3,4,0.429,3.12,39,0,17,0,0,9,40.1,28,16,14,5,12,1,45,1,1,1,159,134,3.63,0.992,6.2,1.1,2.7,10,3.75,harvehu01
9,RP,Carl Edwards Jr. (15-day IL),31,1,3,0.25,3.69,32,0,3,0,0,2,31.2,31,14,13,1,17,2,24,1,0,2,142,114,3.89,1.516,8.8,0.3,4.8,6.8,1.41,edwarca01
10,RP,Erasmo Ramírez,33,2,3,0.4,6.33,23,0,5,0,0,0,27,36,20,19,4,6,0,13,3,1,0,126,66,5.25,1.556,12,1.3,2,4.3,2.17,ramirer02
11,,Chad Kuhl,30,0,4,0,8.45,16,5,5,0,0,1,38.1,47,38,36,8,28,2,31,3,0,4,187,50,6.81,1.957,11,1.9,6.6,7.3,1.11,kuhlch01
12,,Thaddeus Ward (15-day IL),26,0,0,,7.12,22,0,7,0,0,0,30.1,26,24,24,7,24,1,26,0,0,1,136,59,6.95,1.648,7.7,2.1,7.1,7.7,1.08,wardth01
13,,Jordan Weems,30,1,0,1,3.75,18,0,5,0,0,0,24,14,13,10,5,13,1,24,2,0,0,99,112,5.87,1.125,5.3,1.9,4.9,9,1.85,weemsjo01
14,,Cory Abbott,27,0,1,0,5.49,10,0,6,0,0,0,19.2,20,12,12,4,9,0,16,1,0,1,85,77,5.83,1.475,9.2,1.8,4.1,7.3,1.78,abbotco01
15,,Hobie Harris (7-day IL),30,0,0,,5.4,15,0,8,0,0,0,18.1,21,12,11,2,12,0,9,1,0,1,87,78,5.85,1.8,10.3,1,5.9,4.4,0.75,harriho02
16,,Andrés Machado,30,0,0,,8.47,14,0,2,0,0,0,17,25,16,16,6,5,0,12,0,1,1,78,50,7.34,1.765,13.2,3.2,2.6,6.4,2.4,machaan02
17,,Amos Willingham,24,0,2,0,11.74,7,0,2,0,0,0,7.2,14,10,10,4,1,0,4,1,0,0,39,37,9.81,1.957,16.4,4.7,1.2,4.7,4,william01
18,,Jose Ferrer*,23,0,0,,6.43,8,0,1,0,0,0,7,10,5,5,0,6,1,5,0,0,0,34,68,4.43,2.286,12.9,0,7.7,6.4,0.83,ferrejo01
19,,Anthony Banda*,29,0,0,,6.43,10,0,5,0,0,0,7,9,5,5,1,5,0,6,1,0,1,35,68,6,2,11.6,1.3,6.4,7.7,1.2,bandaan01
20,,Joe La Sorsa*,25,0,0,,14.4,7,0,1,0,0,0,5,12,8,8,0,2,0,5,2,1,0,31,31,3.69,2.8,21.6,0,3.6,9,2.5,lasorjo01
21,,Joan Adon (40-man),24,0,0,,5.4,2,0,2,0,0,0,5,3,3,3,2,2,0,4,0,0,1,20,83,8.09,1,5.4,3.6,3.6,7.2,2,adonjo01
22,,Paolo Espino (15-day IL),36,0,0,,24.75,3,0,1,0,0,0,4,14,11,11,1,3,0,3,0,0,0,28,18,7.29,4.25,31.5,2.3,6.8,6.8,1,espinpa01
23,,Lane Thomas,27,0,0,,27,1,0,1,0,0,0,1,3,3,3,1,0,0,1,0,0,0,6,21,14.29,3,27,9,0,9,,thomala02
24,,Ildemaro Vargas,31,0,0,,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,,3.29,0,0,0,0,0,,vargail01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
