Year,Team,RA/G,ERA,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,WS_Winner
2023,ARI,4.7,4.47,1,9,44,1435.1,1375,761,713,197,525,1351,1.324,8.47,1.24,56,134,0.99,28.5,No
2022,ARI,4.57,4.25,0,10,33,1430.0,1345,740,676,191,504,1216,1.293,7.65,1.2,86,134,0.985,30.0,No
2021,ARI,5.51,5.11,3,4,22,1417.1,1480,893,804,232,555,1238,1.436,7.86,1.47,100,113,0.983,28.5,No
2019,ARI,4.59,4.25,0,11,45,1465.0,1400,743,691,220,516,1427,1.308,8.77,1.35,86,136,0.986,28.6,No
2018,ARI,3.98,3.72,2,9,39,1463.0,1313,644,605,174,522,1448,1.254,8.91,1.07,75,152,0.988,29.6,No
2017,ARI,4.07,3.66,2,11,43,1441.0,1309,659,586,171,516,1482,1.266,9.26,1.07,108,140,0.982,28.7,No
2016,ARI,5.49,5.09,2,7,31,1451.1,1563,890,821,202,603,1318,1.492,8.17,1.25,101,143,0.983,26.4,No
2015,ARI,4.4,4.04,1,12,44,1466.2,1450,713,659,182,500,1215,1.33,7.46,1.12,86,146,0.986,27.1,No
2014,ARI,4.58,4.26,2,4,35,1444.1,1467,742,683,154,469,1278,1.34,7.96,0.96,101,147,0.983,28.0,No
2013,ARI,4.29,3.92,6,7,38,1495.0,1460,695,651,176,485,1218,1.301,7.33,1.06,75,135,0.988,27.6,No
2012,ARI,4.25,3.93,4,9,39,1433.2,1432,688,626,155,417,1200,1.29,7.53,0.97,90,146,0.985,27.4,No
2011,ARI,4.09,3.8,5,12,58,1443.1,1414,662,609,159,442,1058,1.286,6.6,0.99,90,131,0.985,27.4,No
2010,ARI,5.16,4.81,3,3,35,1432.0,1503,836,765,210,548,1070,1.432,6.72,1.32,102,152,0.983,27.9,No
2009,ARI,4.83,4.42,4,12,36,1447.2,1470,782,711,168,525,1158,1.378,7.2,1.04,124,133,0.98,27.7,No
2008,ARI,4.36,3.98,6,9,39,1434.2,1403,706,635,147,451,1229,1.292,7.71,0.92,113,137,0.981,29.4,No
2007,ARI,4.52,4.13,7,12,51,1441.0,1446,732,662,169,546,1088,1.382,6.8,1.06,106,157,0.983,28.2,No
2006,ARI,4.86,4.48,8,9,34,1459.2,1503,788,727,168,536,1115,1.397,6.87,1.04,104,172,0.983,28.8,No
2005,ARI,5.28,4.84,6,10,45,1456.1,1580,856,783,193,537,1038,1.454,6.41,1.19,94,159,0.985,27.4,No
2004,ARI,5.55,4.98,5,6,33,1436.0,1480,899,794,197,668,1153,1.496,7.23,1.23,139,144,0.977,29.3,No
2003,ARI,4.23,3.84,7,11,42,1455.0,1379,685,621,150,526,1291,1.309,7.99,0.93,107,132,0.983,29.2,No
2002,ARI,4.16,3.92,14,10,40,1446.2,1361,674,630,170,421,1303,1.232,8.11,1.06,89,116,0.985,31.7,No
2001,ARI,4.18,3.87,12,13,34,1459.2,1352,677,627,195,461,1297,1.242,8.0,1.2,84,148,0.986,30.9,Yes
2000,ARI,4.65,4.35,16,8,38,1443.2,1441,754,698,190,500,1220,1.344,7.61,1.18,107,138,0.982,31.6,No
1999,ARI,4.17,3.77,16,9,42,1467.1,1387,676,615,176,543,1198,1.315,7.35,1.08,104,132,0.983,30.6,No
1998,ARI,5.01,4.63,7,6,37,1432.1,1463,812,737,188,489,908,1.363,5.71,1.18,100,125,0.984,27.4,No
2023,ATL,4.42,4.14,1,15,52,1440.0,1341,716,662,187,534,1516,1.302,9.48,1.17,82,134,0.986,29.9,No
2022,ATL,3.76,3.46,1,9,55,1448.0,1224,609,556,148,500,1554,1.191,9.66,0.92,77,110,0.987,30.0,No
2021,ATL,4.07,3.88,2,18,40,1410.2,1237,656,608,183,516,1417,1.243,9.04,1.17,71,104,0.988,29.5,Yes
2019,ATL,4.59,4.19,1,8,44,1450.2,1421,743,675,203,548,1393,1.357,8.64,1.26,78,154,0.987,27.5,No
2018,ATL,4.06,3.75,2,11,40,1456.2,1236,657,607,153,635,1423,1.284,8.79,0.95,80,134,0.986,27.7,No
2017,ATL,5.07,4.72,0,6,36,1441.1,1463,821,756,192,584,1258,1.42,7.86,1.2,97,137,0.984,29.4,No
2016,ATL,4.84,4.51,1,9,39,1447.2,1414,779,725,177,547,1227,1.355,7.63,1.1,101,134,0.983,26.4,No
2015,ATL,4.69,4.41,3,10,44,1425.1,1462,760,698,170,550,1148,1.412,7.25,1.07,90,186,0.985,26.6,No
2014,ATL,3.69,3.38,5,13,54,1455.0,1369,597,547,121,472,1301,1.265,8.05,0.75,85,143,0.986,27.3,No
2013,ATL,3.38,3.18,1,12,53,1450.1,1326,548,512,127,409,1232,1.196,7.65,0.79,85,141,0.986,27.2,No
2012,ATL,3.7,3.42,5,16,47,1445.1,1310,600,549,145,464,1232,1.227,7.67,0.9,86,147,0.986,27.6,No
2011,ATL,3.73,3.48,3,16,52,1479.2,1332,605,572,125,521,1332,1.252,8.1,0.76,83,131,0.987,28.4,No
2010,ATL,3.88,3.56,2,9,41,1439.1,1326,629,569,126,505,1241,1.272,7.76,0.79,126,166,0.98,30.1,No
2009,ATL,3.96,3.57,3,10,38,1462.2,1399,641,581,119,530,1232,1.319,7.58,0.73,96,159,0.985,28.9,No
2008,ATL,4.8,4.46,2,7,26,1440.2,1439,778,714,156,586,1076,1.406,6.72,0.97,107,149,0.983,28.6,No
2007,ATL,4.52,4.11,1,6,36,1456.1,1442,733,665,172,537,1106,1.359,6.83,1.06,107,141,0.983,29.4,No
2006,ATL,4.97,4.6,6,6,38,1441.1,1529,805,736,183,572,1049,1.458,6.55,1.14,99,146,0.984,29.4,No
2005,ATL,4.16,3.98,8,12,38,1443.2,1487,674,639,145,520,929,1.39,5.79,0.9,86,170,0.986,28.6,No
2004,ATL,4.12,3.74,4,13,48,1450.0,1475,668,603,154,523,1025,1.378,6.36,0.96,116,171,0.981,30.1,No
2003,ATL,4.57,4.1,4,7,51,1456.1,1425,740,663,147,555,992,1.36,6.13,0.91,121,166,0.981,31.1,No
2002,ATL,3.51,3.13,3,15,57,1467.1,1302,565,511,123,554,1058,1.265,6.49,0.75,114,170,0.982,31.1,No
2001,ATL,3.97,3.59,5,13,41,1447.1,1363,643,578,153,499,1133,1.287,7.05,0.95,103,133,0.983,31.1,No
2000,ATL,4.41,4.05,13,9,53,1440.1,1428,714,648,165,484,1093,1.327,6.83,1.03,129,138,0.979,31.4,No
1999,ATL,4.08,3.63,9,9,45,1471.0,1398,661,593,142,507,1197,1.295,7.32,0.87,111,127,0.982,28.6,No
1998,ATL,3.59,3.25,24,23,45,1438.2,1291,581,520,117,467,1232,1.222,7.71,0.73,91,139,0.985,29.5,No
1997,ATL,3.59,3.18,21,17,37,1465.2,1319,581,518,111,450,1196,1.207,7.34,0.68,114,136,0.982,28.5,No
1996,ATL,4.0,3.52,14,9,46,1469.0,1372,648,575,120,451,1245,1.241,7.63,0.74,130,143,0.98,27.9,No
1995,ATL,3.75,3.44,18,11,34,1291.2,1184,540,494,107,436,1087,1.254,7.57,0.75,100,113,0.982,27.4,Yes
1994,ATL,3.93,3.57,16,8,26,1026.1,929,448,407,76,378,865,1.273,7.59,0.67,81,85,0.982,27.4,No
1993,ATL,3.45,3.14,18,16,46,1455.0,1297,559,507,101,480,1036,1.221,6.41,0.62,108,146,0.983,26.8,No
1992,ATL,3.51,3.14,26,24,41,1460.0,1321,569,510,89,489,948,1.24,5.84,0.55,109,121,0.982,27.5,No
1991,ATL,3.98,3.49,18,7,48,1452.2,1304,644,563,118,481,969,1.229,6.0,0.73,138,122,0.978,27.1,No
1990,ATL,5.07,4.58,17,8,30,1429.2,1527,821,727,128,579,938,1.473,5.9,0.81,158,133,0.974,25.8,No
1989,ATL,4.22,3.7,15,8,33,1447.2,1370,680,595,114,468,966,1.27,6.01,0.71,152,124,0.976,25.4,No
1988,ATL,4.63,4.09,14,4,25,1446.0,1481,741,657,108,524,810,1.387,5.04,0.67,151,138,0.976,27.4,No
1987,ATL,5.15,4.63,16,4,32,1427.2,1529,829,734,163,587,837,1.482,5.28,1.03,116,170,0.982,29.2,No
1986,ATL,4.47,3.97,17,5,39,1424.2,1443,719,629,117,576,932,1.417,5.89,0.74,141,181,0.978,28.9,No
1985,ATL,4.82,4.19,9,9,29,1457.1,1512,781,679,134,642,776,1.478,4.79,0.83,159,197,0.976,28.8,No
1984,ATL,4.04,3.57,17,7,49,1447.0,1401,655,574,122,525,859,1.331,5.34,0.76,139,153,0.978,28.4,No
1983,ATL,3.95,3.67,18,4,48,1440.2,1412,640,588,132,540,895,1.355,5.59,0.82,137,176,0.978,29.2,No
1982,ATL,4.33,3.82,15,11,51,1463.0,1484,702,621,126,502,813,1.357,5.0,0.78,137,186,0.979,29.4,No
1981,ATL,3.89,3.45,11,4,24,968.0,936,416,371,62,330,471,1.308,4.38,0.58,102,93,0.976,31.5,No
1980,ATL,4.1,3.77,29,9,37,1428.0,1397,660,598,131,454,696,1.296,4.39,0.83,162,156,0.975,29.6,No
1979,ATL,4.77,4.18,32,3,34,1407.2,1496,763,654,132,494,779,1.414,4.98,0.84,183,139,0.97,28.9,No
1978,ATL,4.63,4.08,29,12,32,1440.1,1404,750,653,132,624,848,1.408,5.3,0.82,153,126,0.975,28.2,No
1977,ATL,5.52,4.85,28,5,31,1445.1,1581,895,779,169,701,915,1.579,5.7,1.05,175,127,0.972,28.4,No
1976,ATL,4.32,3.86,33,13,27,1438.0,1435,700,617,86,564,818,1.39,5.12,0.54,167,151,0.973,29.1,No
1975,ATL,4.59,3.91,32,4,24,1430.0,1543,739,622,101,519,669,1.442,4.21,0.64,175,147,0.972,29.5,No
1974,ATL,3.45,3.05,46,21,22,1474.1,1343,563,500,97,488,772,1.242,4.71,0.59,132,161,0.979,29.5,No
1973,ATL,4.78,4.25,34,9,35,1462.0,1467,774,690,144,575,803,1.397,4.94,0.89,166,142,0.974,28.2,No
1972,ATL,4.71,4.27,40,4,27,1377.0,1412,730,654,155,512,732,1.397,4.78,1.01,156,130,0.974,28.2,No
1971,ATL,4.31,3.75,40,11,31,1474.2,1529,699,614,152,485,823,1.366,5.02,0.93,146,180,0.977,28.5,No
1970,ATL,4.77,4.33,45,9,24,1430.2,1451,772,688,185,478,960,1.348,6.04,1.16,141,118,0.977,28.7,No
1969,ATL,3.9,3.53,38,7,42,1445.0,1334,631,566,144,438,893,1.226,5.56,0.9,115,114,0.981,27.5,No
1968,ATL,3.37,2.92,44,16,29,1474.2,1326,549,478,87,362,871,1.145,5.32,0.53,125,139,0.98,27.5,No
1967,ATL,3.95,3.47,35,5,32,1454.0,1377,640,561,118,449,862,1.256,5.34,0.73,138,148,0.978,28.1,No
1966,ATL,4.19,3.68,37,10,36,1469.1,1430,683,601,129,485,884,1.303,5.41,0.79,154,139,0.976,28.0,No
1965,ATL,3.91,3.52,43,4,38,1447.2,1336,633,566,123,541,966,1.297,6.01,0.76,140,145,0.978,26.6,No
1964,ATL,4.59,4.12,45,14,38,1434.2,1411,744,656,160,452,906,1.299,5.68,1.0,143,139,0.977,28.0,No
1963,ATL,3.7,3.27,56,18,25,1471.2,1327,603,534,149,489,924,1.234,5.65,0.91,129,161,0.98,28.1,No
1962,ATL,4.1,3.68,59,10,24,1434.2,1443,665,586,151,407,802,1.289,5.03,0.95,124,154,0.98,28.9,No
1961,ATL,4.23,3.89,57,8,16,1391.1,1357,656,602,153,493,652,1.33,4.22,0.99,111,152,0.982,30.8,No
1960,ATL,4.27,3.76,55,13,28,1387.1,1327,658,580,130,518,807,1.33,5.24,0.84,141,137,0.976,30.4,No
1959,ATL,3.97,3.51,69,18,18,1400.2,1406,623,546,128,429,775,1.31,4.98,0.82,127,138,0.979,30.2,No
1958,ATL,3.51,3.21,72,16,18,1376.0,1261,541,491,125,426,773,1.226,5.06,0.82,120,152,0.98,29.9,No
1957,ATL,3.95,3.47,60,9,23,1411.0,1347,613,544,124,570,693,1.359,4.42,0.79,120,173,0.981,29.0,No
1956,ATL,3.67,3.11,64,12,25,1393.1,1295,569,482,133,467,639,1.265,4.13,0.86,130,159,0.979,28.6,No
