Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,26,Raisel Iglesias,cu CU,Pitcher,*,,33,R,R,"6' 2""",190,Jan 4 1990,2010,iglesra01
2,63,Lucas Luetge,us US,Pitcher,*,,36,L,L,"6' 4""",205,Mar 24 1987,2008,luetglu01
3,22,Kirby Yates,us US,Pitcher,*,,36,L,R,"5' 10""",205,Mar 25 1987,2009,yateski01
4,77,Joe Jiménez,pr PR,Pitcher,*,,28,R,R,"6' 3""",277,Jan 17 1995,2013,jimenjo02
5,40,Michael Soroka,ca CA,Pitcher,*,,25,R,R,"6' 5""",225,Aug 4 1997,2015,sorokmi01
6,51,Michael Tonkin,us US,Pitcher,*,,33,R,R,"6' 7""",220,Nov 19 1989,2008,tonkimi01
7,32,Collin McHugh,us US,Pitcher,*,,36,R,R,"6' 2""",191,Jun 19 1987,2008,mchugco01
8,50,Charlie Morton,us US,Pitcher,*,,39,R,R,"6' 5""",215,Nov 12 1983,2002,mortoch02
9,74,Seth Elledge,us US,Pitcher,*,,27,R,R,"6' 3""",240,May 20 1996,2015,elledse01
10,59,Dereck Rodríguez,us US,Pitcher,*,,31,R,R,"6' 0""",208,Jun 5 1992,2011,rodride01
11,71,Ben Heller,us US,Pitcher,*,,31,R,R,"6' 3""",210,Aug 5 1991,2013,hellebe01
12,99,Spencer Strider,us US,Pitcher,*,,24,R,R,"6' 0""",195,Oct 28 1998,2018,stridsp01
13,55,Bryce Elder,us US,Pitcher,*,,24,R,R,"6' 2""",220,May 19 1999,2018,elderbr01
14,13,Ronald Acuna Jr.,ve VE,Position,*,,25,R,R,"6' 0""",205,Dec 18 1997,2015,acunaro01
15,8,Eddie Rosario,pr PR,Position,*,,31,L,R,"6' 1""",180,Sep 28 1991,2010,rosared01
16,1,Ozzie Albies,cw CW,Position,*,,26,S,R,"5' 8""",165,Jan 7 1997,2014,albieoz01
17,11,Orlando Arcia,ve VE,Position,*,,28,R,R,"6' 0""",187,Aug 4 1994,2011,arciaor01
18,73,Forrest Wall,us US,Position,*,,27,L,R,"6' 0""",195,Nov 20 1995,2014,redirect.fcgi?player=1&mlb_ID=657088
19,12,Sean Murphy,us US,Position,*,,28,R,R,"6' 3""",228,Oct 4 1994,2014,murphse01
20,23,Michael Harris II,us US,Position,*,,22,L,L,"6' 0""",195,Mar 7 2001,2019,harrimi04
21,28,Matt Olson,us US,Position,*,,29,L,R,"6' 5""",225,Mar 29 1994,2012,olsonma02
22,27,Austin Riley,us US,Position,*,,26,R,R,"6' 3""",240,Apr 2 1997,2015,rileyau01
23,17,Kevin Pillar,us US,Position,*,,34,R,R,"6' 0""",200,Jan 4 1989,2011,pillake01
24,16,Travis d'Arnaud,us US,Position,*,,34,R,R,"6' 2""",210,Feb 10 1989,2007,darnatr01
25,20,Marcell Ozuna,do DO,Position,*,,32,R,R,"6' 1""",225,Nov 12 1990,2008,ozunama01
26,53,Charlie Culberson,us US,Position,*,,34,R,R,"6' 1""",200,Apr 10 1989,2007,culbech01
27,14,Sam Hilliard,us US,Position,,10-day,29,L,L,"6' 5""",236,Feb 21 1994,2015,hillisa01
28,33,A.J. Minter,us US,Pitcher,,15-day,29,L,L,"6' 0""",215,Sep 2 1993,2013,minteaj01
29,60,Jesse Chavez,us US,Pitcher,,15-day,39,R,R,"6' 1""",175,Aug 21 1983,2003,chaveje01
30,30,Kyle Wright,us US,Pitcher,,60-day,27,R,R,"6' 4""",215,Oct 2 1995,2015,wrighky01
31,49,Kolby Allard,us US,Pitcher,,60-day,25,L,L,"6' 1""",195,Aug 13 1997,2015,allarko01
32,54,Max Fried,us US,Pitcher,,60-day,29,L,L,"6' 4""",190,Jan 18 1994,2012,friedma01
33,19,Huascar Ynoa,do DO,Pitcher,,60-day,25,R,R,"6' 2""",220,May 28 1998,2015,ynoahu01
34,61,Nick Anderson,us US,Pitcher,,60-day,32,R,R,"6' 4""",205,Jul 5 1990,2012,anderni01
35,68,Tyler Matzek,us US,Pitcher,,60-day,32,L,L,"6' 3""",230,Oct 19 1990,2010,matzety01
36,52,Dylan Lee,us US,Pitcher,,60-day,28,L,L,"6' 3""",214,Aug 1 1994,2015,leedy01
37,9,Ehire Adrianza,ve VE,Position,,60-day,33,S,R,"6' 1""",198,Aug 21 1989,2006,adriaeh01
38,45,Jared Shuster,us US,Pitcher,,,24,L,L,"6' 3""",210,Aug 3 1998,2018,shustja01
39,36,Ian Anderson,us US,Pitcher,,,25,R,R,"6' 3""",170,May 2 1998,2016,anderia01
40,46,Dylan Dodd,us US,Pitcher,,,25,L,L,"6' 2""",210,Jun 6 1998,2018,dodddy01
41,64,Darius Vines,us US,Pitcher,,,25,R,R,"6' 1""",190,Apr 30 1998,2017,redirect.fcgi?player=1&mlb_ID=670241
42,62,AJ Smith-Shawver,us US,Pitcher,,,20,R,R,"6' 3""",205,Nov 20 2002,2021,smithaj01
43,18,Vaughn Grissom,us US,Position,,,22,R,R,"6' 2""",210,Jan 5 2001,2019,grissva01
44,24,Braden Shewmake,us US,Position,,,25,L,R,"6' 3""",190,Nov 19 1997,2017,shewmbr01
45,48,Chadwick Tromp,aw AW,Position,,,28,R,R,"5' 8""",221,Mar 21 1995,2013,trompch01
46,,Dalton Guthrie,us US,Position,,,27,R,R,"5' 11""",160,Dec 23 1995,2015,guthrda01
47,38,Eli White,us US,Position,,,29,R,R,"6' 2""",195,Jun 26 1994,2014,whiteel04
48,,Luke Williams,us US,Position,,,26,R,R,"6' 0""",186,Aug 9 1996,2015,willilu01
