Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,26,Austin Gomber,us US,Pitcher,*,,29,L,L,"6' 5""",220,Nov 23 1993,2012,gombeau01
2,64,Gavin Hollowell,us US,Pitcher,*,,25,R,R,"6' 7""",215,Nov 4 1997,2016,holloga01
3,55,Brad Hand,us US,Pitcher,*,,33,L,L,"6' 3""",224,Mar 20 1990,2008,handbr01
4,54,Matt Koch,us US,Pitcher,*,,32,L,R,"6' 3""",215,Nov 2 1990,2011,kochma01
5,39,Brent Suter,us US,Pitcher,*,,33,L,L,"6' 4""",213,Aug 29 1989,2011,suterbr01
6,36,Pierce Johnson,us US,Pitcher,*,,32,R,R,"6' 2""",202,May 10 1991,2010,johnspi01
7,50,Ty Blach,us US,Pitcher,*,,32,R,L,"6' 1""",215,Oct 20 1990,2011,blachty01
8,59,Jake Bird,us US,Pitcher,*,,27,R,R,"6' 3""",200,Dec 4 1995,2015,birdja01
9,45,Chase Anderson,us US,Pitcher,*,,35,R,R,"6' 1""",210,Nov 30 1987,2009,anderch01
10,57,Tommy Doyle,us US,Pitcher,*,,27,R,R,"6' 6""",244,May 1 1996,2015,doyleto01
11,43,Connor Seabold,us US,Pitcher,*,,27,R,R,"6' 2""",190,Jan 24 1996,2015,seaboco01
12,52,Daniel Bard,us US,Pitcher,*,,38,R,R,"6' 4""",215,Jun 25 1985,2007,bardda01
13,61,Justin Lawrence,pa PA,Pitcher,*,,28,R,R,"6' 3""",213,Nov 25 1994,2014,lawreju01
14,15,Randal Grichuk,us US,Position,*,,31,R,R,"6' 2""",216,Aug 13 1991,2009,grichra01
15,30,Harold Castro,ve VE,Position,*,,29,L,R,"5' 10""",195,Nov 30 1993,2011,castrha01
16,29,Jurickson Profar,cw CW,Position,*,,30,S,R,"6' 0""",184,Feb 20 1993,2010,profaju01
17,14,Ezequiel Tovar,ve VE,Position,*,,21,R,R,"6' 0""",162,Aug 1 2001,2018,tovarez01
18,23,Kris Bryant,us US,Position,*,,31,R,R,"6' 5""",230,Jan 4 1992,2011,bryankr01
19,4,Michael Toglia,us US,Position,*,,24,S,L,"6' 5""",226,Aug 16 1998,2016,toglimi01
20,22,Nolan Jones,us US,Position,*,,25,L,R,"6' 4""",195,May 7 1998,2016,jonesno01
21,24,Ryan McMahon,us US,Position,*,,28,L,R,"6' 2""",219,Dec 14 1994,2013,mcmahry01
22,35,Elias Díaz,ve VE,Position,*,,32,R,R,"6' 1""",223,Nov 17 1990,2009,diazel01
23,25,C.J. Cron,us US,Position,*,,33,R,R,"6' 4""",235,Jan 5 1990,2010,croncj01
24,9,Brenton Doyle,us US,Position,*,,25,R,R,"6' 2""",200,May 14 1998,2017,doylebr02
25,16,Austin Wynns,us US,Position,*,,32,R,R,"6' 0""",190,Dec 10 1990,2011,wynnsau01
26,13,Alan Trejo,us US,Position,*,,27,R,R,"6' 2""",205,May 30 1996,2015,trejoal01
27,19,Charlie Blackmon,us US,Position,,10-day,36,L,L,"6' 3""",221,Jul 1 1986,2008,blackch02
28,21,Kyle Freeland,us US,Pitcher,,15-day,30,L,L,"6' 4""",204,May 14 1993,2012,freelky01
29,62,Matt Carasiti,us US,Pitcher,,15-day,31,R,R,"6' 2""",205,Jul 23 1991,2011,carasma01
30,46,Nick Mears,us US,Pitcher,,15-day,26,R,R,"6' 2""",200,Oct 7 1996,2017,mearsni01
31,49,Antonio Senzatela,ve VE,Pitcher,,60-day,28,R,R,"6' 1""",236,Jan 21 1995,2012,senzaan01
32,18,Ryan Feltner,us US,Pitcher,,60-day,26,R,R,"6' 4""",190,Sep 2 1996,2016,feltnry01
33,47,Ryan Rolison,us US,Pitcher,,60-day,25,R,L,"6' 2""",213,Jul 11 1997,2017,redirect.fcgi?player=1&mlb_ID=669020
34,40,Tyler Kinley,us US,Pitcher,,60-day,32,R,R,"6' 4""",220,Jan 31 1991,2013,kinlety01
35,58,Lucas Gilbreath,us US,Pitcher,,60-day,27,L,L,"6' 1""",185,Mar 5 1996,2015,gilbrlu01
36,48,Germán Márquez,ve VE,Pitcher,,60-day,28,R,R,"6' 1""",230,Feb 22 1995,2012,marquge01
37,12,Sean Bouchard,us US,Position,,60-day,27,R,R,"6' 3""",215,May 16 1996,2015,bouchse01
38,7,Brendan Rodgers,us US,Position,,60-day,26,R,R,"6' 0""",204,Aug 9 1996,2015,rodgebr02
39,63,Noah Davis,us US,Pitcher,,,26,R,R,"6' 2""",195,Apr 22 1997,2016,davisno01
40,20,Peter Lambert,us US,Pitcher,,,26,R,R,"6' 2""",208,Apr 18 1997,2015,lambepe01
41,51,Karl Kauffmann,us US,Pitcher,,,25,R,R,"6' 2""",200,Aug 15 1997,2017,kauffka01
42,41,Riley Pint,us US,Pitcher,,,25,R,R,"6' 5""",225,Nov 6 1997,2016,pintri01
43,83,Julio Carreras,do DO,Position,,,23,R,R,"6' 1""",190,Jan 12 2000,2018,redirect.fcgi?player=1&mlb_ID=679734
44,44,Elehuris Montero,do DO,Position,,,24,R,R,"6' 3""",235,Aug 17 1998,2015,monteel01
45,3,Coco Montes,us US,Position,,,26,R,R,"6' 1""",200,Oct 7 1996,2016,monteco01
46,6,Brian Serven,us US,Position,,,28,R,R,"6' 0""",207,May 5 1995,2014,servebr01
47,76,Warming Bernabel,do DO,Position,,,21,R,R,"6' 1""",180,Jun 6 2002,2019,redirect.fcgi?player=1&mlb_ID=682653
,,,,,,,,,,,,,,
