Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,55,Ryan Pressly,us US,Pitcher,*,,34,R,R,"6' 2""",206,Dec 15 1988,2008,pressry01
2,68,J.P. France,us US,Pitcher,*,,28,R,R,"6' 0""",216,Apr 4 1995,2014,francjp01
3,64,Brandon Bielak,us US,Pitcher,*,,27,L,R,"6' 2""",208,Apr 2 1996,2015,bielabr01
4,52,Bryan Abreu,do DO,Pitcher,*,,26,R,R,"6' 1""",225,Apr 22 1997,2014,abreubr01
5,88,Phil Maton,us US,Pitcher,*,,30,R,R,"6' 2""",206,Mar 25 1993,2012,matonph01
6,47,Rafael Montero,do DO,Pitcher,*,,32,R,R,"6' 0""",190,Oct 17 1990,2011,montera01
7,58,Hunter Brown,us US,Pitcher,*,,24,R,R,"6' 2""",212,Aug 29 1998,2017,brownhu01
8,53,Cristian Javier,do DO,Pitcher,*,,26,R,R,"6' 1""",213,Mar 26 1997,2015,javiecr01
9,50,Hector Neris,do DO,Pitcher,*,,34,R,R,"6' 2""",227,Jun 14 1989,2010,nerishe01
10,61,Seth Martinez,us US,Pitcher,*,,28,R,R,"6' 2""",200,Aug 29 1994,2014,martise01
11,45,Ryne Stanek,us US,Pitcher,*,,31,R,R,"6' 4""",226,Jul 26 1991,2011,stanery01
12,59,Framber Valdez,do DO,Pitcher,*,,29,R,L,"5' 11""",239,Nov 19 1993,2015,valdefr01
13,60,Joel Kuhnel,us US,Pitcher,*,,28,R,R,"6' 5""",290,Feb 19 1995,2015,kuhnejo01
14,79,José Abreu,cu CU,Position,*,,36,R,R,"6' 3""",235,Jan 29 1987,2003,abreujo02
15,15,Martín Maldonado,pr PR,Position,*,,36,R,R,"6' 0""",230,Aug 16 1986,2004,maldoma01
16,2,Alex Bregman,us US,Position,*,,29,R,R,"6' 0""",192,Mar 30 1994,2013,bregmal01
17,30,Kyle Tucker,us US,Position,*,,26,L,R,"6' 4""",199,Jan 17 1997,2015,tuckeky01
18,14,Mauricio Dubón,hn HN,Position,*,,28,R,R,"6' 0""",173,Jul 19 1994,2013,dubonma01
19,3,Jeremy Peña,do DO,Position,*,,25,R,R,"6' 0""",202,Sep 22 1997,2016,penaje02
20,6,Jake Meyers,us US,Position,*,,27,R,L,"6' 0""",200,Jun 18 1996,2015,meyerja02
21,16,Grae Kessinger,us US,Position,*,,25,R,R,"6' 1""",204,Aug 25 1997,2017,kessigr01
22,17,David Hensley,us US,Position,*,,27,R,R,"6' 6""",190,Mar 28 1996,2015,henslda01
23,9,Corey Julks,us US,Position,*,,27,R,R,"6' 1""",185,Feb 27 1996,2015,julksco01
24,20,Chas McCormick,us US,Position,*,,28,R,L,"6' 0""",208,Apr 19 1995,2014,mccorch01
25,21,Yainer Diaz,do DO,Position,*,,24,R,R,"6' 0""",195,Sep 21 1998,2017,diazya02
26,26,Bligh Madris,us US,Position,*,,27,L,R,"6' 0""",208,Feb 29 1996,2015,madribl01
27,44,Yordan Alvarez,cu CU,Position,,10-day,26,L,R,"6' 5""",225,Jun 27 1997,2013,alvaryo01
28,27,Jose Altuve,ve VE,Position,,10-day,33,R,R,"5' 6""",166,May 6 1990,2007,altuvjo01
29,77,Luis Garcia,ve VE,Pitcher,,60-day,26,R,R,"5' 11""",244,Dec 13 1996,2017,garcilu05
30,43,Lance McCullers Jr.,us US,Pitcher,,60-day,29,L,R,"6' 1""",202,Oct 2 1993,2012,mcculla02
31,65,José Urquidy,mx MX,Pitcher,,60-day,28,R,R,"6' 0""",217,May 1 1995,2015,urquijo01
32,23,Michael Brantley,us US,Position,,60-day,36,L,L,"6' 2""",209,May 15 1987,2005,brantmi02
33,91,Matt Gage,us US,Pitcher,,,30,L,L,"6' 3""",265,Feb 11 1993,2012,gagema01
34,67,Parker Mushinski,us US,Pitcher,,,27,L,L,"6' 0""",218,Nov 22 1995,2015,mushipa01
35,56,Ronel Blanco,do DO,Pitcher,,,29,R,R,"6' 0""",180,Aug 31 1993,2016,blancro01
36,60,Forrest Whitley,us US,Pitcher,,,25,R,R,"6' 7""",238,Sep 15 1997,2016,redirect.fcgi?player=1&mlb_ID=666215
37,48,Enoli Paredes,do DO,Pitcher,,,27,R,R,"5' 11""",171,Sep 28 1995,2016,pareden01
38,66,Shawn Dubin,us US,Pitcher,,,27,R,R,"6' 1""",171,Sep 6 1995,2016,dubinsh01
39,,Spenser Watkins,us US,Pitcher,,,30,R,R,"6' 2""",195,Aug 27 1992,2013,watkisp01
40,62,Blake Taylor,us US,Pitcher,,,27,L,L,"6' 3""",220,Aug 17 1995,2013,taylobl01
41,11,Korey Lee,us US,Position,,,24,R,R,"6' 2""",210,Jul 25 1998,2017,leeko01
42,31,Joe Perez,us US,Position,,,23,R,R,"6' 1""",198,Aug 12 1999,2018,perezjo02
43,38,Rylan Bannon,us US,Position,,,27,R,R,"5' 8""",180,Apr 22 1996,2015,bannory01
44,18,César Salazar,mx MX,Position,,,27,L,R,"5' 9""",185,Mar 15 1996,2016,salazce01
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
