Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,24,Jordan Lyles,us US,Pitcher,*,,32,R,R,"6' 5""",230,Oct 19 1990,2008,lylesjo01
2,23,Zack Greinke,us US,Pitcher,*,,39,R,R,"6' 2""",200,Oct 21 1983,2002,greinza01
3,45,Taylor Clarke,us US,Pitcher,*,,30,R,R,"6' 4""",217,May 13 1993,2012,clarkta01
4,58,Scott Barlow,us US,Pitcher,*,,30,R,R,"6' 3""",210,Dec 18 1992,2011,barlosc01
5,48,Ryan Yarbrough,us US,Pitcher,*,,31,R,L,"6' 5""",215,Dec 31 1991,2013,yarbrry01
6,64,Nick Wittgren,us US,Pitcher,*,,32,R,R,"6' 2""",216,May 29 1991,2011,wittgni01
7,74,Jose Cuas,do DO,Pitcher,*,,29,R,R,"6' 3""",195,Jun 28 1994,2013,cuasjo01
8,67,Alec Marsh,us US,Pitcher,*,,25,R,R,"6' 2""",220,May 14 1998,2017,marshal01
9,49,Jonathan Heasley,us US,Pitcher,*,,26,R,R,"6' 3""",225,Jan 27 1997,2017,heasljo01
10,65,Dylan Coleman,us US,Pitcher,*,,26,R,R,"6' 5""",230,Sep 16 1996,2016,colemdy01
11,53,Austin Cox,us US,Pitcher,*,,26,L,L,"6' 4""",235,Mar 28 1997,2016,coxau01
12,43,Carlos Hernández,ve VE,Pitcher,*,,26,R,R,"6' 4""",255,Mar 11 1997,2017,hernaca04
13,51,Brady Singer,us US,Pitcher,*,,26,R,R,"6' 5""",215,Aug 4 1996,2016,singebr01
14,8,Nicky Lopez,us US,Position,*,,28,L,R,"5' 11""",180,Mar 13 1995,2014,lopezni01
15,28,Kyle Isbel,us US,Position,*,,26,L,R,"5' 11""",190,Mar 3 1997,2016,isbelky01
16,1,MJ Melendez,us US,Position,*,,24,L,R,"6' 1""",190,Nov 29 1998,2017,melenmj01
17,11,Maikel Garcia,ve VE,Position,*,,23,R,R,"6' 0""",180,Mar 3 2000,2017,garcima01
18,15,Matt Duffy,us US,Position,*,,32,R,R,"6' 2""",190,Jan 15 1991,2011,duffyma01
19,19,Michael Massey,us US,Position,*,,25,L,R,"6' 0""",195,Mar 22 1998,2017,massemi02
20,32,Nick Pratto,us US,Position,*,,24,L,L,"6' 1""",225,Oct 6 1998,2017,prattni01
21,13,Salvador Perez,ve VE,Position,*,,33,R,R,"6' 3""",255,May 10 1990,2007,perezsa02
22,34,Freddy Fermin,ve VE,Position,*,,28,R,R,"5' 9""",200,May 16 1995,2016,fermifr01
23,14,Edward Olivares,ve VE,Position,*,,27,R,R,"6' 2""",190,Mar 6 1996,2014,olivaed02
24,7,Bobby Witt,us US,Position,*,,23,R,R,"6' 1""",200,Jun 14 2000,2019,wittbo02
25,6,Drew Waters,us US,Position,*,,24,S,R,"6' 0""",185,Dec 30 1998,2017,waterdr01
26,44,Dairon Blanco,cu CU,Position,*,,30,R,R,"5' 11""",200,Apr 26 1993,2012,blancda02
27,52,Daniel Lynch IV,us US,Pitcher,,15-day,26,L,L,"6' 6""",200,Nov 17 1996,2016,lynchda02
28,56,Brad Keller,us US,Pitcher,,15-day,27,R,R,"6' 5""",255,Jul 27 1995,2013,kellebr01
29,38,Josh Taylor,us US,Pitcher,,60-day,30,L,L,"6' 5""",245,Mar 2 1993,2014,taylojo02
30,63,Josh Staumont,us US,Pitcher,,60-day,29,R,R,"6' 3""",200,Dec 21 1993,2014,staumjo01
31,50,Kris Bubic,us US,Pitcher,,60-day,25,L,L,"6' 3""",225,Aug 19 1997,2016,bubickr01
32,59,Jake Brentz,us US,Pitcher,,60-day,28,L,L,"6' 1""",205,Sep 14 1994,2013,brentja01
33,9,Vinnie Pasquantino,us US,Position,,60-day,25,L,L,"6' 4""",245,Oct 10 1997,2017,pasquvi01
34,27,Matt Beaty,us US,Position,,7-day,30,L,R,"6' 0""",215,Apr 28 1993,2012,beatyma01
35,61,Angel Zerpa,ve VE,Pitcher,,,23,L,L,"6' 0""",220,Sep 27 1999,2017,zerpaan01
36,40,Collin Snider,us US,Pitcher,,,27,R,R,"6' 4""",195,Oct 10 1995,2015,snideco01
37,37,Jackson Kowar,us US,Pitcher,,,26,R,R,"6' 5""",200,Oct 4 1996,2016,kowarja01
38,66,James McArthur,us US,Pitcher,,,26,R,R,"6' 7""",230,Dec 11 1996,2016,mcartja01
39,62,Jonathan Bowlan,us US,Pitcher,,,26,R,R,"6' 6""",240,Dec 1 1996,2016,redirect.fcgi?player=1&mlb_ID=680742
40,55,Cole Ragans,us US,Pitcher,,,25,L,L,"6' 4""",190,Dec 12 1997,2016,raganco01
41,78,Brooks Kriske,us US,Pitcher,,,29,R,R,"6' 3""",205,Feb 3 1994,2013,kriskbr01
42,60,Max Castillo,ve VE,Pitcher,,,24,R,R,"6' 2""",280,May 4 1999,2016,castima03
43,,Samad Taylor,us US,Position,,,24,R,R,"5' 8""",160,Jul 11 1998,2016,taylosa04
44,18,Nate Eaton,us US,Position,,,26,R,R,"5' 11""",200,Dec 22 1996,2016,eatonna01
45,35,Diego Hernandez,do DO,Position,,,22,L,L,"6' 0""",185,Nov 21 2000,2018,redirect.fcgi?player=1&mlb_ID=678746
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
