Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,43,Patrick Sandoval,us US,Pitcher,*,,26,L,L,"6' 3""",190,Oct 18 1996,2015,sandopa02
2,51,Jaime Barria,pa PA,Pitcher,*,,26,R,R,"6' 1""",210,Jul 18 1996,2013,barrija01
3,71,Jacob Webb,us US,Pitcher,*,,29,R,R,"6' 2""",210,Aug 15 1993,2014,webbja01
4,47,Griffin Canning,us US,Pitcher,*,,27,R,R,"6' 2""",180,May 11 1996,2015,cannigr01
5,48,Reid Detmers,us US,Pitcher,*,,23,L,L,"6' 2""",210,Jul 8 1999,2018,detmere01
6,99,Gerardo Reyes,mx MX,Pitcher,*,,30,R,R,"5' 11""",195,May 13 1993,2014,reyesge01
7,28,Aaron Loup,us US,Pitcher,*,,35,L,L,"5' 11""",210,Dec 19 1987,2009,loupaa01
8,59,José Soriano,do DO,Pitcher,*,,24,R,R,"6' 3""",220,Oct 20 1998,2016,soriajo02
9,32,Tucker Davidson,us US,Pitcher,*,,27,L,L,"6' 2""",215,Mar 25 1996,2016,davidtu01
10,63,Chase Silseth,us US,Pitcher,*,,23,R,R,"6' 0""",217,May 18 2000,2019,silsech01
11,53,Carlos Estévez,do DO,Pitcher,*,,30,R,R,"6' 6""",277,Dec 28 1992,2011,estevca01
12,31,Tyler Anderson,us US,Pitcher,*,,33,L,L,"6' 2""",220,Dec 30 1989,2011,anderty01
13,55,Matt Moore,us US,Pitcher,*,,34,L,L,"6' 3""",210,Jun 18 1989,2007,moorema02
14,12,Hunter Renfroe,us US,Position,*,,31,R,R,"6' 1""",230,Jan 28 1992,2011,renfrhu01
15,8,Mike Moustakas,us US,Position,*,,34,L,R,"6' 0""",225,Sep 11 1988,2007,moustmi01
16,16,Mickey Moniak,us US,Position,*,,25,L,R,"6' 2""",195,May 13 1998,2016,moniami01
17,2,Luis Rengifo,ve VE,Position,*,,26,S,R,"5' 10""",195,Feb 26 1997,2014,rengilu01
