Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,64,Caleb Ferguson,us US,Pitcher,*,,26,R,L,"6' 3""",226,Jul 2 1996,2015,ferguca01
2,80,Emmet Sheehan,us US,Pitcher,*,,23,R,R,"6' 5""",220,Nov 15 1999,2018,sheehem01
3,7,Julio Urías,mx MX,Pitcher,*,,26,L,L,"6' 0""",225,Aug 12 1996,2013,uriasju01
4,63,Justin Bruihl,us US,Pitcher,*,,26,L,L,"6' 2""",215,Jun 26 1997,2016,bruihju01
5,59,Evan Phillips,us US,Pitcher,*,,28,R,R,"6' 2""",215,Sep 11 1994,2013,phillev01
6,78,Michael Grove,us US,Pitcher,*,,26,R,R,"6' 3""",200,Dec 18 1996,2016,grovemi01
7,52,Phil Bickford,us US,Pitcher,*,,27,R,R,"6' 4""",200,Jul 10 1995,2014,bickfph01
8,57,Ryan Brasier,us US,Pitcher,*,,35,R,R,"6' 0""",223,Aug 26 1987,2007,brasiry01
9,48,Brusdar Graterol,ve VE,Pitcher,*,,24,R,R,"6' 1""",265,Aug 26 1998,2015,gratebr01
10,70,Bobby Miller,us US,Pitcher,*,,24,L,R,"6' 5""",220,Apr 5 1999,2018,millebo06
11,26,Tony Gonsolin,us US,Pitcher,*,,29,R,R,"6' 3""",205,May 14 1994,2013,gonsoto01
12,38,Yency Almonte,us US,Pitcher,*,,29,R,R,"6' 5""",223,Jun 4 1994,2012,almonye01
13,51,Alex Vesia,us US,Pitcher,*,,27,L,L,"6' 1""",209,Apr 11 1996,2015,vesiaal01
14,33,James Outman,us US,Position,*,,26,L,R,"6' 3""",215,May 14 1997,2016,outmaja01
15,23,Jason Heyward,us US,Position,*,,33,L,L,"6' 5""",240,Aug 9 1989,2007,heywaja01
16,89,Jonny Deluca,us US,Position,*,,24,R,R,"6' 0""",200,Jul 10 1998,2017,delucjo01
17,60,Yonny Hernández,ve VE,Position,*,,25,S,R,"5' 9""",140,May 4 1998,2015,hernayo02
18,13,Max Muncy,us US,Position,*,,32,L,R,"6' 0""",215,Aug 25 1990,2010,muncyma01
19,11,Miguel Rojas,ve VE,Position,*,,34,R,R,"6' 0""",188,Feb 24 1989,2006,rojasmi02
20,50,Mookie Betts,us US,Position,*,,30,R,R,"5' 9""",180,Oct 7 1992,2011,bettsmo01
21,16,Will Smith,us US,Position,*,,28,R,R,"5' 10""",195,Mar 28 1995,2014,smithwi05
22,28,J.D. Martinez,us US,Position,*,,35,R,R,"6' 3""",230,Aug 21 1987,2009,martijd02
23,15,Austin Barnes,us US,Position,*,,33,R,R,"5' 10""",187,Dec 28 1989,2011,barneau01
24,5,Freddie Freeman,us US,Position,*,,33,L,R,"6' 5""",220,Sep 12 1989,2007,freemfr01
25,3,Chris Taylor,us US,Position,*,,32,R,R,"6' 1""",196,Aug 29 1990,2011,tayloch03
26,6,David Peralta,ve VE,Position,*,,35,L,L,"6' 1""",210,Aug 14 1987,2006,peralda01
27,12,Jake Marisnick,us US,Position,,10-day,32,R,R,"6' 4""",220,Mar 30 1991,2010,marisja01
28,43,Noah Syndergaard,us US,Pitcher,,15-day,30,L,R,"6' 6""",242,Aug 29 1992,2010,syndeno01
29,22,Clayton Kershaw,us US,Pitcher,,15-day,35,L,L,"6' 4""",225,Mar 19 1988,2006,kershcl01
30,27,Alex Reyes,us US,Pitcher,,60-day,28,R,R,"6' 4""",220,Aug 29 1994,2013,reyesal02
31,21,Walker Buehler,us US,Pitcher,,60-day,28,R,R,"6' 2""",185,Jul 28 1994,2013,buehlwa01
32,62,Tyler Cyr,us US,Pitcher,,60-day,30,R,R,"6' 1""",205,May 5 1993,2015,cyrty01
33,49,Blake Treinen,us US,Pitcher,,60-day,35,R,R,"6' 5""",225,Jun 30 1988,2011,treinbl01
34,18,Shelby Miller,us US,Pitcher,,60-day,32,R,R,"6' 3""",225,Oct 10 1990,2009,millesh01
35,47,Ryan Pepiot,us US,Pitcher,,60-day,25,R,R,"6' 3""",215,Aug 21 1997,2017,pepiory01
36,41,Daniel Hudson,us US,Pitcher,,60-day,36,R,R,"6' 3""",215,Mar 9 1987,2008,hudsoda01
37,45,J.P. Feyereisen,us US,Pitcher,,60-day,30,R,R,"6' 2""",215,Feb 7 1993,2013,feyerjo01
38,40,Jimmy Nelson,us US,Pitcher,,60-day,34,R,R,"6' 6""",250,Jun 5 1989,2010,nelsoji02
39,85,Dustin May,us US,Pitcher,,60-day,25,R,R,"6' 6""",180,Sep 6 1997,2016,maydu01
40,25,Trayce Thompson,us US,Position,,60-day,32,R,R,"6' 3""",225,Mar 15 1991,2009,thomptr01
41,9,Gavin Lux,us US,Position,,60-day,25,L,R,"6' 2""",190,Nov 23 1997,2016,luxga01
42,93,Bryan Hudson,us US,Pitcher,,,26,L,L,"6' 8""",220,May 8 1997,2015,hudsobr01
43,75,Nick Robertson,us US,Pitcher,,,24,R,R,"6' 6""",265,Jul 16 1998,2018,roberni01
44,,Tyson Miller,us US,Pitcher,,,27,R,R,"6' 5""",220,Jul 29 1995,2014,millety01
45,81,Victor González,mx MX,Pitcher,,,27,L,L,"6' 0""",180,Nov 16 1995,2013,gonzavi02
46,71,Gavin Stone,us US,Pitcher,,,24,R,R,"6' 1""",175,Oct 15 1998,2018,stonega01
47,76,Diego Cartaya,ve VE,Position,,,21,R,R,"6' 3""",219,Sep 7 2001,2019,redirect.fcgi?player=1&mlb_ID=682616
48,83,Michael Busch,us US,Position,,,25,L,R,"6' 1""",210,Nov 9 1997,2017,buschmi02
49,80,Eddys Leonard,do DO,Position,,,22,R,R,"5' 11""",195,Nov 10 2000,2018,redirect.fcgi?player=1&mlb_ID=678760
50,79,Jorbit Vivas,ve VE,Position,,,22,L,R,"5' 10""",171,Mar 9 2001,2018,redirect.fcgi?player=1&mlb_ID=678391
51,84,Andy Pages,cu CU,Position,,,22,R,R,"6' 1""",212,Dec 8 2000,2018,redirect.fcgi?player=1&mlb_ID=681624
52,17,Miguel Vargas,cu CU,Position,,,23,R,R,"6' 3""",205,Nov 17 1999,2014,vargami01
