Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,37,Paul Sewald,us US,Pitcher,*,,33,R,R,"6' 3""",219,May 26 1990,2011,sewalpa01
2,60,Tayler Saucedo,us US,Pitcher,*,,30,L,L,"6' 4""",205,Jun 18 1993,2015,sauceta01
3,68,George Kirby,us US,Pitcher,*,,25,R,R,"6' 4""",215,Feb 4 1998,2017,kirbyge01
4,55,Gabe Speier,us US,Pitcher,*,,28,L,L,"5' 11""",200,Apr 12 1995,2013,speiega01
5,48,Justin Topa,us US,Pitcher,*,,32,R,R,"6' 4""",200,Mar 7 1991,2011,topaju01
6,36,Logan Gilbert,us US,Pitcher,*,,26,R,R,"6' 6""",215,May 5 1997,2016,gilbelo01
7,31,Devin Sweet,us US,Pitcher,*,,26,S,R,"5' 11""",183,Sep 6 1996,2015,sweetde01
8,58,Luis Castillo,do DO,Pitcher,*,,30,R,R,"6' 2""",200,Dec 12 1992,2012,castilu02
9,47,Matt Brash,ca CA,Pitcher,*,,25,R,R,"6' 1""",173,May 12 1998,2017,brashma01
10,52,Prelander Berroa,do DO,Pitcher,*,,23,R,R,"5' 11""",170,Apr 18 2000,2017,redirect.fcgi?player=1&mlb_ID=672860
11,50,Bryce Miller,us US,Pitcher,*,,24,R,R,"6' 2""",200,Aug 23 1998,2018,millebr04
12,33,Bryan Woo,us US,Pitcher,*,,23,R,R,"6' 2""",205,Jan 30 2000,2018,woobr01
13,75,Andrés Muñoz,mx MX,Pitcher,*,,24,R,R,"6' 2""",222,Jan 16 1999,2016,munozan01
14,20,Mike Ford,us US,Position,*,,30,L,R,"6' 0""",225,Jul 4 1992,2011,fordmi01
15,16,Kolten Wong,us US,Position,*,,32,L,R,"5' 7""",185,Oct 10 1990,2010,wongko01
16,44,Julio Rodríguez,do DO,Position,*,,22,R,R,"6' 3""",228,Dec 29 2000,2018,rodriju01
17,8,AJ Pollock,us US,Position,*,,35,R,R,"6' 1""",210,Dec 5 1987,2009,polloaj01
18,76,José Caballero,pa PA,Position,*,,26,R,R,"5' 9""",185,Aug 30 1996,2017,cabaljo01
19,35,Teoscar Hernández,do DO,Position,*,,30,R,R,"6' 2""",215,Oct 15 1992,2011,hernate01
20,3,J.P. Crawford,us US,Position,*,,28,L,R,"6' 2""",202,Jan 11 1995,2013,crawfjp01
21,2,Tom Murphy,us US,Position,*,,32,R,R,"6' 1""",206,Apr 3 1991,2011,murphto04
22,28,Eugenio Suárez,ve VE,Position,*,,31,R,R,"5' 11""",213,Jul 18 1991,2009,suareeu01
23,25,Dylan Moore,us US,Position,*,,30,R,R,"6' 0""",205,Aug 2 1992,2013,mooredy01
24,23,Ty France,us US,Position,*,,28,R,R,"5' 11""",215,Jul 13 1994,2013,francty01
25,29,Cal Raleigh,us US,Position,*,,26,S,R,"6' 3""",235,Nov 26 1996,2016,raleica01
26,18,Cade Marlowe,us US,Position,*,,26,L,R,"6' 1""",210,Jun 24 1997,2019,marloca01
27,10,Jarred Kelenic,us US,Position,,10-day,23,L,L,"6' 1""",206,Jul 16 1999,2018,kelenja01
28,7,Marco Gonzales,us US,Pitcher,,15-day,31,L,L,"6' 1""",205,Feb 16 1992,2011,gonzama02
29,59,Easton McGee,us US,Pitcher,,60-day,25,R,R,"6' 6""",205,Dec 26 1997,2016,mcgeeea01
30,38,Robbie Ray,us US,Pitcher,,60-day,31,L,L,"6' 2""",225,Oct 1 1991,2010,rayro02
31,56,Penn Murfee,us US,Pitcher,,60-day,29,R,R,"6' 2""",195,May 2 1994,2015,murfepe01
32,12,Evan White,us US,Position,,60-day,27,R,L,"6' 1""",219,Apr 26 1996,2015,whiteev01
33,70,Ty Adcock,us US,Pitcher,,,26,R,R,"6' 0""",213,Feb 7 1997,2017,adcocty01
34,,Zach Muckenhirn,us US,Pitcher,,,28,L,L,"6' 0""",205,Feb 27 1995,2014,muckeza01
35,67,Matt Festa,us US,Pitcher,,,30,R,R,"6' 1""",195,Mar 11 1993,2014,festama01
36,43,Juan Then,do DO,Pitcher,,,23,R,R,"6' 1""",200,Feb 7 2000,2017,thenju01
37,49,Isaiah Campbell,pt PT,Pitcher,,,25,R,R,"6' 4""",230,Aug 15 1997,2016,campbis01
38,26,Darren McCaughan,us US,Pitcher,,,27,R,R,"6' 1""",200,Mar 18 1996,2015,mccauda01
39,,Adam Oller,us US,Pitcher,,,28,R,R,"6' 4""",225,Oct 17 1994,2014,ollerad01
40,,Mark Mathias,us US,Position,,,28,R,R,"6' 0""",200,Aug 2 1994,2013,mathima01
41,,Sam Haggerty,us US,Position,,,29,S,R,"5' 11""",175,May 26 1994,2013,haggesa01
42,5,Taylor Trammell,us US,Position,,,25,L,L,"6' 2""",220,Sep 13 1997,2016,trammta01
43,85,Jonatan Clase,do DO,Position,,,21,S,R,"5' 9""",150,May 23 2002,2019,redirect.fcgi?player=1&mlb_ID=682729
44,21,Cooper Hummel,us US,Position,,,28,S,R,"5' 10""",198,Nov 28 1994,2014,hummeco01
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
