Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,65,Giovanny Gallegos,mx MX,Pitcher,*,,31,R,R,"6' 2""",215,Aug 14 1991,2012,gallegi01
2,47,Jordan Montgomery,us US,Pitcher,*,,30,L,L,"6' 6""",228,Dec 27 1992,2012,montgjo01
3,12,Jordan Hicks,us US,Pitcher,*,,26,R,R,"6' 2""",220,Sep 6 1996,2016,hicksjo03
4,59,JoJo Romero,us US,Pitcher,*,,26,L,L,"5' 11""",200,Sep 9 1996,2015,romerjo01
5,64,Kyle Leahy,us US,Pitcher,*,,26,S,R,"6' 5""",200,Jun 4 1997,2016,leahyky01
6,39,Miles Mikolas,us US,Pitcher,*,,34,R,R,"6' 4""",230,Aug 23 1988,2009,mikolmi01
7,22,Jack Flaherty,us US,Pitcher,*,,27,R,R,"6' 4""",225,Oct 15 1995,2014,flaheja01
8,43,Dakota Hudson,us US,Pitcher,*,,28,R,R,"6' 5""",215,Sep 15 1994,2014,hudsoda02
9,32,Steven Matz,us US,Pitcher,*,,32,R,L,"6' 2""",201,May 29 1991,2012,matzst01
10,30,Chris Stratton,us US,Pitcher,*,,32,R,R,"6' 2""",205,Aug 22 1990,2011,stratch01
11,53,Andre Pallante,us US,Pitcher,*,,24,R,R,"6' 0""",203,Sep 18 1998,2017,pallaan01
12,57,Zack Thompson,us US,Pitcher,*,,25,L,L,"6' 2""",215,Oct 28 1997,2017,thompza02
13,46,Paul Goldschmidt,us US,Position,*,,35,R,R,"6' 3""",220,Sep 10 1987,2009,goldspa01
14,11,Paul DeJong,us US,Position,*,,29,R,R,"6' 0""",205,Aug 2 1993,2013,dejonpa01
15,35,José Fermín,do DO,Position,*,,24,R,R,"5' 9""",200,Mar 29 1999,2016,fermijo01
16,16,Nolan Gorman,us US,Position,*,,23,L,R,"6' 1""",210,May 10 2000,2018,gormano01
17,28,Nolan Arenado,us US,Position,*,,32,R,R,"6' 2""",215,Apr 16 1991,2009,arenano01
18,21,Lars Nootbaar,us US,Position,*,,25,L,R,"6' 3""",210,Sep 8 1997,2016,nootbla01
19,27,Tyler O'Neill,ca CA,Position,*,,28,R,R,"5' 11""",200,Jun 22 1995,2013,oneilty01
20,40,Willson Contreras,ve VE,Position,*,,31,R,R,"6' 1""",225,May 13 1992,2009,contrwi01
21,18,Jordan Walker,us US,Position,*,,21,R,R,"6' 6""",245,May 22 2002,2021,walkejo02
22,41,Alec Burleson,us US,Position,*,,24,L,L,"6' 2""",212,Nov 25 1998,2018,burleal01
23,7,Andrew Knizner,us US,Position,*,,28,R,R,"6' 1""",225,Feb 3 1995,2014,kniznan01
24,33,Brendan Donovan,de DE,Position,*,,26,L,R,"6' 1""",195,Jan 16 1997,2016,donovbr01
25,3,Dylan Carlson,us US,Position,*,,24,S,L,"6' 2""",205,Oct 23 1998,2016,carlsdy01
26,48,Iván Herrera,pa PA,Position,*,,23,R,R,"5' 11""",220,Jun 1 2000,2017,herreiv01
27,19,Tommy Edman,us US,Position,,10-day,28,S,R,"5' 10""",180,May 9 1995,2014,edmanto01
28,50,Adam Wainwright,us US,Pitcher,,15-day,41,R,R,"6' 7""",230,Aug 30 1981,2000,wainwad01
29,56,Ryan Helsley,us US,Pitcher,,15-day,28,R,R,"6' 2""",230,Jul 18 1994,2014,helslry01
30,34,Drew VerHagen,us US,Pitcher,,15-day,32,R,R,"6' 6""",230,Oct 22 1990,2010,verhadr01
31,44,Jake Woodford,us US,Pitcher,,15-day,26,R,R,"6' 4""",215,Oct 28 1996,2015,woodfja01
32,70,Packy Naughton,us US,Pitcher,,60-day,27,R,L,"6' 2""",195,Apr 16 1996,2015,naughpa01
33,58,Wilking Rodríguez,ve VE,Pitcher,,60-day,33,R,R,"6' 1""",180,Mar 2 1990,2007,rodriwi02
34,60,Guillermo Zuñiga,co CO,Pitcher,,,24,R,R,"6' 5""",230,Oct 10 1998,2016,zuniggu01
35,61,Jake Walsh,us US,Pitcher,,,27,R,R,"6' 1""",192,Jul 20 1995,2015,walshja02
36,52,Matthew Liberatore,us US,Pitcher,,,23,L,L,"6' 4""",200,Nov 6 1999,2018,liberma01
37,66,Connor Thomas,us US,Pitcher,,,25,L,L,"5' 11""",173,May 29 1998,2017,redirect.fcgi?player=1&mlb_ID=671162
38,68,James Naile,us US,Pitcher,,,30,R,R,"6' 4""",185,Feb 8 1993,2013,naileja01
39,36,Moises Gomez,ve VE,Position,,,24,R,R,"5' 11""",200,Aug 27 1998,2015,redirect.fcgi?player=1&mlb_ID=664332
40,,Richie Palacios,us US,Position,,,26,L,R,"5' 10""",180,May 16 1997,2016,palacri01
41,26,Luken Baker,us US,Position,,,26,R,R,"6' 4""",280,Mar 10 1997,2016,bakerlu01
42,13,Juan Yepez,ve VE,Position,,,25,R,R,"6' 1""",200,Feb 19 1998,2015,yepezju01
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
