Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,50,Erik Swanson,us US,Pitcher,*,,29,R,R,"6' 3""",225,Sep 4 1993,2014,swanser01
2,45,Mitch White,us US,Pitcher,*,,28,R,R,"6' 3""",210,Dec 28 1994,2015,whitemi03
3,24,Nate Pearson,us US,Pitcher,*,,26,R,R,"6' 6""",255,Aug 20 1996,2016,pearsna01
4,34,Kevin Gausman,us US,Pitcher,*,,32,L,R,"6' 2""",205,Jan 6 1991,2011,gausmke01
5,17,José Berríos,pr PR,Pitcher,*,,29,R,R,"6' 0""",205,May 27 1994,2012,berrijo01
6,68,Jordan Romano,ca CA,Pitcher,*,,30,R,R,"6' 5""",210,Apr 21 1993,2014,romanjo03
7,35,Jay Jackson,us US,Pitcher,*,,35,R,R,"6' 1""",195,Oct 27 1987,2008,jacksja01
8,58,Tim Mayza,us US,Pitcher,*,,31,L,L,"6' 3""",215,Jan 15 1992,2012,mayzati01
9,33,Trevor Richards,us US,Pitcher,*,,30,R,R,"6' 2""",205,May 15 1993,2013,richatr01
10,40,Chris Bassitt,us US,Pitcher,*,,34,R,R,"6' 5""",217,Feb 22 1989,2011,bassich01
11,16,Yusei Kikuchi,jp JP,Pitcher,*,,32,L,L,"6' 0""",210,Jun 17 1991,2010,kikucyu01
12,93,Yimi García,do DO,Pitcher,*,,32,R,R,"6' 1""",230,Aug 18 1990,2009,garciyi01
13,6,Alek Manoah,us US,Pitcher,*,,25,R,R,"6' 6""",285,Jan 9 1998,2017,manoaal01
14,15,Whit Merrifield,us US,Position,*,,34,R,R,"6' 1""",195,Jan 24 1989,2010,merriwh01
15,26,Matt Chapman,us US,Position,*,,30,R,R,"6' 0""",215,Apr 28 1993,2012,chapmma01
16,39,Kevin Kiermaier,us US,Position,*,,33,L,R,"6' 1""",210,Apr 22 1990,2010,kiermke01
17,30,Alejandro Kirk,mx MX,Position,*,,24,R,R,"5' 8""",245,Nov 6 1998,2017,kirkal01
18,11,Bo Bichette,us US,Position,*,,25,R,R,"6' 0""",190,Mar 5 1998,2016,bichebo01
19,7,Jordan Luplow,us US,Position,*,,29,R,R,"5' 11""",195,Sep 26 1993,2012,luplojo01
20,27,Vladimir Guerrero Jr.,ca CA,Position,*,,24,R,R,"6' 2""",245,Mar 16 1999,2016,guerrvl02
21,5,Santiago Espinal,do DO,Position,*,,28,R,R,"5' 10""",185,Nov 13 1994,2016,espinsa01
22,13,Brandon Belt,us US,Position,*,,35,L,L,"6' 3""",230,Apr 20 1988,2010,beltbr01
23,4,George Springer,us US,Position,*,,33,R,R,"6' 3""",220,Sep 19 1989,2010,springe01
24,8,Cavan Biggio,us US,Position,*,,28,L,R,"6' 2""",200,Apr 11 1995,2014,biggica01
25,25,Daulton Varsho,us US,Position,*,,26,L,R,"5' 10""",207,Jul 2 1996,2015,varshda01
26,9,Danny Jansen,us US,Position,*,,28,R,R,"6' 2""",215,Apr 15 1995,2013,janseda01
27,90,Adam Cimber,us US,Pitcher,,60-day,32,R,R,"6' 3""",195,Aug 15 1990,2011,cimbead01
28,99,Hyun Jin Ryu,kr KR,Pitcher,,60-day,36,R,L,"6' 3""",250,Mar 25 1987,2006,ryuhy01
29,37,Chad Green,us US,Pitcher,,60-day,32,L,R,"6' 3""",215,May 24 1991,2011,greench03
30,31,Thomas Hatch,us US,Pitcher,,,28,R,R,"6' 1""",195,Sep 29 1994,2014,hatchto01
31,65,Hagen Danner,us US,Pitcher,,,24,R,R,"6' 1""",215,Sep 30 1998,2017,redirect.fcgi?player=1&mlb_ID=668470
32,44,Bowden Francis,us US,Pitcher,,,27,R,R,"6' 5""",220,Apr 22 1996,2017,francbo01
33,60,Yosver Zulueta,cu CU,Pitcher,,,25,R,R,"6' 1""",190,Jan 23 1998,2016,redirect.fcgi?player=1&mlb_ID=691172
34,,Génesis Cabrera,do DO,Pitcher,,,26,L,L,"6' 2""",180,Oct 10 1996,2014,cabrege01
35,56,Zach Pop,ca CA,Pitcher,,,26,R,R,"6' 4""",220,Sep 20 1996,2015,popza01
36,49,Leo Jimenez,pa PA,Position,,,22,R,R,"5' 10""",215,May 17 2001,2018,redirect.fcgi?player=1&mlb_ID=677870
37,38,Nathan Lukes,us US,Position,,,28,L,R,"5' 11""",180,Jul 12 1994,2013,lukesna01
38,2,Orelvis Martinez,do DO,Position,,,21,R,R,"5' 11""",200,Nov 19 2001,2019,redirect.fcgi?player=1&mlb_ID=682619
39,3,Otto Lopez,do DO,Position,,,24,R,R,"5' 10""",185,Oct 1 1998,2017,lopezot01
40,48,Spencer Horwitz,us US,Position,,,25,L,R,"5' 10""",190,Nov 14 1997,2017,horwisp01
41,28,Ernie Clement,us US,Position,,,27,R,R,"6' 0""",170,Mar 22 1996,2015,clemeer01
42,55,Tyler Heineman,us US,Position,,,32,S,R,"5' 10""",190,Jun 19 1991,2011,heinety01
43,57,Addison Barger,us US,Position,,,23,L,R,"6' 0""",210,Nov 12 1999,2018,redirect.fcgi?player=1&mlb_ID=680718
