Position,Team,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
C,CIN,Tyler Stephenson,26,91,358,317,42,79,14,1,7,37,0,1,36,96,0.249,0.332,0.366,0.698,86,116,9,4,0,1,1
1B,CIN,Spencer Steer,25,94,398,345,46,93,19,2,14,51,9,2,44,77,0.27,0.359,0.458,0.817,116,158,5,6,0,3,0
2B,CIN,Jonathan India,26,97,428,372,68,94,19,0,14,51,12,2,36,85,0.253,0.336,0.417,0.753,99,155,12,14,0,6,0
SS,CIN,Matt McLain,23,56,259,235,42,70,17,4,8,30,7,3,19,71,0.298,0.363,0.506,0.869,128,119,4,5,0,0,0
3B,CIN,Nick Senzel,28,66,229,204,28,48,8,0,7,33,4,2,22,50,0.235,0.31,0.377,0.687,82,77,5,1,0,2,0
LF,CIN,Will Benson,25,51,157,135,24,39,6,4,6,16,9,1,22,42,0.289,0.389,0.526,0.914,140,71,1,0,0,0,0
CF,CIN,TJ Friedl,27,75,304,267,35,77,14,3,6,32,16,2,26,57,0.288,0.359,0.431,0.79,109,115,0,4,6,1,1
RF,CIN,Jake Fraley,28,81,286,249,36,67,12,0,13,56,16,4,32,49,0.269,0.36,0.474,0.834,120,118,4,4,0,1,2
DH,CIN,Henry Ramos,31,18,73,62,8,15,2,1,0,4,2,1,10,15,0.242,0.356,0.306,0.663,79,19,2,1,0,0,0
IF,CIN,Kevin Newman,29,64,225,200,24,52,14,0,3,27,7,1,16,29,0.26,0.318,0.375,0.693,84,75,6,3,2,4,0
OF,CIN,Stuart Fairchild,27,66,186,156,26,37,12,1,4,22,9,2,20,52,0.237,0.339,0.404,0.743,97,63,1,5,3,2,0
IF,CIN,Elly De La Cruz,21,37,165,154,29,43,9,2,4,16,17,4,10,51,0.279,0.321,0.442,0.763,100,68,4,0,0,1,0
UT,CIN,Jose Barrero,25,46,149,133,15,29,8,0,2,17,3,2,15,44,0.218,0.295,0.323,0.619,65,43,1,0,0,1,0
RF,CIN,Wil Myers,32,37,141,127,11,24,3,0,3,12,2,1,12,48,0.189,0.257,0.283,0.541,44,36,3,0,1,1,0
C,CIN,Luke Maile,32,43,106,99,10,23,7,0,4,13,1,0,6,29,0.232,0.283,0.424,0.707,85,42,5,1,0,0,0
C,CIN,Curt Casali,34,40,96,80,8,14,2,0,0,6,0,0,11,23,0.175,0.29,0.2,0.49,34,16,1,2,3,0,0
1B,CIN,Joey Votto,39,24,93,78,11,16,3,0,8,21,0,0,12,28,0.205,0.333,0.551,0.885,130,43,0,3,0,0,0
1B,CIN,Jason Vosler,29,20,65,62,6,10,2,1,3,10,0,0,3,25,0.161,0.2,0.371,0.571,47,23,0,0,0,0,0
OF,CIN,TJ Hopkins,26,14,25,24,4,4,0,0,0,1,1,0,1,7,0.167,0.2,0.167,0.367,-1,4,0,0,0,0,0
CI,CIN,Christian Encarnacion-Strand,23,4,13,13,3,4,0,0,1,4,0,0,0,1,0.308,0.308,0.538,0.846,119,7,0,0,0,0,0
CI,CIN,Matt Reynolds,32,2,5,5,1,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,7,1,0,0,0,0,0
