Position,Team,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
C,CLE,Mike Zunino,32,42,140,124,11,22,7,0,3,11,0,0,15,61,0.177,0.271,0.306,0.578,63,38,3,1,0,0,0
1B,CLE,Josh Naylor,26,85,343,316,39,98,22,0,15,75,6,1,21,52,0.31,0.35,0.522,0.872,141,165,7,1,0,5,7
2B,CLE,Andrés Giménez,24,91,365,326,42,81,14,4,8,37,15,3,20,60,0.248,0.32,0.39,0.709,99,127,6,15,2,2,2
SS,CLE,Amed Rosario,27,89,394,367,48,96,17,5,3,39,9,0,22,76,0.262,0.305,0.36,0.664,86,132,10,2,0,3,0
3B,CLE,José Ramírez,30,92,413,362,59,104,25,4,14,54,10,4,44,40,0.287,0.361,0.494,0.855,138,179,7,1,0,6,12
LF,CLE,Steven Kwan,25,95,432,383,65,103,24,2,3,31,15,2,42,48,0.269,0.343,0.366,0.709,100,140,6,3,1,3,2
CF,CLE,Myles Straw,28,94,353,317,38,77,15,3,0,17,12,2,30,73,0.243,0.309,0.309,0.618,75,98,9,1,3,2,0
RF,CLE,Will Brennan,25,85,270,257,24,67,15,0,5,26,6,3,9,38,0.261,0.293,0.377,0.67,87,97,2,3,0,1,1
DH,CLE,Josh Bell,30,87,354,310,23,74,17,0,11,46,0,1,41,74,0.239,0.328,0.4,0.728,104,124,4,1,0,2,1
UT,CLE,Gabriel Arias,23,70,159,138,14,25,5,0,4,6,0,3,21,51,0.181,0.289,0.304,0.594,68,42,5,0,0,0,0
C,CLE,Cam Gallagher,30,40,108,103,5,14,5,0,0,6,0,0,3,32,0.136,0.167,0.184,0.351,-1,19,1,1,0,1,0
IF,CLE,Tyler Freeman,24,33,80,73,12,22,6,0,0,4,3,0,4,12,0.301,0.342,0.384,0.725,104,28,2,1,1,1,0
RF,CLE,Oscar Gonzalez,25,25,75,73,5,14,2,1,1,5,0,0,2,15,0.192,0.213,0.288,0.501,39,21,0,0,0,0,0
C,CLE,Bo Naylor,23,19,70,65,9,13,3,0,2,8,0,0,5,20,0.2,0.257,0.338,0.596,66,22,1,0,0,0,0
UT,CLE,David Fry,27,33,63,58,6,16,2,0,2,8,2,0,4,19,0.276,0.333,0.414,0.747,109,24,2,1,0,0,0
IF,CLE,Brayan Rocchio,22,4,14,14,0,3,0,0,0,1,0,0,0,1,0.214,0.214,0.214,0.429,22,3,2,0,0,0,0
C,CLE,Meibrys Viloria,26,10,4,3,0,0,0,0,0,0,0,0,1,0,0.0,0.25,0.0,0.25,-20,0,1,0,0,0,0
