Position,Team,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
C,KC,Salvador Perez,33,86,353,329,38,83,15,0,15,40,0,0,12,85,0.252,0.295,0.435,0.729,99,143,9,9,0,3,3
1B,KC,Nick Pratto,24,72,279,243,30,59,15,0,6,30,1,1,27,105,0.243,0.33,0.379,0.708,97,92,3,6,0,3,0
2B,KC,Michael Massey,25,71,239,218,16,45,7,1,4,23,3,1,15,64,0.206,0.264,0.303,0.566,57,66,0,3,0,3,0
SS,KC,Bobby Witt,23,96,416,387,50,97,16,6,16,51,27,7,21,84,0.251,0.292,0.447,0.739,101,173,5,3,1,4,0
3B,KC,Maikel Garcia,23,64,260,233,26,64,12,1,3,27,14,2,20,58,0.275,0.328,0.373,0.702,95,87,4,1,1,5,0
LF,KC,Edward Olivares,27,70,254,233,33,58,13,4,6,17,8,3,13,42,0.249,0.303,0.416,0.719,97,97,4,6,0,2,1
CF,KC,Kyle Isbel,26,43,153,145,15,29,12,1,2,12,3,1,7,30,0.2,0.242,0.338,0.58,59,49,2,1,0,0,0
RF,KC,MJ Melendez,24,91,373,332,36,70,19,2,7,33,5,2,36,109,0.211,0.29,0.343,0.633,75,114,3,2,0,3,1
DH,KC,Vinnie Pasquantino,25,61,260,231,24,57,17,0,9,26,0,0,25,31,0.247,0.324,0.437,0.762,109,101,7,2,0,1,2
IF,KC,Nicky Lopez,28,63,176,148,17,31,5,3,0,12,3,2,20,30,0.209,0.324,0.284,0.607,71,42,3,5,3,0,0
CF,KC,Drew Waters,24,44,149,138,19,34,4,2,4,15,4,3,7,52,0.246,0.295,0.391,0.687,89,54,2,3,0,1,0
IF,KC,Matt Duffy,32,50,128,117,11,32,6,0,1,8,0,0,7,25,0.274,0.328,0.35,0.679,89,41,2,3,0,1,0
C,KC,Freddy Fermin,28,39,121,112,13,32,5,1,4,20,0,0,8,26,0.286,0.333,0.455,0.789,116,51,1,0,1,0,0
CF,KC,Jackie Bradley Jr.,33,43,113,105,10,14,5,0,1,6,0,0,5,29,0.133,0.188,0.21,0.397,10,22,3,2,1,0,0
3B,KC,Hunter Dozier,31,29,91,82,8,15,2,1,2,9,2,0,8,29,0.183,0.253,0.305,0.558,54,25,0,0,0,1,0
DH,KC,Franmil Reyes,27,19,65,59,5,11,0,0,2,7,0,0,4,24,0.186,0.231,0.288,0.519,43,17,3,0,0,2,0
OF,KC,Dairon Blanco,30,23,58,54,7,13,5,3,0,6,7,3,3,17,0.241,0.293,0.444,0.738,101,24,1,1,0,0,0
OF,KC,Nate Eaton,26,28,56,53,2,4,0,0,0,1,3,0,2,21,0.075,0.125,0.075,0.2,-42,4,0,1,0,0,0
UT,KC,Samad Taylor,24,13,41,33,3,5,0,0,0,3,2,0,6,11,0.152,0.275,0.152,0.427,24,5,1,0,1,1,0
DH,KC,Matt Beaty,30,3,6,5,0,2,1,0,0,2,0,0,1,0,0.4,0.5,0.6,1.1,204,3,0,0,0,0,0
