Position,Team,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
C,LAA,Matt Thaiss,28,68,219,185,27,46,6,0,6,23,2,0,30,55,0.249,0.361,0.378,0.739,104,70,4,3,0,1,1
1B,LAA,Jared Walsh,29,28,78,67,5,8,4,0,1,5,0,0,11,26,0.119,0.244,0.224,0.467,30,15,1,0,0,0,0
2B,LAA,Brandon Drury,30,75,307,282,36,78,17,2,14,45,0,2,16,80,0.277,0.322,0.5,0.822,121,141,9,5,0,4,0
SS,LAA,Zach Neto,22,61,229,202,29,51,13,0,7,26,5,0,12,47,0.252,0.329,0.421,0.75,104,85,4,12,1,2,0
3B,LAA,Anthony Rendon,33,43,183,148,23,35,6,0,2,22,2,0,25,27,0.236,0.361,0.318,0.678,89,47,6,6,0,4,0
LF,LAA,Taylor Ward,29,89,376,330,55,82,17,0,11,38,3,2,35,73,0.248,0.327,0.4,0.727,98,132,7,6,0,5,0
CF,LAA,Mike Trout,31,81,358,304,54,80,14,1,18,44,2,0,45,103,0.263,0.369,0.493,0.862,134,150,3,7,0,2,2
RF,LAA,Hunter Renfroe,31,89,366,336,45,82,21,0,15,42,0,0,27,79,0.244,0.301,0.44,0.741,100,148,13,1,0,2,0
DH,LAA,Shohei Ohtani,28,95,428,363,71,111,16,7,35,76,11,4,56,96,0.306,0.397,0.678,1.075,187,246,7,1,0,3,8
2B,LAA,Luis Rengifo,26,82,263,229,32,49,6,1,7,27,5,4,29,53,0.214,0.308,0.341,0.649,78,78,3,3,0,2,0
CI,LAA,Gio Urshela,31,62,228,214,22,64,8,1,2,24,3,2,10,36,0.299,0.329,0.374,0.703,93,80,9,1,0,3,0
OF,LAA,Mickey Moniak,25,44,165,157,24,52,12,1,11,33,3,1,5,50,0.331,0.364,0.631,0.994,165,99,1,3,0,0,0
C,LAA,Chad Wallach,31,44,117,105,14,21,2,0,6,12,0,1,11,42,0.2,0.276,0.39,0.666,80,41,4,0,1,0,0
CI,LAA,Mike Moustakas,34,16,63,58,7,13,0,0,4,8,0,0,3,19,0.224,0.286,0.431,0.717,93,25,3,2,0,0,0
IF,LAA,Eduardo Escobar,34,16,60,56,9,14,0,1,0,5,0,0,3,15,0.25,0.283,0.286,0.569,57,16,1,0,0,1,0
C,LAA,Logan O'Hoppe,23,16,59,53,5,15,2,0,4,13,0,0,4,15,0.283,0.339,0.547,0.886,138,29,2,1,0,1,0
1B,LAA,Jake Lamb,32,18,54,51,7,11,1,0,2,5,0,0,3,15,0.216,0.259,0.353,0.612,66,18,1,0,0,0,0
SS,LAA,David Fletcher,29,19,49,47,3,10,1,0,1,8,0,0,2,6,0.213,0.245,0.298,0.543,48,14,2,0,0,0,0
SS,LAA,Andrew Velazquez,28,23,47,39,6,8,1,0,0,0,8,1,7,11,0.205,0.326,0.231,0.557,57,9,0,0,1,0,0
2B,LAA,Michael Stefanic,27,7,17,15,2,4,1,0,0,3,0,0,2,1,0.267,0.353,0.333,0.686,90,5,0,0,0,0,0
OF,LAA,Brett Phillips,29,19,16,13,3,1,0,0,0,2,3,0,3,8,0.077,0.25,0.077,0.327,-3,1,0,0,0,0,0
OF,LAA,Jo Adell,24,5,14,13,2,3,1,1,1,3,0,0,1,6,0.231,0.286,0.692,0.978,156,9,0,0,0,0,0
1B,LAA,Trey Cabbage,26,5,12,12,1,4,2,0,0,2,0,0,0,5,0.333,0.333,0.5,0.833,125,6,0,0,0,0,0
MI,LAA,Livan Soto,23,4,12,9,2,2,0,0,0,0,0,0,3,2,0.222,0.417,0.222,0.639,84,2,0,0,0,0,0
CI,LAA,Kevin Padlo,26,3,8,8,1,1,1,0,0,0,0,0,0,0,0.125,0.125,0.25,0.375,-1,2,1,0,0,0,0
C,LAA,Chris Okey,28,2,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
