Position,Team,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
C,MIL,William Contreras,25,77,321,285,40,78,17,1,10,36,1,0,31,62,0.274,0.352,0.446,0.798,117,127,11,4,0,1,0
1B,MIL,Rowdy Tellez,28,79,288,258,23,55,7,1,12,36,0,0,27,69,0.213,0.285,0.388,0.672,82,100,9,0,0,3,2
2B,MIL,Brice Turang,23,74,239,219,19,44,7,3,3,18,11,4,20,55,0.201,0.268,0.301,0.569,56,66,4,0,0,0,1
SS,MIL,Willy Adames,27,87,375,328,42,69,15,0,16,46,4,3,37,95,0.21,0.292,0.402,0.695,88,132,9,3,0,5,0
3B,MIL,Brian Anderson,30,85,334,292,35,67,11,2,9,38,0,3,35,99,0.229,0.317,0.373,0.691,89,109,9,4,0,3,0
LF,MIL,Christian Yelich,31,93,402,352,70,101,22,2,14,54,21,2,47,86,0.287,0.376,0.48,0.856,133,169,7,3,0,0,3
CF,MIL,Joey Wiemer,24,95,320,284,39,59,15,0,12,33,11,3,30,90,0.208,0.291,0.387,0.678,84,110,3,4,0,2,0
RF,MIL,Tyrone Taylor,29,31,88,85,6,13,3,0,1,4,5,0,2,22,0.153,0.17,0.224,0.394,7,19,5,0,0,1,0
DH,MIL,Jesse Winker,29,58,188,158,15,31,5,0,1,22,0,0,25,48,0.196,0.319,0.247,0.566,59,39,0,4,0,1,0
IF,MIL,Owen Miller,26,80,291,270,28,73,16,0,5,26,12,2,16,56,0.27,0.313,0.385,0.698,91,104,6,2,0,3,1
C,MIL,Victor Caratini,29,37,136,117,14,29,0,0,5,18,1,0,15,29,0.248,0.346,0.376,0.722,99,44,5,3,0,1,0
OF,MIL,Blake Perkins,26,45,112,98,16,21,4,0,2,14,4,2,12,31,0.214,0.3,0.316,0.616,70,31,1,0,2,0,0
IF,MIL,Andruw Monasterio,26,30,86,76,16,23,5,0,1,7,3,0,10,20,0.303,0.384,0.408,0.792,118,31,1,0,0,0,0
3B,MIL,Mike Brosseau,29,29,78,73,4,15,2,0,4,8,0,0,4,20,0.205,0.256,0.397,0.654,76,29,2,1,0,0,0
1B,MIL,Luke Voit,32,22,74,68,5,15,3,0,0,4,2,0,4,27,0.221,0.284,0.265,0.548,52,18,3,2,0,0,0
IF,MIL,Luis Urías,26,20,68,55,5,8,2,0,1,5,0,0,7,15,0.145,0.299,0.236,0.535,50,13,1,5,0,0,0
CF,MIL,Garrett Mitchell,24,16,62,58,9,15,1,1,3,6,1,0,4,24,0.259,0.306,0.466,0.772,108,27,0,0,0,0,0
RF,MIL,Raimel Tapia,29,19,60,51,10,9,0,0,2,3,2,1,6,20,0.176,0.271,0.294,0.565,56,15,0,1,1,1,0
1B,MIL,Jon Singleton,31,11,32,29,3,3,1,0,0,2,0,0,3,11,0.103,0.188,0.138,0.325,-8,4,0,0,0,0,0
DH,MIL,Darin Ruf,36,11,30,26,2,5,1,0,0,0,0,0,4,7,0.192,0.3,0.231,0.531,49,6,0,0,0,0,0
3B,MIL,Abraham Toro,26,5,9,8,1,4,0,0,1,5,0,0,0,3,0.5,0.556,0.875,1.431,285,7,0,1,0,0,0
DH,MIL,Jahmai Jones,25,5,7,6,2,2,1,0,0,3,1,0,1,1,0.333,0.429,0.5,0.929,154,3,0,0,0,0,0
