Position,Team,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
C,SF,Patrick Bailey,24,46,170,159,15,43,12,1,5,29,1,0,5,48,0.27,0.304,0.453,0.756,105,72,3,3,2,1,0
1B,SF,LaMonte Wade Jr.,29,84,331,266,41,73,13,1,9,28,2,0,56,61,0.274,0.405,0.432,0.838,132,115,2,4,3,2,1
2B,SF,Thairo Estrada,27,70,315,290,46,79,18,1,9,31,18,4,15,77,0.272,0.327,0.434,0.761,108,126,6,9,0,1,1
SS,SF,Brandon Crawford,36,64,222,198,22,41,10,0,5,26,3,0,20,57,0.207,0.285,0.333,0.618,70,66,5,2,1,1,1
3B,SF,J.D. Davis,30,89,343,299,39,80,14,1,11,47,1,0,35,94,0.268,0.348,0.431,0.779,114,129,11,4,0,4,0
LF,SF,Mitch Haniger,32,40,160,148,20,34,9,0,4,22,1,0,9,42,0.23,0.281,0.372,0.653,78,55,2,2,0,1,0
CF,SF,Mike Yastrzemski,32,68,260,232,41,55,14,1,11,30,0,2,26,67,0.237,0.317,0.448,0.765,108,104,2,1,1,0,2
RF,SF,Michael Conforto,30,83,327,283,43,69,9,0,13,51,4,0,36,78,0.244,0.336,0.413,0.75,106,117,7,5,0,3,1
DH,SF,Joc Pederson,31,62,230,190,36,44,6,2,8,32,0,0,33,51,0.232,0.357,0.411,0.767,111,78,7,5,0,2,2
UT,SF,Blake Sabol,25,72,241,219,29,56,8,0,11,35,2,2,16,81,0.256,0.313,0.443,0.755,105,97,3,3,1,2,0
1B,SF,Wilmer Flores,31,69,232,209,29,61,13,0,12,31,0,0,19,35,0.292,0.349,0.526,0.875,137,110,4,1,0,3,0
SS,SF,Casey Schmitt,24,57,188,175,20,38,10,0,2,22,2,1,9,44,0.217,0.266,0.309,0.575,58,54,5,3,0,1,0
IF,SF,David Villar,26,42,134,119,15,18,6,0,5,12,1,1,10,41,0.151,0.239,0.328,0.567,54,39,1,4,0,1,0
2B,SF,Brett Wisely,24,45,116,106,10,20,5,0,2,7,2,1,8,36,0.189,0.243,0.292,0.536,47,31,1,0,1,1,0
CF,SF,Luis Matos,21,29,106,96,13,25,3,1,1,8,3,0,8,11,0.26,0.324,0.344,0.668,85,33,1,1,1,0,0
OF,SF,Austin Slater,30,39,102,91,13,29,3,0,4,14,2,2,10,23,0.319,0.392,0.484,0.876,140,44,0,1,0,0,0
C,SF,Joey Bart,26,26,84,78,8,18,5,0,0,4,0,0,2,21,0.231,0.286,0.295,0.581,61,23,0,4,0,0,0
CF,SF,Bryce Johnson,27,30,48,43,7,7,1,0,1,3,3,0,4,15,0.163,0.229,0.256,0.485,34,11,0,0,0,1,0
DH,SF,Darin Ruf,36,9,27,23,1,6,2,0,0,3,0,0,4,9,0.261,0.37,0.348,0.718,100,8,0,0,0,0,0
OF,SF,Heliot Ramos,23,9,27,26,1,5,2,0,0,1,0,0,1,8,0.192,0.222,0.269,0.491,35,7,1,0,0,0,0
C,SF,Roberto Pérez,34,5,17,15,0,2,0,0,0,1,0,0,2,6,0.133,0.235,0.133,0.369,6,2,0,0,0,0,0
CF,SF,Cal Stevenson,26,6,12,9,1,0,0,0,0,0,0,0,3,2,0.0,0.25,0.0,0.25,-22,0,0,0,0,0,0
IF,SF,Isan Díaz,27,2,8,8,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
DH,SF,Matt Beaty,30,4,5,5,1,1,0,0,0,1,0,0,0,2,0.2,0.2,0.2,0.4,11,1,0,0,0,0,0
C,SF,Austin Wynns,32,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
