Position,Team,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
C,TOR,Alejandro Kirk,24,73,245,218,16,55,5,0,4,24,0,0,21,28,0.252,0.331,0.33,0.661,87,72,11,5,0,1,1
1B,TOR,Vladimir Guerrero Jr.,24,96,418,372,48,101,21,0,16,62,4,2,35,66,0.272,0.342,0.457,0.799,122,170,14,7,0,4,1
2B,TOR,Whit Merrifield,34,90,358,327,41,95,17,0,6,42,20,8,25,63,0.291,0.344,0.398,0.741,108,130,10,3,0,3,0
SS,TOR,Bo Bichette,25,98,438,418,47,130,22,1,16,53,3,3,18,82,0.311,0.342,0.483,0.826,129,202,11,2,0,0,0
3B,TOR,Matt Chapman,30,96,402,351,52,92,30,1,12,42,3,2,45,109,0.262,0.351,0.456,0.807,125,160,3,4,0,2,1
LF,TOR,Daulton Varsho,26,97,374,341,40,73,13,0,12,32,12,3,27,88,0.214,0.275,0.358,0.633,77,122,3,3,0,3,0
CF,TOR,Kevin Kiermaier,33,82,263,237,37,64,12,5,5,22,11,0,20,54,0.27,0.332,0.426,0.758,112,101,7,3,1,2,0
RF,TOR,George Springer,33,95,418,379,54,101,14,1,13,41,13,4,34,71,0.266,0.333,0.412,0.744,108,156,13,4,0,1,0
DH,TOR,Brandon Belt,35,67,258,215,29,54,17,0,7,23,0,0,41,95,0.251,0.372,0.428,0.8,125,92,3,1,0,1,1
C,TOR,Danny Jansen,28,61,215,198,26,45,11,0,12,41,0,0,15,46,0.227,0.288,0.465,0.753,107,92,3,2,0,0,1
2B,TOR,Cavan Biggio,28,63,166,149,23,32,5,0,7,19,3,2,14,48,0.215,0.295,0.389,0.684,91,58,0,3,0,0,0
2B,TOR,Santiago Espinal,28,51,146,130,21,29,7,0,1,12,2,1,13,18,0.223,0.303,0.3,0.603,71,39,4,2,1,0,0
OF,TOR,Nathan Lukes,28,25,25,21,4,4,1,1,0,2,0,0,3,8,0.19,0.28,0.333,0.613,72,7,0,0,0,1,0
C,TOR,Tyler Heineman,32,9,20,16,1,5,1,0,0,0,0,0,4,5,0.313,0.45,0.375,0.825,137,6,0,0,0,0,0
DH,TOR,Jordan Luplow,29,5,11,9,1,2,0,0,0,1,0,0,2,5,0.222,0.364,0.222,0.586,71,2,0,0,0,0,0
DH,TOR,Spencer Horwitz,25,3,10,8,1,2,0,0,0,1,0,0,2,3,0.25,0.4,0.25,0.65,90,2,0,0,0,0,0
MI,TOR,Ernie Clement,27,11,9,7,3,3,0,0,0,2,1,0,1,1,0.429,0.444,0.429,0.873,148,3,0,0,0,1,0
