Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,BAL,Kyle Gibson,35,9,6,0,4,21,21,0,0,0,0,121.0,124,64,64,10,40,0,98,5,0,7,517,88,3.86,1.355,9.2,0.7,3.0,7.3,2
SP,BAL,Dean Kremer,27,10,4,0,4,20,20,0,0,0,0,108.2,115,61,58,22,31,0,101,5,0,2,463,87,5.05,1.344,9.5,1.8,2.6,8.4,3
SP,BAL,Tyler Wells,28,7,5,0,3,19,18,0,0,0,0,106.2,79,44,42,22,26,0,105,1,2,2,420,118,4.76,0.984,6.7,1.9,2.2,8.9,4
SP,BAL,Kyle Bradish,26,6,4,0,3,17,17,0,0,0,0,91.1,79,32,31,8,24,0,87,5,0,3,372,137,3.47,1.128,7.8,0.8,2.4,8.6,3
SP,BAL,Grayson Rodriguez,23,2,2,0,7,11,11,0,0,0,0,50.1,65,42,41,13,23,0,60,0,0,3,233,57,5.63,1.748,11.6,2.3,4.1,10.7,2
SP,BAL,Cole Irvin,29,1,3,0,5,11,8,1,0,0,0,41.2,47,25,25,5,16,0,36,3,0,2,191,78,4.49,1.512,10.2,1.1,3.5,7.8,2
CL,BAL,Félix Bautista,28,5,1,0,0,43,0,37,0,0,26,47.0,21,9,5,3,19,0,91,2,0,6,181,438,1.58,0.851,4.0,0.6,3.6,17.4,4
RP,BAL,Yennier Cano,29,1,1,0,1,41,0,7,0,0,4,47.0,37,8,8,2,6,1,41,2,1,1,175,274,2.61,0.915,7.1,0.4,1.1,7.9,6
RP,BAL,Mike Baumann,27,6,0,1,3,43,0,10,0,0,0,46.1,34,20,19,4,26,1,50,2,0,5,193,114,4.06,1.295,6.6,0.8,5.1,9.7,1
RP,BAL,Bryan Baker,28,3,3,0,3,43,0,2,0,0,0,40.0,29,18,17,3,23,2,48,1,0,3,167,110,3.66,1.3,6.5,0.7,5.2,10.8,2
RP,BAL,Danny Coulombe,33,3,1,0,2,40,0,7,0,0,1,33.1,28,10,10,3,7,0,41,2,2,0,136,156,2.81,1.05,7.6,0.8,1.9,11.1,5
P,BAL,Cionel Pérez,27,2,1,0,4,34,0,6,0,0,0,31.1,39,20,17,2,19,2,23,2,1,0,153,86,4.66,1.851,11.2,0.6,5.5,6.6,1
P,BAL,Austin Voth,31,1,2,0,4,23,0,4,0,0,0,31.0,35,19,17,6,14,1,31,3,0,0,144,85,5.45,1.581,10.2,1.7,4.1,9.0,2
P,BAL,Keegan Akin,28,2,2,0,6,24,1,7,0,0,0,23.2,35,22,18,2,7,2,27,0,0,2,112,62,2.99,1.775,13.3,0.8,2.7,10.3,3
P,BAL,Logan Gillaspie,26,0,1,0,6,11,0,3,0,0,0,9.0,14,7,6,2,5,0,8,1,0,1,46,72,6.4,2.111,14.0,2.0,5.0,8.0,1
P,BAL,Mychal Givens,33,0,1,0,11,6,0,0,0,0,0,4.0,4,6,5,0,6,1,2,1,0,1,22,40,7.54,2.5,9.0,0.0,13.5,4.5,0
