Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,HOU,Framber Valdez,29,7,6,0,2,18,18,0,1,1,0,117.1,98,41,36,9,28,0,129,4,0,5,471,151,2.9,1.074,7.5,0.7,2.1,9.9,4
SP,HOU,Hunter Brown,24,6,7,0,4,18,18,0,0,0,0,99.1,98,51,47,11,33,0,118,5,0,2,418,98,3.5,1.319,8.9,1.0,3.0,10.7,3
SP,HOU,Cristian Javier,26,7,1,0,4,18,18,0,0,0,0,96.1,90,48,47,14,27,0,89,3,0,3,402,95,4.26,1.215,8.4,1.3,2.5,8.3,3
SP,HOU,J.P. France,28,5,3,0,3,13,13,0,0,0,0,77.2,74,30,27,10,22,0,55,1,0,4,322,134,4.43,1.236,8.6,1.2,2.5,6.4,2
SP,HOU,Brandon Bielak,27,5,5,0,3,12,11,0,0,0,0,65.0,65,28,25,10,26,0,50,4,0,2,278,121,5.13,1.4,9.0,1.4,3.6,6.9,1
CL,HOU,Ryan Pressly,34,2,2,0,2,43,0,35,0,0,22,43.1,31,20,14,5,8,0,48,0,0,1,168,144,3.12,0.9,6.4,1.0,1.7,10.0,6
RP,HOU,Phil Maton,30,2,3,0,2,45,0,5,0,0,1,47.0,30,17,13,3,14,2,52,7,0,0,186,168,3.24,0.936,5.7,0.6,2.7,10.0,3
RP,HOU,Bryan Abreu,26,3,2,0,2,47,0,11,0,0,2,46.1,34,17,14,6,19,0,69,3,0,1,192,154,3.42,1.144,6.6,1.2,3.7,13.4,3
RP,HOU,Rafael Montero,32,2,3,0,6,39,0,16,0,0,1,40.2,47,31,29,8,17,0,42,3,0,0,181,65,5.25,1.574,10.4,1.8,3.8,9.3,2
RP,HOU,Hector Neris,34,5,2,0,1,43,0,4,0,0,2,40.2,24,8,7,5,18,0,49,2,0,3,161,271,3.95,1.033,5.3,1.1,4.0,10.8,2
P,HOU,Ronel Blanco,29,2,1,0,4,15,6,7,0,0,0,46.0,42,27,24,12,24,0,48,2,0,2,199,89,6.29,1.435,8.2,2.3,4.7,9.4,2
P,HOU,Seth Martinez,28,2,3,0,4,30,0,6,0,0,1,38.0,37,21,17,3,17,2,43,6,0,0,170,104,3.86,1.421,8.8,0.7,4.0,10.2,2
P,HOU,Ryne Stanek,31,2,1,0,4,35,0,8,0,0,0,32.2,30,18,17,3,19,1,35,0,1,2,145,90,4.08,1.5,8.3,0.8,5.2,9.6,1
P,HOU,José Urquidy,28,2,2,0,5,6,6,0,0,0,0,27.2,33,16,16,6,10,0,23,1,0,0,123,81,5.64,1.554,10.7,2.0,3.3,7.5,2
P,HOU,Luis Garcia,26,2,2,0,4,6,6,0,0,0,0,27.0,25,12,12,3,10,0,31,1,1,0,115,105,3.66,1.296,8.3,1.0,3.3,10.3,3
