Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,LAA,Shohei Ohtani,28,7,5,0,3,18,18,0,0,0,0,105.1,72,44,41,14,46,0,139,10,0,12,432,126,3.97,1.12,6.2,1.2,3.9,11.9,3
SP,LAA,Patrick Sandoval,26,5,7,0,4,17,17,0,0,0,0,93.0,92,49,43,7,39,2,77,4,0,4,412,107,4.0,1.409,8.9,0.7,3.8,7.5,1
SP,LAA,Reid Detmers,23,2,6,0,4,17,17,0,0,0,0,91.2,83,50,45,11,35,1,113,6,0,5,391,100,3.72,1.287,8.1,1.1,3.4,11.1,3
SP,LAA,Tyler Anderson,33,4,2,0,5,17,16,0,0,0,0,87.0,96,52,50,10,39,0,73,4,1,4,393,86,4.58,1.552,9.9,1.0,4.0,7.6,1
SP,LAA,Griffin Canning,27,6,4,0,4,15,15,0,0,0,0,79.2,73,41,40,15,25,0,83,4,0,3,335,98,4.74,1.23,8.2,1.7,2.8,9.4,3
CL,LAA,Carlos Estévez,30,3,1,0,2,39,0,32,0,0,21,38.0,29,10,9,4,19,3,45,1,0,0,159,209,3.86,1.263,6.9,0.9,4.5,10.7,2
RP,LAA,Chris Devenski,32,3,2,0,5,29,0,4,0,0,0,33.2,31,20,19,5,9,1,33,1,0,1,140,88,4.15,1.188,8.3,1.3,2.4,8.8,3
RP,LAA,Matt Moore,34,3,1,0,2,25,0,4,0,0,0,28.0,18,8,7,4,8,2,25,2,0,0,108,199,4.43,0.929,5.8,1.3,2.6,8.0,3
RP,LAA,Aaron Loup,35,1,2,0,5,30,0,13,0,0,0,27.0,31,18,15,2,11,3,26,2,1,0,125,89,3.77,1.556,10.3,0.7,3.7,8.7,2
RP,LAA,Jacob Webb,29,1,1,0,3,24,0,3,0,0,1,25.2,18,10,10,4,14,3,26,2,0,1,112,128,5.16,1.247,6.3,1.4,4.9,9.1,1
P,LAA,Jaime Barria,26,2,5,0,3,20,6,7,0,0,0,57.1,51,31,24,10,17,3,46,2,1,1,236,118,4.94,1.186,8.0,1.6,2.7,7.2,2
P,LAA,Tucker Davidson,27,1,1,0,6,18,0,8,0,0,2,31.2,44,25,23,2,11,0,31,2,0,3,148,68,3.38,1.737,12.5,0.6,3.1,8.8,2
P,LAA,José Suarez,25,1,2,0,9,6,6,0,0,0,0,24.1,37,27,26,9,15,0,21,0,0,1,123,47,8.22,2.137,13.7,3.3,5.5,7.8,1
P,LAA,Chase Silseth,23,2,1,0,4,10,2,3,0,0,0,24.1,21,15,12,4,15,0,25,0,1,4,107,101,5.22,1.479,7.8,1.5,5.5,9.2,1
P,LAA,Andrew Wantz,27,1,0,1,4,15,0,3,0,0,0,23.2,16,13,12,2,9,0,22,1,0,0,96,98,3.79,1.056,6.1,0.8,3.4,8.4,2
P,LAA,Sam Bachman,23,1,2,0,3,11,0,4,0,0,1,17.0,17,7,6,0,11,1,14,1,0,3,77,142,3.76,1.647,9.0,0.0,5.8,7.4,1
P,LAA,Jimmy Herget,29,1,3,0,5,16,0,3,0,0,0,16.0,19,9,9,4,5,2,10,2,0,0,71,89,6.6,1.5,10.7,2.3,2.8,5.6,2
P,LAA,José Quijada,27,0,1,0,6,10,0,4,0,0,4,9.0,8,7,6,0,3,0,8,2,0,0,41,76,3.17,1.222,8.0,0.0,3.0,8.0,2
P,LAA,Ryan Tepera,35,2,2,0,7,10,0,2,0,0,0,8.2,15,9,7,2,3,1,10,2,0,0,46,63,5.71,2.077,15.6,2.1,3.1,10.4,3
P,LAA,Zack Weiss,31,1,0,1,3,5,0,0,0,0,0,4.2,6,2,2,2,1,0,6,0,0,0,21,123,6.93,1.5,11.6,3.9,1.9,11.6,6
P,LAA,Ben Joyce,22,1,0,1,4,5,0,0,0,0,0,4.0,5,2,2,1,4,0,5,0,0,0,21,107,7.04,2.25,11.3,2.3,9.0,11.3,1
