Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,LAD,Clayton Kershaw,35,10,4,0,2,16,16,0,0,0,0,95.1,76,30,27,12,24,0,105,2,2,3,379,174,3.54,1.049,7.2,1.1,2.3,9.9,4
SP,LAD,Julio Urías,26,7,6,0,5,14,14,0,0,0,0,75.1,71,43,42,15,17,0,72,3,1,1,313,88,4.76,1.168,8.5,1.8,2.0,8.6,4
SP,LAD,Tony Gonsolin,29,5,3,0,3,14,14,0,0,0,0,72.2,52,34,30,9,27,1,57,6,0,1,301,119,4.69,1.087,6.4,1.1,3.3,7.1,2
SP,LAD,Noah Syndergaard,30,1,4,0,7,12,12,0,0,0,0,55.1,71,44,44,12,9,0,38,6,0,0,246,62,5.55,1.446,11.5,2.0,1.5,6.2,4
SP,LAD,Michael Grove,26,2,2,0,6,12,9,0,0,0,0,52.0,63,37,37,9,17,0,47,2,0,2,230,69,4.82,1.538,10.9,1.6,2.9,8.1,2
SP,LAD,Bobby Miller,24,5,1,0,4,9,9,0,0,0,0,48.2,42,23,23,4,16,0,47,3,0,3,203,104,3.59,1.192,7.8,0.7,3.0,8.7,2
CL,LAD,Evan Phillips,28,1,3,0,2,39,0,20,0,0,12,37.1,22,10,10,3,9,0,44,2,0,1,140,185,2.86,0.83,5.3,0.7,2.2,10.6,4
RP,LAD,Brusdar Graterol,24,3,2,0,1,42,1,11,0,0,4,40.1,40,13,8,2,7,0,29,1,0,2,161,249,3.09,1.165,8.9,0.4,1.6,6.5,4
RP,LAD,Yency Almonte,29,3,1,0,4,41,0,4,0,0,0,39.2,36,24,21,5,16,1,38,3,0,2,169,93,4.45,1.311,8.2,1.1,3.6,8.6,2
RP,LAD,Phil Bickford,27,2,2,0,5,32,0,9,0,0,0,37.1,34,24,23,5,22,3,46,0,1,3,167,80,4.33,1.5,8.2,1.2,5.3,11.1,2
RP,LAD,Caleb Ferguson,26,5,3,0,2,40,1,6,0,0,2,35.1,30,11,10,2,12,0,42,6,0,2,151,175,3.17,1.189,7.6,0.5,3.1,10.7,3
P,LAD,Dustin May,25,4,1,0,2,9,9,0,0,0,0,48.0,29,14,14,1,16,0,34,2,0,1,187,169,3.27,0.938,5.4,0.2,3.0,6.4,2
P,LAD,Shelby Miller,32,1,0,1,2,25,0,10,0,0,1,30.0,12,8,8,3,18,1,31,2,0,1,120,186,4.52,1.0,3.6,0.9,5.4,9.3,1
P,LAD,Emmet Sheehan,23,3,0,1,4,5,5,0,0,0,0,25.2,19,14,14,4,11,0,18,0,0,0,105,91,5.2,1.169,6.7,1.4,3.9,6.3,1
P,LAD,Alex Vesia,27,0,4,0,5,29,1,4,0,0,1,24.1,35,17,16,3,12,2,38,1,0,2,119,76,3.37,1.932,12.9,1.1,4.4,14.1,3
P,LAD,Victor González,27,2,3,0,5,25,1,4,0,0,0,23.2,23,14,14,2,7,1,22,3,0,1,100,84,3.79,1.268,8.7,0.8,2.7,8.4,3
P,LAD,Justin Bruihl,26,1,0,1,3,17,0,7,0,0,0,21.1,22,8,8,2,4,0,17,2,0,2,87,133,3.75,1.219,9.3,0.8,1.7,7.2,4
P,LAD,Nick Robertson,24,0,1,0,6,9,0,2,0,0,0,10.1,17,10,7,1,4,0,13,0,0,0,50,75,3.19,2.032,14.8,0.9,3.5,11.3,3
