Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,MIN,Pablo López,27,5,6,0,4,20,20,0,1,1,0,121.2,105,58,57,15,35,1,152,6,0,4,503,102,3.4,1.151,7.8,1.1,2.6,11.2,4
SP,MIN,Joe Ryan,27,8,6,0,3,19,19,0,1,1,0,112.1,95,49,47,17,21,0,131,4,0,3,454,114,3.59,1.033,7.6,1.4,1.7,10.5,6
SP,MIN,Sonny Gray,33,4,4,0,3,19,19,0,0,0,0,105.1,93,37,37,3,43,0,106,2,1,1,445,136,2.93,1.291,7.9,0.3,3.7,9.1,2
SP,MIN,Bailey Ober,27,6,4,0,2,15,15,0,0,0,0,88.2,69,28,27,9,18,0,84,4,0,1,345,157,3.46,0.981,7.0,0.9,1.8,8.5,4
SP,MIN,Louie Varland,25,3,3,0,5,10,10,0,0,0,0,56.0,60,33,33,14,16,0,54,1,0,2,241,81,5.52,1.357,9.6,2.3,2.6,8.7,3
SP,MIN,Kenta Maeda,35,2,5,0,5,9,9,0,0,0,0,42.1,41,25,24,5,12,0,50,0,0,2,175,85,3.31,1.252,8.7,1.1,2.6,10.6,4
CL,MIN,Jhoan Duran,25,2,4,0,2,35,0,24,0,0,16,38.1,24,12,9,3,15,5,49,4,0,3,154,205,3.23,1.017,5.6,0.7,3.5,11.5,3
RP,MIN,Emilio Pagán,32,4,1,0,3,38,0,11,0,0,0,41.1,31,17,16,3,13,1,40,1,0,0,167,124,3.31,1.065,6.8,0.7,2.8,8.7,3
RP,MIN,Griffin Jax,28,5,6,0,2,42,0,8,0,0,1,39.1,30,15,13,1,10,1,39,0,0,1,157,145,2.4,1.017,6.9,0.2,2.3,8.9,3
RP,MIN,Jovani Moran,26,2,2,0,4,37,0,9,0,0,0,37.2,31,21,19,3,22,1,44,0,0,2,161,95,3.74,1.407,7.4,0.7,5.3,10.5,2
RP,MIN,Jorge López,30,3,2,0,5,35,0,11,0,0,3,33.1,33,22,20,7,11,3,27,8,0,2,149,80,6.11,1.32,8.9,1.9,3.0,7.3,2
P,MIN,Brock Stewart,31,2,0,1,0,25,0,4,0,0,1,25.2,15,2,2,1,11,3,35,1,0,1,99,620,2.47,1.013,5.3,0.4,3.9,12.3,3
P,MIN,Tyler Mahle,28,1,2,0,3,5,5,0,0,0,0,25.2,22,11,9,5,5,0,28,0,0,0,102,138,4.22,1.052,7.7,1.8,1.8,9.8,5
P,MIN,José De León,30,0,1,0,4,12,1,4,0,0,0,17.1,16,10,9,2,5,0,17,1,0,0,70,94,3.86,1.212,8.3,1.0,2.6,8.8,3
P,MIN,Jorge Alcala,27,0,1,0,6,10,0,3,0,0,0,15.1,13,12,11,4,8,0,12,1,0,0,66,68,6.87,1.37,7.6,2.3,4.7,7.0,1
P,MIN,Brent Headrick,25,2,0,1,5,8,0,3,0,0,1,15.0,12,9,9,2,7,0,18,1,0,0,64,81,4.22,1.267,7.2,1.2,4.2,10.8,2
P,MIN,Caleb Thielbar,36,0,1,0,1,12,0,2,0,0,0,10.1,8,3,2,1,2,0,10,0,0,0,40,255,3.19,0.968,7.0,0.9,1.7,8.7,5
P,MIN,Josh Winder,26,1,0,1,4,4,0,3,0,0,0,5.2,8,3,3,1,3,0,7,0,0,0,27,96,4.7,1.941,12.7,1.6,4.8,11.1,2
