Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,OAK,JP Sears,27,1,6,0,3,19,19,0,0,0,0,106.0,85,50,47,21,23,0,100,11,0,1,428,101,4.94,1.019,7.2,1.8,2.0,8.5,4
SP,OAK,Ken Waldichuk,25,2,6,0,6,23,13,2,0,0,1,80.0,98,64,60,16,49,1,78,5,0,2,381,60,5.96,1.838,11.0,1.8,5.5,8.8,1
SP,OAK,Luis Medina,24,3,7,0,5,13,9,0,0,0,0,65.1,67,44,42,11,33,1,64,1,0,7,291,70,5.08,1.531,9.2,1.5,4.5,8.8,1
SP,OAK,James Kaprielian,29,2,6,0,6,14,11,0,0,0,0,61.0,66,45,43,9,31,1,57,5,0,3,280,64,5.11,1.59,9.7,1.3,4.6,8.4,1
SP,OAK,Kyle Muller,25,1,4,0,7,11,11,0,0,0,0,52.0,75,45,45,10,27,1,37,3,0,2,253,52,6.09,1.962,13.0,1.7,4.7,6.4,1
SP,OAK,Paul Blackburn,29,1,2,0,5,9,8,0,0,0,0,42.2,53,27,26,4,15,0,44,3,0,0,197,74,3.71,1.594,11.2,0.8,3.2,9.3,2
CL,OAK,Trevor May,33,2,4,0,4,28,0,16,0,0,8,25.2,21,16,14,4,21,4,21,3,0,2,120,83,6.48,1.636,7.4,1.4,7.4,7.4,1
RP,OAK,Shintaro Fujinami,29,5,8,0,8,34,7,9,0,0,0,49.1,52,48,47,6,30,1,51,5,0,4,231,47,4.93,1.662,9.5,1.1,5.5,9.3,1
RP,OAK,Sam Long,27,0,1,0,4,30,1,12,0,0,2,36.0,32,16,16,3,14,1,26,1,0,1,150,102,4.17,1.278,8.0,0.8,3.5,6.5,1
RP,OAK,Sam Moll,31,0,3,0,4,41,1,9,0,0,1,35.1,32,19,18,1,16,3,44,7,0,4,158,89,3.12,1.358,8.2,0.3,4.1,11.2,2
RP,OAK,Richard Lovelady,27,0,3,0,4,27,0,3,0,0,0,23.1,15,13,12,3,10,0,24,3,0,0,96,89,4.57,1.071,5.8,1.2,3.9,9.3,2
P,OAK,Hogan Harris,26,2,4,0,6,11,5,0,0,0,0,53.0,51,37,36,6,22,0,46,3,0,0,230,66,4.44,1.377,8.7,1.0,3.7,7.8,2
P,OAK,Austin Pruitt,33,1,6,0,4,26,5,6,0,0,0,33.2,37,18,16,5,7,1,18,0,0,1,142,95,4.77,1.307,9.9,1.3,1.9,4.8,2
P,OAK,Lucas Erceg,28,2,1,0,5,23,0,2,0,0,0,27.0,28,20,17,0,17,0,39,3,0,4,128,72,2.62,1.667,9.3,0.0,5.7,13.0,2
P,OAK,Mason Miller,24,0,2,0,3,4,4,0,0,0,0,21.1,14,8,8,1,7,0,22,2,0,2,85,122,3.1,0.984,5.9,0.4,3.0,9.3,3
P,OAK,Adam Oller,28,1,1,0,10,9,1,2,0,0,0,19.2,29,24,22,5,12,0,13,1,0,1,101,41,7.25,2.085,13.3,2.3,5.5,5.9,1
P,OAK,Zach Jackson,28,2,1,0,2,19,0,6,0,0,1,18.0,18,7,5,1,10,0,23,0,0,5,80,165,3.12,1.556,9.0,0.5,5.0,11.5,2
P,OAK,Drew Rucinski,34,0,4,0,9,4,4,0,0,0,0,18.0,27,22,18,5,14,0,6,1,0,0,95,46,8.73,2.278,13.5,2.5,7.0,3.0,0
P,OAK,Jeurys Familia,33,0,1,0,6,14,0,3,0,0,2,12.2,13,12,9,2,13,0,9,1,0,0,64,65,7.23,2.053,9.2,1.4,9.2,6.4,0
P,OAK,Chad Smith,28,1,1,0,6,9,0,4,0,0,0,12.0,14,9,9,1,6,0,9,1,0,1,53,62,4.62,1.667,10.5,0.8,4.5,6.8,1
P,OAK,Angel Felipe,25,1,0,1,1,5,0,2,0,0,0,6.1,2,1,1,0,4,0,6,0,0,0,25,301,3.29,0.947,2.8,0.0,5.7,8.5,1
P,OAK,Freddy Tarnok,24,0,1,0,4,2,0,1,0,0,0,5.2,3,3,3,2,5,0,3,0,0,1,24,90,9.46,1.412,4.8,3.2,7.9,4.8,0
