Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,SEA,George Kirby,25,9,8,0,3,19,19,0,1,0,0,119.2,114,45,43,13,11,0,103,3,0,1,475,126,3.33,1.045,8.6,1.0,0.8,7.7,9
SP,SEA,Luis Castillo,30,6,7,0,3,20,20,0,0,0,0,118.1,94,48,40,19,30,0,133,3,0,3,480,134,3.96,1.048,7.1,1.4,2.3,10.1,4
SP,SEA,Logan Gilbert,26,8,5,0,3,19,19,0,1,1,0,113.1,94,49,46,13,20,0,111,2,0,5,451,112,3.4,1.006,7.5,1.0,1.6,8.8,5
SP,SEA,Bryce Miller,24,6,3,0,3,12,12,0,0,0,0,64.0,49,26,26,6,13,0,58,2,0,1,251,112,3.4,0.969,6.9,0.8,1.8,8.2,4
SP,SEA,Marco Gonzales,31,4,1,0,5,10,10,0,0,0,0,50.0,55,32,29,5,18,0,34,0,0,0,215,79,4.31,1.46,9.9,0.9,3.2,6.1,1
SP,SEA,Bryan Woo,23,1,2,0,4,8,8,0,0,0,0,38.0,36,23,20,6,12,0,47,1,0,1,163,87,3.89,1.263,8.5,1.4,2.8,11.1,3
CL,SEA,Paul Sewald,33,2,0,1,3,40,0,27,0,0,19,38.2,27,13,13,4,12,1,57,0,0,1,151,136,2.61,1.009,6.3,0.9,2.8,13.3,4
RP,SEA,Matt Brash,25,4,3,0,3,46,0,3,0,0,1,39.0,38,16,14,1,16,0,68,5,0,5,174,127,1.75,1.385,8.8,0.2,3.7,15.7,4
RP,SEA,Justin Topa,32,1,3,0,2,40,0,7,0,0,1,36.1,34,14,11,2,11,3,33,1,0,0,152,151,3.18,1.239,8.4,0.5,2.7,8.2,3
RP,SEA,Gabe Speier,28,2,1,0,4,39,0,7,0,0,0,30.2,25,14,14,3,4,1,30,2,0,1,116,100,3.19,0.946,7.3,0.9,1.2,8.8,7
RP,SEA,Trevor Gott,30,0,3,0,4,30,0,4,0,0,0,29.0,33,19,13,2,8,1,32,2,0,0,129,102,3.01,1.414,10.2,0.6,2.5,9.9,4
P,SEA,Chris Flexen,28,0,4,0,7,17,4,9,0,0,0,42.0,59,36,36,11,19,0,29,0,0,2,196,53,6.67,1.857,12.6,2.4,4.1,6.2,1
P,SEA,Tayler Saucedo,30,2,1,0,2,28,0,12,0,0,0,27.2,25,9,8,1,13,1,29,2,0,1,122,159,3.29,1.373,8.1,0.3,4.2,9.4,2
P,SEA,Andrés Muñoz,24,2,3,0,2,20,0,2,0,0,1,19.1,13,6,6,1,8,0,29,1,0,1,80,149,2.35,1.086,6.1,0.5,3.7,13.5,3
P,SEA,Penn Murfee,29,1,2,0,1,16,0,3,0,0,0,14.0,5,5,2,1,10,3,16,1,1,0,58,326,4.29,1.071,3.2,0.6,6.4,10.3,1
P,SEA,Tommy Milone,36,0,1,0,2,2,2,0,0,0,0,9.0,7,3,2,1,6,0,3,0,0,0,40,212,6.06,1.444,7.0,1.0,6.0,3.0,0
P,SEA,Robbie Ray,31,0,1,0,8,1,1,0,0,0,0,3.1,4,5,3,0,5,0,3,0,0,1,19,56,5.99,2.7,10.8,0.0,13.5,8.1,0
